Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;46,00;674,67;705,33;337,33;253,00;13,80;197,80;299,00;303,60;317,40;115,00;197,80;210,29;144,57;141,29;19,71;102,00;140,00;14,00;66,00;22,15;114,15;57,93;85,19;17,25;51,75;33,06;64,69;10,00;10,00;6,00;6,00;16,00;2,00;3,00
2019-01-13;51,00;680,00;697,00;357,00;245,73;23,18;208,64;296,73;208,64;315,27;120,55;176,18;159,38;117,94;127,50;15,94;96,12;166,73;19,62;80,42;23,80;129,20;73,10;90,10;24,08;41,08;39,67;73,67;5,00;12,00;5,00;3,00;18,00;2,00;3,00
2019-01-20;50,00;616,67;666,67;300,00;254,55;27,27;190,91;259,09;218,18;254,55;122,73;186,36;162,50;96,88;93,75;12,50;94,23;157,69;25,00;46,15;22,41;89,66;74,14;56,90;14,29;38,57;41,43;41,43;6,00;11,00;17,00;3,00;10,00;1,00;1,00
2019-01-27;21,00;777,00;882,00;420,00;257,25;10,50;215,25;346,50;204,75;383,25;178,50;257,25;161,00;112,00;140,00;21,00;67,20;147,00;25,20;90,30;15,75;122,50;57,75;80,50;24,00;43,50;7,50;27,00;9,00;11,00;7,00;7,00;9,00;1,00;1,00
2019-02-03;24,00;960,00;1008,00;456,00;249,60;14,40;192,00;268,80;201,60;336,00;139,20;235,20;162,00;84,00;102,00;18,00;66,00;130,00;16,00;64,00;22,29;92,57;65,14;84,00;11,29;49,41;4,24;53,65;2,00;16,00;4,00;4,00;10,00;3,00;2,00
2019-02-10;28,00;532,00;546,00;224,00;233,33;18,67;214,67;294,00;172,67;336,00;172,67;219,33;186,67;115,11;115,11;24,89;52,00;150,00;22,00;82,00;26,25;115,50;50,75;63,00;17,68;28,00;2,95;57,47;7,00;7,00;7,00;12,00;10,00;0,00;0,00
2019-02-17;30,00;540,00;615,00;315,00;275,00;15,00;215,00;350,00;205,00;315,00;165,00;245,00;176,67;123,33;123,33;16,67;70,00;138,00;60,00;66,00;24,71;107,65;54,71;56,47;20,00;35,71;4,29;57,14;17,00;14,00;5,00;5,00;20,00;3,00;2,00
2019-02-24;38,00;817,00;817,00;380,00;251,75;19,00;285,00;275,50;185,25;275,50;142,50;213,75;148,83;145,67;114,00;6,33;62,70;150,10;9,50;60,80;31,39;84,26;71,04;52,87;26,74;26,74;8,44;47,85;10,00;7,00;4,00;4,00;4,00;2,00;2,00
2019-03-03;37,00;777,00;795,50;370,00;212,75;13,88;342,25;286,75;166,50;268,25;166,50;226,63;148,00;137,91;94,18;13,45;66,21;151,89;15,58;60,37;21,14;96,90;75,76;59,90;19,92;51,23;7,12;35,58;8,00;4,00;15,00;3,00;12,00;0,00;5,00
2019-03-10;34,00;697,00;697,00;374,00;281,71;24,29;223,43;335,14;184,57;272,00;160,29;223,43;139,09;105,09;98,91;21,64;64,22;164,33;41,56;92,56;37,40;96,90;91,80;52,70;12,75;60,92;9,92;58,08;16,00;13,00;6,00;7,00;10,00;2,00;0,00
