Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;83,00;6,92;338,92;269,75;0,00;35,00
2019-01-13;67,00;7,44;312,67;297,78;3,72;37,00
2019-01-20;70,00;3,50;259,00;252,00;3,50;22,00
2019-01-27;62,00;6,89;220,44;248,00;3,44;22,00
2019-02-03;59,00;3,69;236,00;243,38;3,69;28,00
2019-02-10;49,00;3,50;224,00;231,00;0,00;22,00
2019-02-17;54,00;6,75;189,00;324,00;3,38;28,00
2019-02-24;38,00;3,80;190,00;212,80;3,80;20,00
2019-03-03;56,00;7,00;217,00;196,00;3,50;31,00
2019-03-10;52,00;7,43;215,43;215,43;3,71;21,00
2019-03-17;47,00;6,71;167,86;181,29;3,36;27,00
2019-03-24;46,00;7,67;184,00;191,67;3,83;28,00
2019-03-31;66,00;7,33;168,67;154,00;3,67;22,00
2019-04-07;58,00;7,25;166,75;181,25;7,25;21,00
2019-04-14;83,00;3,46;159,08;166,00;3,46;17,00
2019-04-21;80,00;7,27;152,73;196,36;3,64;27,00
2019-04-28;60,00;7,50;195,00;247,50;3,75;28,00
2019-05-05;60,00;7,50;180,00;180,00;3,75;26,00
2019-05-12;56,00;7,00;140,00;182,00;3,50;17,00
2019-05-19;47,00;6,71;134,29;127,57;3,36;20,00
2019-05-26;46,00;7,67;184,00;145,67;3,83;19,00
2019-06-02;62,00;6,89;172,22;144,67;3,44;24,00
2019-06-09;47,00;6,71;161,14;154,43;3,36;23,00
2019-06-16;47,00;6,71;161,14;147,71;3,36;28,00
2019-06-23;52,00;7,43;156,00;163,43;3,71;29,00
2019-06-30;62,00;3,44;151,56;192,89;0,00;33,00
2019-07-07;64,00;7,11;220,44;199,11;3,56;51,00
2019-07-14;56,00;7,00;182,00;203,00;3,50;31,00
2019-07-21;62,00;6,89;172,22;199,78;3,44;24,00
2019-07-28;52,00;7,43;215,43;200,57;3,71;24,00
2019-08-04;56,00;7,00;182,00;210,00;3,50;21,00
2019-08-11;56,00;7,00;189,00;210,00;3,50;22,00
2019-08-18;67,00;7,44;186,11;282,89;3,72;33,00
2019-08-25;72,00;3,60;201,60;655,20;3,60;32,00
2019-09-01;76,00;3,45;179,64;221,09;3,45;25,00
2019-09-08;62,00;6,89;199,78;213,56;0,00;20,00
2019-09-15;54,00;6,75;175,50;162,00;0,00;40,00
2019-09-22;66,00;3,67;205,33;176,00;0,00;26,00
2019-09-29;63,00;3,50;168,00;210,00;3,50;27,00
2019-10-06;69,00;6,90;158,70;193,20;3,45;27,00
2019-10-13;50,00;7,14;214,29;200,00;3,57;17,00
2019-10-20;61,00;6,78;189,78;176,22;0,00;16,00
2019-10-27;67,00;7,44;193,56;208,44;3,72;31,00
2019-11-03;72,00;3,60;187,20;194,40;3,60;23,00
2019-11-10;73,00;7,30;182,50;211,70;3,65;28,00
2019-11-17;67,00;14,89;201,00;230,78;3,72;37,00
2019-11-24;60,00;7,50;172,50;172,50;3,75;19,00
2019-12-01;55,00;6,88;165,00;158,13;3,44;26,00
2019-12-08;51,00;7,29;160,29;160,29;3,64;21,00
2019-12-15;51,00;3,64;160,29;240,43;3,64;23,00
2019-12-22;84,00;3,50;245,00;245,00;3,50;42,00
2019-12-29;71,00;3,55;340,80;262,70;3,55;33,00
2020-01-05;68,00;3,40;272,00;278,80;3,40;31,00
2020-01-12;71,00;3,55;241,40;269,80;3,55;34,00
2020-01-19;100,00;3,57;250,00;264,29;3,57;31,00
2020-01-26;54,00;13,50;270,00;216,00;3,38;28,00
2020-02-02;51,00;7,29;262,29;225,86;3,64;28,00
2020-02-09;56,00;3,50;196,00;252,00;3,50;24,00
2020-02-16;68,00;3,40;204,00;346,80;3,40;25,00
2020-02-23;48,00;3,43;164,57;240,00;3,43;21,00
2020-03-01;52,00;14,86;156,00;260,00;3,71;24,00
2020-03-08;56,00;3,50;140,00;196,00;0,00;18,00
2020-03-15;26,00;6,50;78,00;123,50;3,25;15,00
2020-03-22;30,00;7,50;52,50;112,50;3,75;15,00
2020-03-29;24,00;8,00;48,00;104,00;0,00;15,00
2020-04-05;30,00;7,50;52,50;82,50;0,00;13,00
2020-04-12;38,00;7,60;53,20;91,20;3,80;13,00
2020-04-19;22,00;7,33;44,00;66,00;0,00;22,00
2020-04-26;19,00;6,33;31,67;69,67;3,17;13,00
2020-05-03;32,00;6,40;38,40;89,60;3,20;22,00
2020-05-10;43,00;7,17;57,33;78,83;0,00;10,00
2020-05-17;31,00;7,75;62,00;116,25;3,88;15,00
2020-05-24;31,00;7,75;77,50;85,25;0,00;17,00
2020-05-31;41,00;6,83;54,67;88,83;0,00;14,00
