Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;54,00;405,00;519,75;0,00;54,00;159,30;2,70;54,00;126,90;193,26;85,26;88,11;34,11;36,64;86,79;13,50;5,79;11,00;3,00;5,00;3,00;38,00;9,00;32,00;6,00;2,00;11,00;1,00;2,00;4,00;0,50;1,00;1,00;4,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;56,00;364,00;504,00;0,00;56,00;152,00;2,67;53,33;138,67;170,80;92,40;100,80;44,80;30,90;73,38;9,66;5,79;14,00;2,00;8,00;3,00;39,00;10,00;35,00;5,00;2,00;10,00;0,50;2,00;7,00;0,50;0,50;0,00;7,00;0,50;0,50;0,00;0,50;0,00;0,50;0,00
2019-01-20;53,00;371,00;477,00;0,00;60,57;119,25;2,65;31,80;127,20;170,16;69,74;80,89;36,26;29,44;74,59;9,81;5,89;12,00;1,00;7,00;3,00;34,00;11,00;34,00;8,00;4,00;7,00;0,00;1,00;3,00;1,00;1,00;0,00;3,00;1,00;1,00;0,00;0,50;0,00;0,50;0,00
2019-01-27;49,00;308,00;420,00;0,00;56,00;139,26;2,58;25,79;105,74;147,00;62,61;81,67;40,83;23,52;64,68;9,80;3,92;8,00;2,00;4,00;3,00;28,00;7,00;31,00;8,00;2,00;8,00;0,50;1,00;5,00;0,50;2,00;1,00;5,00;0,50;2,00;1,00;1,00;0,50;1,00;0,50
2019-02-03;50,00;328,57;414,29;0,00;50,00;110,53;2,63;31,58;115,79;138,89;69,44;86,11;38,89;28,85;57,69;13,46;5,77;7,00;2,00;6,00;1,00;37,00;5,00;31,00;8,00;2,00;7,00;0,00;1,00;3,00;0,50;1,00;1,00;3,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-02-10;51,00;320,57;437,14;0,00;51,00;99,32;2,68;29,53;104,68;130,33;68,00;85,00;34,00;25,50;54,92;9,81;3,92;8,00;1,00;4,00;2,00;32,00;11,00;31,00;8,00;3,00;9,00;0,00;1,00;6,00;0,50;1,00;0,00;6,00;0,50;1,00;0,00;0,50;0,00;0,50;0,00
2019-02-17;53,00;324,63;430,63;0,00;46,38;100,70;2,65;26,50;108,65;145,05;64,16;86,47;41,84;31,41;49,07;15,70;7,85;11,00;2,00;4,00;4,00;36,00;10,00;28,00;7,00;2,00;6,00;0,00;0,50;6,00;0,50;0,50;1,00;6,00;0,50;0,50;1,00;1,00;0,00;1,00;0,00
2019-02-24;53,00;298,13;424,00;0,00;39,75;119,25;2,65;29,15;113,95;172,95;69,74;83,68;33,47;25,52;47,11;13,74;5,89;9,00;2,00;5,00;2,00;32,00;9,00;34,00;4,00;1,00;8,00;0,50;1,00;6,00;1,00;1,00;0,50;6,00;1,00;1,00;0,50;0,50;0,00;0,50;0,00
2019-03-03;57,00;334,88;413,25;0,00;42,75;108,82;2,59;23,32;103,64;141,14;70,57;89,57;46,14;25,55;51,10;13,76;3,93;8,00;3,00;6,00;3,00;40,00;11,00;33,00;7,00;2,00;6,00;0,50;0,50;3,00;0,00;1,00;1,00;3,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-03-10;63,00;336,00;420,00;0,00;49,00;107,63;2,63;31,50;107,63;136,96;63,00;90,39;38,35;28,64;55,36;15,27;3,82;10,00;1,00;4,00;1,00;37,00;15,00;32,00;7,00;0,50;8,00;0,50;1,00;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50;1,00;0,00;1,00;0,00
2019-03-17;60,00;427,50;487,50;0,00;45,00;96,52;2,61;39,13;117,39;155,45;84,55;95,45;43,64;32,90;60,00;11,61;7,74;11,00;1,00;5,00;2,00;36,00;8,00;39,00;9,00;3,00;11,00;0,50;1,00;5,00;0,50;0,50;1,00;5,00;0,50;0,50;1,00;0,50;0,50;0,50;0,50
2019-03-24;58,00;420,50;464,00;0,00;43,50;123,91;1,32;29,00;116,00;160,19;82,86;88,38;38,67;36,73;58,00;9,67;5,80;8,00;3,00;5,00;3,00;37,00;13,00;35,00;11,00;1,00;7,00;0,00;2,00;5,00;0,00;1,00;0,50;5,00;0,00;1,00;0,50;1,00;0,00;1,00;0,00
2019-03-31;71,00;468,60;426,00;0,00;42,60;123,59;2,63;36,81;136,74;172,04;92,85;122,88;46,42;44,14;57,57;11,51;5,76;9,00;4,00;5,00;3,00;35,00;15,00;40,00;10,00;1,00;7,00;0,50;1,00;5,00;1,00;1,00;1,00;5,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-04-07;81,00;552,27;463,91;3,68;51,55;151,55;2,61;36,58;164,61;195,52;97,76;117,31;47,48;36,64;69,43;17,36;3,86;11,00;2,00;9,00;3,00;49,00;15,00;49,00;11,00;3,00;8,00;0,00;1,00;6,00;1,00;2,00;1,00;6,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;67,00;502,50;482,40;0,00;40,20;128,85;2,58;43,81;159,77;223,33;114,46;125,63;55,83;40,20;59,34;13,40;3,83;11,00;1,00;5,00;2,00;40,00;13,00;46,00;10,00;4,00;7,00;0,50;1,00;5,00;0,50;2,00;1,00;5,00;0,50;2,00;1,00;1,00;0,00;1,00;0,00
2019-04-21;70,00;539,00;532,00;0,00;42,00;155,56;2,59;41,48;181,48;207,20;100,80;117,60;53,20;46,67;75,83;15,56;7,78;11,00;3,00;8,00;3,00;48,00;11,00;50,00;11,00;3,00;7,00;0,50;1,00;7,00;0,50;1,00;1,00;7,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-04-28;66,00;550,00;447,33;0,00;36,67;161,04;2,64;58,08;205,92;206,25;104,50;112,75;57,75;48,53;71,82;21,35;7,76;14,00;3,00;4,00;3,00;43,00;17,00;48,00;8,00;2,00;8,00;0,50;2,00;9,00;0,50;1,00;1,00;9,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-05;83,00;525,67;470,33;0,00;34,58;181,56;2,59;46,69;225,66;226,87;96,83;124,50;69,17;52,12;94,58;23,16;5,79;20,00;2,00;7,00;3,00;54,00;12,00;58,00;9,00;3,00;11,00;0,00;0,50;6,00;1,00;1,00;1,00;6,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-12;82,00;574,00;471,50;0,00;41,00;208,97;2,65;60,84;264,52;251,47;112,07;133,93;54,67;50,76;123,00;15,62;9,76;11,00;2,00;9,00;5,00;51,00;24,00;50,00;9,00;4,00;10,00;0,50;3,00;7,00;1,00;1,00;0,50;7,00;1,00;1,00;0,50;1,00;0,00;1,00;0,00
2019-05-19;86,00;637,83;487,33;0,00;35,83;221,52;2,61;62,55;224,12;221,94;133,16;116,52;61,03;50,82;113,36;19,55;5,86;12,00;3,00;12,00;4,00;47,00;25,00;48,00;11,00;2,00;11,00;0,00;1,00;10,00;2,00;1,00;1,00;10,00;2,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-26;78,00;638,18;432,55;0,00;35,45;213,20;2,60;54,60;228,80;208,93;119,79;130,93;61,29;68,25;134,55;21,45;9,75;13,00;3,00;7,00;4,00;45,00;16,00;57,00;10,00;4,00;10,00;0,50;1,00;8,00;0,00;1,00;1,00;8,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-06-02;92,00;651,08;460,00;0,00;42,46;239,20;2,63;60,46;212,91;256,48;105,94;122,67;55,76;58,72;131,15;17,62;7,83;16,00;2,00;8,00;5,00;48,00;17,00;51,00;7,00;4,00;12,00;0,00;1,00;8,00;1,00;2,00;0,00;8,00;1,00;2,00;0,00;3,00;0,00;3,00;0,00
