Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;34,00;58,00;7,00;48,00;5,00;25,84
2019-01-13;22,00;47,00;10,00;48,00;5,00;28,88
2019-01-20;22,00;42,00;2,00;46,00;12,00;22,00
2019-01-27;24,00;39,00;14,00;35,00;7,00;16,94
2019-02-03;32,00;43,00;12,00;24,00;10,00;21,33
2019-02-10;10,00;38,00;15,00;29,00;15,00;34,29
2019-02-17;38,00;36,00;10,00;32,00;13,00;29,86
2019-02-24;37,00;50,00;7,00;28,00;7,00;34,26
2019-03-03;12,00;21,00;2,00;12,00;9,00;18,67
2019-03-10;39,00;20,00;22,00;40,00;12,00;22,29
2019-03-17;10,00;33,00;5,00;26,00;3,00;12,86
2019-03-24;7,00;28,00;15,00;34,00;5,00;9,80
2019-03-31;5,00;28,00;2,00;18,00;7,00;16,25
2019-04-07;16,00;45,00;5,00;34,00;12,00;16,00
2019-04-14;5,00;44,00;5,00;23,00;11,00;20,00
2019-04-21;16,00;39,00;3,00;20,00;5,00;18,67
2019-04-28;5,00;17,00;5,00;22,00;5,00;20,00
2019-05-05;14,00;10,00;0,00;38,00;7,00;16,80
2019-05-12;15,00;27,00;0,00;26,00;10,00;12,27
2019-05-19;12,00;20,00;7,00;26,00;2,00;12,00
2019-05-26;13,00;29,00;11,00;17,00;5,00;18,20
2019-06-02;17,00;30,00;2,00;21,00;0,00;11,77
2019-06-09;10,00;32,00;2,00;36,00;7,00;12,86
2019-06-16;25,00;23,00;5,00;26,00;5,00;26,39
2019-06-23;19,00;11,00;8,00;28,00;0,00;19,00
2019-06-30;13,00;31,00;3,00;27,00;5,00;21,67
2019-07-07;13,00;32,00;11,00;25,00;0,00;20,80
2019-07-14;20,00;34,00;11,00;33,00;3,00;14,29
2019-07-21;15,00;21,00;6,00;28,00;9,00;23,18
2019-07-28;24,00;49,00;9,00;42,00;9,00;29,33
2019-08-04;20,00;34,00;6,00;33,00;0,00;22,67
2019-08-11;18,00;21,00;5,00;30,00;0,00;49,85
2019-08-18;15,00;33,00;0,00;18,00;7,00;24,55
2019-08-25;15,00;50,00;2,00;36,00;7,00;21,82
2019-09-01;31,00;41,00;7,00;39,00;7,00;49,32
2019-09-08;15,00;17,00;5,00;13,00;5,00;19,09
2019-09-15;5,00;45,00;2,00;31,00;10,00;8,75
2019-09-22;27,00;42,00;7,00;36,00;2,00;24,30
2019-09-29;25,00;35,00;2,00;18,00;0,00;22,22
2019-10-06;17,00;20,00;2,00;57,00;5,00;11,77
2019-10-13;22,00;47,00;2,00;25,00;10,00;19,25
2019-10-20;12,00;36,00;2,00;52,00;7,00;28,00
2019-10-27;23,00;44,00;9,00;22,00;9,00;18,94
2019-11-03;30,00;26,00;7,00;29,00;9,00;27,27
2019-11-10;14,00;40,00;2,00;32,00;14,00;21,00
2019-11-17;19,00;21,00;5,00;39,00;7,00;19,00
2019-11-24;2,00;35,00;5,00;41,00;0,00;18,00
2019-12-01;12,00;36,00;7,00;37,00;7,00;30,67
2019-12-08;44,00;35,00;14,00;24,00;14,00;39,88
2019-12-15;17,00;58,00;9,00;20,00;2,00;19,83
2019-12-22;51,00;57,00;8,00;35,00;9,00;45,49
2019-12-29;27,00;45,00;14,00;43,00;19,00;37,80
2020-01-05;29,00;48,00;14,00;33,00;7,00;31,76
