Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;48,00;192,00;61,71;54,86;192,00;16,00;32,00;800,00;32,00;12,00;60,00;366,00;90,00;400,00;16,00;36,00;148,00;36,41;48,00;43,03;33,10;15,00;15,00;75,00;8,00;7,00;0,00;11,00;4,00;4,00;15,00;48,00;0,00;24,83;21,52;0,00;165,52;4,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;56,00;105,00;56,00;56,00;217,00;48,00;32,00;568,00;32,00;31,11;31,11;286,22;74,67;327,38;0,00;21,54;137,85;36,24;51,06;36,24;26,35;15,00;11,00;71,00;8,00;4,00;12,00;11,00;7,00;15,00;4,00;37,00;0,00;37,33;18,67;3,39;118,79;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;65,00;108,33;79,44;36,11;122,78;16,25;16,25;414,38;32,50;29,55;23,64;135,91;47,27;242,67;4,33;13,00;108,33;21,67;53,33;21,67;21,67;7,00;42,00;45,00;0,00;4,00;4,00;21,00;11,00;0,00;4,00;50,00;7,00;13,33;21,67;0,00;75,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;70,40;32,00;51,20;64,00;40,00;32,00;392,00;48,00;51,20;25,60;185,60;70,40;220,00;12,00;32,00;56,00;40,42;32,00;10,11;13,47;14,00;11,00;45,00;25,00;4,00;4,00;14,00;14,00;7,00;4,00;28,00;4,00;6,74;25,26;0,00;64,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00
2019-02-03;30,00;75,00;67,50;60,00;112,50;15,00;15,00;330,00;22,50;18,00;24,00;204,00;42,00;205,71;8,57;34,29;77,14;15,00;33,33;28,33;6,67;7,00;11,00;62,00;0,00;4,00;4,00;4,00;18,00;7,00;7,00;26,00;0,00;33,33;21,67;3,33;46,67;8,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;95,67;34,17;34,17;129,83;8,20;16,40;410,00;24,60;11,71;35,14;140,57;58,57;299,30;0,00;24,60;90,20;36,08;32,80;21,32;14,76;15,00;18,00;63,00;0,00;4,00;4,00;11,00;7,00;7,00;4,00;26,00;0,00;30,75;18,79;0,00;83,71;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;42,00;119,00;56,00;49,00;112,00;42,00;33,60;470,40;33,60;12,00;18,00;138,00;42,00;252,00;8,40;42,00;71,40;15,12;48,72;30,24;11,76;19,00;4,00;84,00;4,00;0,00;4,00;7,00;15,00;7,00;0,00;34,00;0,00;26,88;11,76;0,00;63,84;12,00;7,00;0,00;4,00;0,00;0,00;0,00
2019-02-24;45,00;90,00;97,50;67,50;105,00;37,50;45,00;412,50;30,00;32,14;19,29;154,29;32,14;200,45;4,09;20,45;77,73;6,67;33,33;40,00;6,67;15,00;7,00;59,00;11,00;0,00;4,00;4,00;11,00;11,00;15,00;26,00;0,00;21,67;21,67;0,00;61,67;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;33,00;85,80;66,00;46,20;85,80;33,00;41,25;387,75;33,00;11,00;11,00;137,50;38,50;218,63;12,38;8,25;49,50;14,85;28,05;11,55;14,85;11,00;7,00;74,00;7,00;0,00;0,00;11,00;15,00;0,00;0,00;22,00;0,00;14,85;14,85;11,55;57,75;4,00;4,00;11,00;0,00;0,00;0,00;0,00
2019-03-10;18,00;42,00;96,00;36,00;96,00;36,00;9,00;378,00;27,00;30,00;30,00;198,00;60,00;211,50;0,00;9,00;90,00;21,27;24,55;18,00;9,82;0,00;14,00;46,00;0,00;0,00;8,00;4,00;11,00;4,00;7,00;4,00;0,00;0,00;14,73;0,00;49,09;0,00;4,00;4,00;0,00;0,00;0,00;0,00
