Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;36,00;94,91;81,82;39,27;114,55;91,80;73,80;180,00;77,40;48,71;50,82;65,65;50,82;85,00;32,00;42,00;72,00;18,00;28,00;11,00;21,00;14,00;14,00;17,00;7,00;18,00;14,00;7,00;4,00;11,00;21,00;10,00;14,00;3,00;7,00;7,00;21,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;43,00;99,23;66,15;69,46;86,00;53,75;75,25;123,63;59,13;53,75;49,45;81,70;49,45;54,00;57,00;46,00;57,00;46,00;32,00;14,00;18,00;14,00;11,00;18,00;0,00;32,00;46,00;14,00;14,00;14,00;7,00;14,00;7,00;7,00;11,00;4,00;4,00;7,00;11,00;7,00;4,00;0,00;0,00;0,00
2019-01-20;53,00;89,44;62,94;72,88;53,00;63,97;78,59;56,66;60,31;48,76;50,88;16,96;46,64;73,00;38,00;52,00;21,00;28,00;35,00;35,00;17,00;3,00;48,00;10,00;7,00;7,00;27,00;7,00;17,00;14,00;14,00;17,00;10,00;7,00;3,00;10,00;7,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;49,00;65,33;84,93;65,33;71,87;49,00;121,59;79,85;68,96;78,83;46,87;44,74;44,74;48,00;24,00;58,00;35,00;24,00;27,00;21,00;31,00;17,00;10,00;24,00;3,00;10,00;17,00;10,00;21,00;20,00;21,00;3,00;7,00;14,00;7,00;3,00;14,00;14,00;4,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;54,00;81,00;67,50;50,63;81,00;36,00;55,80;77,40;45,00;23,76;21,60;56,16;34,56;21,00;46,00;10,00;32,00;42,00;25,00;18,00;14,00;14,00;28,00;14,00;0,00;18,00;21,00;14,00;14,00;10,00;14,00;14,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;15,00;75,00;52,50;71,25;71,25;30,00;30,00;60,00;45,00;17,14;34,29;36,43;15,00;29,00;25,00;28,00;33,00;32,00;25,00;25,00;18,00;4,00;11,00;21,00;4,00;7,00;11,00;4,00;11,00;4,00;7,00;4,00;0,00;7,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-02-17;52,00;68,25;91,00;61,75;68,25;28,69;43,03;87,86;39,45;26,00;17,33;30,33;17,33;29,00;15,00;32,00;30,00;11,00;29,00;4,00;22,00;18,00;18,00;25,00;7,00;40,00;29,00;4,00;22,00;11,00;7,00;4,00;0,00;0,00;4,00;4,00;4,00;18,00;0,00;4,00;0,00;0,00;0,00;4,00
2019-02-24;69,00;105,14;111,71;75,57;46,00;67,18;103,50;70,82;70,82;38,81;38,81;34,50;34,50;25,00;42,00;25,00;14,00;28,00;39,00;28,00;21,00;28,00;18,00;25,00;0,00;39,00;32,00;21,00;28,00;18,00;14,00;14,00;7,00;25,00;14,00;4,00;4,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;88,00;128,62;182,77;77,85;54,15;57,47;64,65;71,84;61,06;38,63;15,02;27,90;15,02;40,00;25,00;29,00;40,00;25,00;36,00;25,00;11,00;14,00;29,00;11,00;7,00;25,00;18,00;18,00;22,00;11,00;4,00;21,00;14,00;7,00;11,00;11,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;29,00;51,56;170,78;48,33;61,22;43,50;65,25;76,13;50,75;15,62;24,54;22,31;22,31;54,00;4,00;25,00;18,00;25,00;18,00;14,00;21,00;7,00;21,00;4,00;0,00;7,00;32,00;21,00;28,00;7,00;4,00;14,00;14,00;0,00;7,00;4,00;7,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
