Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;100,00;4,00;46,00;4,00;0,00
2019-01-13;32,00;8,00;43,00;0,00;12,00
2019-01-20;52,00;20,00;47,00;8,00;12,00
2019-01-27;20,00;8,00;46,00;4,00;8,00
2019-02-03;37,00;37,00;52,00;9,00;4,00
2019-02-10;34,00;12,00;40,00;0,00;8,00
2019-02-17;38,00;8,00;40,00;4,00;4,00
2019-02-24;21,00;8,00;43,00;13,00;0,00
2019-03-03;35,00;4,00;58,00;4,00;8,00
2019-03-10;32,00;24,00;34,00;12,00;0,00
2019-03-17;29,00;0,00;61,00;0,00;4,00
2019-03-24;25,00;8,00;30,00;0,00;0,00
2019-03-31;49,00;4,00;22,00;0,00;4,00
2019-04-07;19,00;0,00;29,00;4,00;0,00
2019-04-14;32,00;0,00;19,00;5,00;0,00
2019-04-21;41,00;9,00;43,00;0,00;0,00
2019-04-28;55,00;0,00;46,00;0,00;16,00
2019-05-05;20,00;12,00;25,00;12,00;0,00
2019-05-12;40,00;4,00;34,00;4,00;0,00
2019-05-19;28,00;4,00;43,00;0,00;0,00
2019-05-26;44,00;4,00;51,00;0,00;0,00
2019-06-02;24,00;4,00;56,00;0,00;0,00
2019-06-09;41,00;8,00;21,00;0,00;4,00
2019-06-16;38,00;0,00;31,00;4,00;13,00
2019-06-23;35,00;4,00;33,00;9,00;4,00
2019-06-30;34,00;0,00;45,00;13,00;13,00
2019-07-07;48,00;4,00;51,00;14,00;0,00
2019-07-14;24,00;23,00;45,00;5,00;5,00
2019-07-21;49,00;10,00;26,00;0,00;5,00
2019-07-28;41,00;5,00;37,00;5,00;5,00
2019-08-04;28,00;14,00;45,00;5,00;14,00
2019-08-11;64,00;8,00;32,00;0,00;9,00
2019-08-18;41,00;12,00;26,00;4,00;0,00
2019-08-25;46,00;0,00;70,00;8,00;4,00
2019-09-01;31,00;4,00;29,00;4,00;0,00
2019-09-08;57,00;0,00;56,00;8,00;0,00
2019-09-15;33,00;8,00;43,00;4,00;0,00
2019-09-22;57,00;4,00;51,00;17,00;4,00
2019-09-29;33,00;8,00;34,00;0,00;16,00
2019-10-06;37,00;4,00;52,00;4,00;4,00
2019-10-13;16,00;12,00;25,00;4,00;4,00
2019-10-20;24,00;8,00;41,00;4,00;8,00
2019-10-27;31,00;11,00;20,00;0,00;0,00
2019-11-03;50,00;0,00;28,00;4,00;4,00
2019-11-10;39,00;8,00;62,00;4,00;16,00
2019-11-17;46,00;8,00;53,00;0,00;4,00
2019-11-24;38,00;11,00;36,00;8,00;0,00
2019-12-01;16,00;4,00;33,00;8,00;0,00
2019-12-08;50,00;11,00;41,00;0,00;4,00
2019-12-15;63,00;8,00;29,00;4,00;4,00
2019-12-22;47,00;18,00;35,00;0,00;0,00
2019-12-29;64,00;31,00;58,00;5,00;9,00
2020-01-05;60,00;4,00;51,00;4,00;4,00
2020-01-12;59,00;11,00;35,00;0,00;7,00
2020-01-19;52,00;15,00;55,00;0,00;11,00
2020-01-26;41,00;7,00;43,00;0,00;4,00
2020-02-02;63,00;33,00;47,00;4,00;4,00
2020-02-09;48,00;4,00;20,00;8,00;0,00
2020-02-16;26,00;15,00;52,00;8,00;4,00
2020-02-23;43,00;3,00;41,00;7,00;4,00
2020-03-01;25,00;4,00;11,00;4,00;0,00
2020-03-08;31,00;3,00;25,00;11,00;3,00
2020-03-15;35,00;10,00;37,00;7,00;0,00
