Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;41,00;0,00;41,00;3,15;42,58;102,50;34,17;5,13;61,50;82,00;5,13;13,00;9,00;3,00;2,00;14,64;2,93;32,21;4,39;0,00;20,50;0,00;3,00;3,00;2,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;32,00;0,00;32,00;3,20;35,20;152,89;21,33;5,33;64,00;74,67;5,33;7,00;7,00;7,00;3,00;16,00;11,64;33,45;5,82;0,00;4,00;2,00;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;0,00;27,00;14,48;45,04;125,80;37,00;9,25;74,00;55,50;4,63;13,00;3,00;4,00;1,00;11,84;1,48;42,92;4,44;0,00;4,11;4,11;7,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;30,00;0,00;30,00;14,21;28,42;161,25;33,75;10,00;60,00;70,00;10,00;7,00;8,00;6,00;0,00;21,43;5,71;42,86;0,00;1,88;1,88;3,75;4,00;3,00;1,00;1,00;0,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;29,00;0,00;35,00;9,67;32,22;130,50;43,50;9,67;67,67;77,33;9,67;5,00;11,00;6,00;3,00;11,60;13,05;31,90;4,35;0,00;4,14;2,07;3,00;0,00;1,00;1,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;0,00;29,00;3,22;33,83;163,13;47,13;0,00;106,33;96,67;4,83;6,00;4,00;4,00;4,00;30,45;11,60;46,40;5,80;0,00;2,07;2,07;4,00;3,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;34,00;0,00;32,00;4,86;46,95;158,67;37,78;8,50;76,50;102,00;25,50;9,00;6,00;13,00;7,00;23,65;4,43;38,43;5,91;4,25;2,13;0,00;6,00;0,00;1,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;18,00;0,00;29,00;3,27;54,00;158,40;68,40;9,00;81,00;81,00;4,50;12,00;7,00;10,00;3,00;21,00;12,00;40,50;4,50;0,00;1,80;0,00;4,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;30,00;0,00;34,00;12,63;42,63;183,75;52,50;10,00;110,00;100,00;10,00;11,00;17,00;8,00;6,00;21,00;7,50;48,00;4,50;0,00;4,29;4,29;3,00;3,00;2,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-03-10;30,00;0,00;23,00;4,74;44,21;183,75;52,50;10,00;70,00;110,00;5,00;9,00;9,00;9,00;2,00;33,00;15,00;46,50;7,50;0,00;8,57;0,00;5,00;2,00;0,00;5,00;5,00;3,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-17;42,00;0,00;22,00;4,67;34,22;182,00;56,00;10,50;115,50;126,00;10,50;20,00;8,00;6,00;3,00;18,83;5,79;43,45;14,48;0,00;1,91;0,00;5,00;3,00;0,00;3,00;2,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00
2019-03-24;44,00;0,00;20,00;7,86;51,86;227,33;55,00;8,80;96,80;88,00;4,40;3,00;11,00;6,00;9,00;16,13;11,73;39,60;7,33;0,00;2,00;0,00;6,00;0,00;2,00;0,00;2,00;3,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00
2019-03-31;63,00;0,00;31,00;7,88;39,38;157,50;49,00;4,50;72,00;90,00;18,00;18,00;7,00;7,00;0,00;23,44;14,65;54,21;10,26;1,97;3,94;3,94;7,00;0,00;1,00;4,00;0,00;3,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;54,00;0,00;31,00;3,18;46,06;190,80;39,60;9,00;81,00;117,00;9,00;13,00;13,00;7,00;1,00;34,50;22,50;57,00;9,00;0,00;8,31;2,08;3,00;1,00;0,00;1,00;1,00;3,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-14;70,00;0,00;21,00;11,14;44,55;269,50;70,00;10,00;80,00;250,00;10,00;25,00;14,00;14,00;8,00;35,74;10,43;28,30;13,40;0,00;8,24;0,00;3,00;3,00;2,00;3,00;6,00;2,00;12,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-04-21;61,00;0,00;17,00;9,63;61,00;254,76;50,24;5,08;101,67;132,17;10,17;21,00;21,00;10,00;0,00;19,34;10,41;50,59;7,44;2,03;4,07;4,07;6,00;0,00;3,00;0,00;0,00;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;44,00;0,00;17,00;9,43;50,29;242,00;58,67;8,80;88,00;96,80;8,80;13,00;7,00;7,00;6,00;32,27;13,20;45,47;7,33;0,00;4,00;0,00;12,00;3,00;0,00;3,00;3,00;3,00;6,00;1,00;1,00;1,00;0,00;0,00;1,00
2019-05-05;49,00;0,00;28,00;9,48;55,32;196,00;38,50;9,80;98,00;117,60;9,80;16,00;15,00;9,00;3,00;23,76;10,39;49,00;10,39;2,04;4,08;0,00;10,00;3,00;0,00;1,00;1,00;3,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-12;59,00;0,00;27,00;6,38;60,59;243,38;62,69;9,83;108,17;98,33;9,83;13,00;9,00;10,00;4,00;32,45;22,13;48,68;8,85;0,00;3,93;0,00;12,00;3,00;1,00;0,00;1,00;0,00;7,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;64,00;0,00;19,00;4,80;86,40;238,22;35,56;27,43;155,43;91,43;9,14;6,00;16,00;12,00;3,00;16,37;37,21;58,05;16,37;4,00;4,00;2,00;9,00;3,00;4,00;1,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;74,00;0,00;25,00;6,43;70,78;236,10;49,33;18,50;111,00;92,50;9,25;7,00;20,00;9,00;4,00;26,64;20,72;75,48;10,36;0,00;4,11;2,06;11,00;1,00;0,00;0,00;7,00;3,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;70,00;0,00;30,00;6,36;87,50;287,00;52,50;20,00;160,00;150,00;10,00;4,00;10,00;23,00;4,00;29,79;23,83;71,49;10,43;0,00;4,12;0,00;10,00;3,00;3,00;0,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
