Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;61,00;9,00;10,00;0,50;0,50
2019-01-13;60,00;10,00;10,00;2,00;0,50
2019-01-20;57,00;9,00;10,00;1,00;1,00
2019-01-27;55,00;7,00;8,00;1,00;1,00
2019-02-03;49,00;7,00;7,00;1,00;1,00
2019-02-10;55,00;9,00;9,00;1,00;2,00
2019-02-17;54,00;9,00;6,00;2,00;4,00
2019-02-24;50,00;11,00;7,00;0,00;2,00
2019-03-03;49,00;13,00;9,00;1,00;5,00
2019-03-10;43,00;14,00;21,00;2,00;1,00
2019-03-17;49,00;8,00;15,00;2,00;1,00
2019-03-24;41,00;8,00;12,00;3,00;2,00
2019-03-31;49,00;9,00;13,00;2,00;1,00
2019-04-07;46,00;8,00;9,00;1,00;1,00
2019-04-14;44,00;5,00;12,00;1,00;0,00
2019-04-21;44,00;9,00;8,00;1,00;1,00
2019-04-28;44,00;8,00;8,00;2,00;2,00
2019-05-05;54,00;8,00;10,00;1,00;1,00
2019-05-12;51,00;10,00;9,00;2,00;1,00
2019-05-19;49,00;7,00;10,00;1,00;1,00
2019-05-26;42,00;4,00;10,00;1,00;1,00
2019-06-02;43,00;7,00;13,00;2,00;2,00
2019-06-09;45,00;7,00;9,00;2,00;3,00
2019-06-16;67,00;6,00;10,00;2,00;1,00
2019-06-23;58,00;9,00;6,00;1,00;2,00
2019-06-30;61,00;10,00;5,00;1,00;3,00
2019-07-07;58,00;9,00;11,00;0,50;1,00
2019-07-14;62,00;10,00;5,00;2,00;1,00
2019-07-21;67,00;10,00;6,00;1,00;1,00
2019-07-28;61,00;8,00;6,00;1,00;3,00
2019-08-04;64,00;9,00;8,00;2,00;1,00
2019-08-11;61,00;8,00;6,00;1,00;2,00
2019-08-18;66,00;6,00;9,00;1,00;3,00
2019-08-25;60,00;12,00;6,00;1,00;1,00
2019-09-01;57,00;9,00;7,00;2,00;1,00
2019-09-08;66,00;10,00;8,00;1,00;1,00
2019-09-15;51,00;10,00;11,00;1,00;0,50
2019-09-22;44,00;7,00;10,00;1,00;1,00
2019-09-29;48,00;8,00;11,00;2,00;0,50
2019-10-06;47,00;9,00;11,00;1,00;2,00
2019-10-13;49,00;10,00;6,00;2,00;2,00
2019-10-20;49,00;10,00;7,00;2,00;2,00
2019-10-27;49,00;7,00;5,00;0,00;0,50
2019-11-03;56,00;9,00;5,00;1,00;1,00
2019-11-10;50,00;11,00;7,00;2,00;2,00
2019-11-17;52,00;10,00;7,00;0,50;1,00
2019-11-24;46,00;7,00;7,00;0,50;1,00
2019-12-01;41,00;6,00;5,00;1,00;0,50
2019-12-08;90,00;5,00;7,00;1,00;1,00
2019-12-15;69,00;12,00;7,00;0,50;0,50
2019-12-22;77,00;14,00;8,00;1,00;1,00
2019-12-29;75,00;19,00;8,00;1,00;2,00
2020-01-05;60,00;13,00;8,00;1,00;2,00
2020-01-12;54,00;14,00;5,00;2,00;1,00
2020-01-19;58,00;11,00;6,00;1,00;1,00
2020-01-26;55,00;8,00;5,00;1,00;1,00
2020-02-02;66,00;11,00;5,00;1,00;1,00
2020-02-09;53,00;13,00;5,00;1,00;2,00
2020-02-16;61,00;8,00;14,00;1,00;2,00
2020-02-23;47,00;8,00;11,00;1,00;2,00
2020-03-01;44,00;6,00;6,00;1,00;1,00
2020-03-08;50,00;8,00;6,00;1,00;0,00
2020-03-15;43,00;10,00;12,00;2,00;1,00
2020-03-22;57,00;7,00;7,00;0,00;1,00
2020-03-29;41,00;10,00;9,00;1,00;7,00
2020-04-05;72,00;8,00;11,00;5,00;3,00
2020-04-12;51,00;12,00;7,00;1,00;0,50
2020-04-19;54,00;11,00;8,00;0,50;1,00
2020-04-26;54,00;8,00;8,00;0,50;1,00
2020-05-03;52,00;10,00;12,00;2,00;1,00
2020-05-10;47,00;8,00;5,00;1,00;0,50
2020-05-17;45,00;7,00;4,00;2,00;1,00
2020-05-24;48,00;9,00;6,00;0,50;1,00
2020-05-31;53,00;8,00;7,00;0,50;1,00
2020-06-07;51,00;6,00;3,00;0,50;2,00
2020-06-14;53,00;7,00;4,00;0,50;1,00
2020-06-21;65,00;6,00;4,00;1,00;0,50
2020-06-28;52,00;6,00;3,00;0,50;0,00
2020-07-05;55,00;6,00;3,00;0,50;1,00
2020-07-12;72,00;6,00;4,00;1,00;1,00
2020-07-19;59,00;6,00;5,00;2,00;1,00
2020-07-26;64,00;6,00;4,00;2,00;1,00
2020-08-02;72,00;8,00;3,00;1,00;0,50
2020-08-09;71,00;7,00;4,00;1,00;1,00
2020-08-16;66,00;7,00;3,00;1,00;1,00
2020-08-23;66,00;9,00;18,00;1,00;1,00
2020-08-30;59,00;6,00;9,00;1,00;0,50
2020-09-06;54,00;7,00;5,00;1,00;0,50
2020-09-13;56,00;5,00;12,00;0,50;0,00
2020-09-20;47,00;5,00;6,00;0,50;1,00
2020-09-27;49,00;6,00;8,00;1,00;1,00
2020-10-04;49,00;12,00;6,00;1,00;0,00
2020-10-11;49,00;5,00;6,00;1,00;0,00
2020-10-18;53,00;8,00;6,00;1,00;1,00
2020-10-25;44,00;4,00;6,00;0,50;1,00
2020-11-01;41,00;5,00;4,00;0,50;0,00
2020-11-08;56,00;5,00;14,00;1,00;0,50
2020-11-15;49,00;7,00;5,00;0,50;1,00
2020-11-22;48,00;6,00;5,00;0,50;0,50
2020-11-29;39,00;6,00;8,00;0,50;0,50
2020-12-06;57,00;5,00;4,00;1,00;1,00
2020-12-13;47,00;7,00;7,00;1,00;1,00
2020-12-20;59,00;9,00;5,00;1,00;0,50
2020-12-27;66,00;12,00;3,00;1,00;1,00
2021-01-03;53,00;10,00;3,00;1,00;1,00
2021-01-10;49,00;5,00;4,00;1,00;1,00
2021-01-17;58,00;7,00;4,00;1,00;1,00
2021-01-24;59,00;7,00;4,00;1,00;0,50
2021-01-31;49,00;8,00;5,00;0,50;1,00
2021-02-07;46,00;8,00;5,00;1,00;2,00
2021-02-14;39,00;7,00;3,00;1,00;0,50
2021-02-21;47,00;5,00;4,00;0,50;1,00
2021-02-28;45,00;9,00;3,00;1,00;2,00
2021-03-07;55,00;12,00;5,00;1,00;1,00
2021-03-14;50,00;3,00;2,00;0,50;1,00
2021-03-21;52,00;4,00;3,00;1,00;0,50
2021-03-28;47,00;6,00;4,00;0,50;1,00
2021-04-04;51,00;8,00;4,00;1,00;0,50
2021-04-11;50,00;8,00;3,00;1,00;1,00
2021-04-18;43,00;7,00;4,00;2,00;1,00
2021-04-25;49,00;6,00;3,00;1,00;0,50
2021-05-02;45,00;4,00;3,00;1,00;1,00
2021-05-09;49,00;5,00;5,00;2,00;0,00
2021-05-16;54,00;7,00;4,00;1,00;1,00
2021-05-23;47,00;4,00;2,00;1,00;0,50
2021-05-30;57,00;8,00;5,00;1,00;1,00
2021-06-06;55,00;8,00;5,00;0,00;1,00
2021-06-13;49,00;4,00;3,00;2,00;1,00
2021-06-20;61,00;6,00;3,00;1,00;1,00
2021-06-27;48,00;5,00;3,00;0,00;0,50
2021-07-04;57,00;5,00;7,00;1,00;1,00
2021-07-11;55,00;6,00;4,00;0,50;0,50
2021-07-18;64,00;8,00;5,00;2,00;1,00
2021-07-25;89,00;7,00;5,00;1,00;1,00
2021-08-01;67,00;7,00;4,00;1,00;1,00
2021-08-08;100,00;8,00;4,00;2,00;2,00
2021-08-15;99,00;7,00;4,00;3,00;2,00
2021-08-22;84,00;7,00;5,00;1,00;1,00
2021-08-29;74,00;5,00;2,00;0,50;0,00
2021-09-05;58,00;6,00;1,00;0,50;1,00
2021-09-12;48,00;5,00;2,00;1,00;1,00
2021-09-19;59,00;8,00;5,00;0,50;0,50
2021-09-26;44,00;6,00;7,00;1,00;1,00
2021-10-03;46,00;4,00;2,00;1,00;1,00
2021-10-10;46,00;7,00;3,00;0,50;0,00
2021-10-17;39,00;7,00;2,00;1,00;0,50
2021-10-24;51,00;7,00;4,00;1,00;1,00
2021-10-31;54,00;7,00;5,00;1,00;3,00
2021-11-07;57,00;6,00;6,00;0,00;1,00
2021-11-14;53,00;8,00;3,00;1,00;0,00
2021-11-21;48,00;9,00;2,00;2,00;1,00
2021-11-28;45,00;8,00;4,00;1,00;1,00
2021-12-05;50,00;10,00;3,00;2,00;1,00
2021-12-12;43,00;18,00;4,00;0,50;0,00
2021-12-19;54,00;7,00;1,00;0,50;1,00
2021-12-26;52,00;9,00;4,00;1,00;1,00
2022-01-02;58,00;9,00;3,00;0,50;1,00
2022-01-09;59,00;12,00;4,00;0,50;1,00
2022-01-16;51,00;9,00;3,00;2,00;2,00
2022-01-23;53,00;10,00;4,00;1,00;1,00
2022-01-30;49,00;7,00;6,00;1,00;1,00
2022-02-06;57,00;9,00;3,00;0,50;0,50
2022-02-13;53,00;9,00;4,00;0,00;2,00
2022-02-20;55,00;6,00;3,00;1,00;0,00
2022-02-27;54,00;9,00;3,00;1,00;2,00
2022-03-06;48,00;8,00;5,00;1,00;1,00
