Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;45,00;61,20;7,20;0,90;7,20;27,00;0,50;2,00;17,00;265,50;18,00;4,50;4,50;7,11;194,21;7,11;1,18;6,00;2,00;7,00;1,00;91,73;10,38;20,77;5,19;0,00;1,00;0,00;1,00;6,75;1,13;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-01-13;44,00;63,36;5,28;0,00;7,04;26,00;0,50;1,00;16,00;250,80;13,20;8,80;8,80;6,95;143,58;6,95;1,16;6,00;4,00;6,00;1,00;103,23;8,46;18,62;3,38;0,50;0,50;0,00;0,00;8,80;2,20;0,00;1,10;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;47,00;56,04;7,23;0,00;3,62;26,00;2,00;1,00;23,00;277,73;21,36;8,55;4,27;7,05;129,25;7,05;0,00;5,00;2,00;6,00;1,00;92,32;10,07;28,54;5,04;0,50;2,00;0,00;0,50;11,19;2,24;1,12;0,00;1,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-01-27;41,00;60,61;5,35;0,00;5,35;27,00;1,00;1,00;19,00;255,11;18,22;4,56;9,11;6,83;125,28;9,11;1,14;4,00;1,00;11,00;0,50;95,67;10,25;22,21;3,42;0,00;0,00;0,00;0,50;6,83;1,14;0,00;1,14;1,00;0,50;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-03;49,00;56,00;7,00;0,00;8,75;29,00;1,00;1,00;19,00;222,73;13,36;8,91;4,45;9,33;105,00;7,00;2,33;4,00;3,00;5,00;0,50;98,00;10,14;16,90;6,76;0,00;2,00;1,00;0,50;6,68;2,23;0,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;45,00;54,00;9,00;0,00;7,20;33,00;2,00;4,00;19,00;225,00;22,50;9,00;4,50;4,74;111,32;11,84;2,37;4,00;2,00;3,00;0,50;98,33;10,00;23,33;5,00;0,00;0,50;0,00;0,00;6,75;2,25;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
2019-02-17;44,00;66,88;7,04;0,00;5,28;30,00;3,00;0,50;26,00;242,00;13,20;13,20;4,40;6,95;111,16;9,26;2,32;5,00;1,00;5,00;0,50;108,31;8,46;23,69;5,08;0,00;2,00;0,00;0,00;9,26;0,00;1,16;1,16;2,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00
2019-02-24;48,00;65,78;7,11;0,00;7,11;25,00;1,00;3,00;21,00;253,09;13,09;8,73;4,36;9,14;109,71;9,14;2,29;7,00;1,00;7,00;0,50;100,97;8,28;19,86;4,97;0,00;0,50;0,00;0,50;6,86;2,29;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50
2019-03-03;51,00;63,31;5,28;0,00;8,79;32,00;2,00;3,00;25,00;242,25;17,00;12,75;8,50;6,95;118,23;6,95;1,16;5,00;2,00;8,00;1,00;110,50;13,60;22,10;5,10;0,00;0,50;0,00;2,00;11,59;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;60,00;100,59;8,82;0,00;8,82;28,00;2,00;2,00;19,00;240,00;21,43;12,86;4,29;9,23;101,54;9,23;2,31;7,00;3,00;7,00;1,00;106,29;10,29;24,00;6,86;0,50;1,00;0,00;1,00;6,92;2,31;0,00;1,15;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
