Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;40,00;320,00;240,00;160,00;120,00;123,81;83,81;91,43;114,29;72,50;86,25;61,25;57,50;82,67;72,00;37,33;26,67;40,00;44,00;20,00;41,00;23,00;32,00;27,00;17,00;17,00;26,00;15,00;6,00;9,00;10,00;5,00;5,00;5,00;2,00;2,00
2019-01-13;37,00;425,50;351,50;203,50;185,00;134,37;95,42;77,89;130,47;64,13;65,37;59,20;60,43;79,29;76,64;37,00;23,79;41,00;72,00;28,00;29,00;30,00;17,00;20,00;27,00;29,00;13,00;12,00;12,00;13,00;2,00;8,00;10,00;0,00;5,00;1,00
2019-01-20;28,00;266,00;238,00;168,00;112,00;130,67;80,27;104,53;121,33;89,09;57,27;58,55;63,64;76,36;66,18;25,45;22,91;43,00;48,00;23,00;28,00;26,00;31,00;25,00;30,00;15,00;26,00;18,00;14,00;10,00;7,00;6,00;5,00;5,00;2,00;1,00
2019-01-27;19,00;399,00;380,00;209,00;190,00;119,70;72,20;95,00;127,30;85,50;62,94;58,19;72,44;86,86;65,14;40,71;29,86;33,00;54,00;28,00;27,00;36,00;25,00;18,00;27,00;15,00;20,00;6,00;11,00;9,00;13,00;5,00;5,00;5,00;0,00;1,00
2019-02-03;22,00;506,00;396,00;308,00;176,00;91,67;64,17;102,67;121,00;74,56;77,00;55,00;78,22;75,78;66,00;22,00;22,00;35,00;64,00;33,00;19,00;30,00;20,00;29,00;25,00;16,00;23,00;5,00;13,00;10,00;12,00;4,00;5,00;6,00;1,00;2,00
2019-02-10;30,00;345,00;300,00;210,00;135,00;129,38;67,50;99,38;110,63;86,25;60,00;47,50;82,50;80,00;70,00;30,00;32,50;39,00;58,00;20,00;28,00;34,00;15,00;18,00;18,00;20,00;16,00;5,00;15,00;10,00;17,00;10,00;12,00;11,00;1,00;4,00
2019-02-17;24,00;252,00;216,00;144,00;96,00;96,00;57,23;99,69;121,85;75,60;52,80;61,20;80,40;69,33;85,33;34,67;24,00;44,00;56,00;38,00;30,00;30,00;28,00;19,00;25,00;29,00;18,00;5,00;10,00;10,00;9,00;9,00;9,00;6,00;2,00;5,00
2019-02-24;26,00;286,00;247,00;143,00;104,00;122,57;72,43;109,57;113,29;85,43;78,00;50,76;80,48;65,00;65,00;18,20;20,80;36,00;46,00;32,00;44,00;31,00;15,00;15,00;16,00;15,00;12,00;1,00;6,00;15,00;11,00;8,00;6,00;9,00;5,00;6,00
2019-03-03;32,00;416,00;272,00;240,00;144,00;144,00;88,00;124,00;110,00;70,40;71,68;57,60;90,88;64,00;74,67;37,33;32,00;32,00;51,00;34,00;35,00;27,00;18,00;27,00;23,00;30,00;16,00;5,00;10,00;6,00;14,00;7,00;10,00;4,00;2,00;4,00
2019-03-10;21,00;504,00;378,00;273,00;189,00;120,27;63,00;101,18;122,18;75,35;64,24;60,53;103,76;39,38;65,63;23,63;26,25;36,00;57,00;25,00;28,00;31,00;23,00;25,00;23,00;16,00;21,00;2,00;9,00;13,00;9,00;8,00;11,00;5,00;2,00;4,00
2019-03-17;24,00;324,00;216,00;156,00;96,00;120,00;55,38;90,46;112,62;48,00;63,60;70,80;76,80;58,67;64,00;29,33;21,33;42,00;53,00;20,00;30,00;27,00;27,00;19,00;20,00;21,00;24,00;6,00;9,00;6,00;15,00;4,00;2,00;3,00;2,00;2,00
2019-03-24;39,00;487,50;370,50;234,00;175,50;126,75;79,95;103,35;130,65;65,42;72,97;57,87;83,03;80,60;80,60;33,80;26,00;34,00;48,00;35,00;39,00;37,00;25,00;20,00;24,00;23,00;14,00;6,00;9,00;13,00;11,00;6,00;16,00;8,00;5,00;4,00
2019-03-31;43,00;372,67;243,67;186,33;172,00;148,55;89,91;103,59;160,27;93,59;82,21;78,41;103,71;86,00;91,38;32,25;26,88;45,00;51,00;24,00;33,00;45,00;22,00;11,00;27,00;21,00;21,00;12,00;20,00;20,00;17,00;11,00;16,00;9,00;10,00;5,00
2019-04-07;51,00;476,00;357,00;255,00;221,00;168,69;111,81;119,65;129,46;83,34;88,32;78,37;65,93;99,32;83,21;29,53;29,53;54,00;58,00;28,00;37,00;36,00;26,00;22,00;18,00;29,00;12,00;14,00;9,00;7,00;13,00;3,00;14,00;7,00;5,00;0,00
2019-04-14;36,00;1800,00;324,00;306,00;198,00;117,47;102,32;94,74;140,21;68,28;74,48;68,28;67,03;74,57;46,29;28,29;43,71;39,00;55,00;23,00;31,00;38,00;12,00;16,00;19,00;32,00;16,00;20,00;11,00;13,00;15,00;11,00;11,00;5,00;8,00;0,00
2019-04-21;46,00;368,00;230,00;184,00;153,33;95,83;82,42;95,83;95,83;67,14;53,46;41,03;82,05;48,56;46,00;33,22;25,56;41,00;54,00;37,00;22,00;46,00;13,00;10,00;26,00;27,00;13,00;10,00;9,00;10,00;10,00;11,00;10,00;3,00;3,00;4,00
2019-04-28;39,00;286,00;182,00;156,00;117,00;134,55;62,40;97,50;122,85;70,45;72,97;50,32;57,87;59,80;59,80;28,60;18,20;54,00;47,00;30,00;31,00;26,00;22,00;25,00;18,00;19,00;10,00;19,00;18,00;12,00;4,00;8,00;9,00;5,00;6,00;0,00
2019-05-05;47,00;344,67;203,67;172,33;125,33;117,50;58,75;152,75;121,42;59,37;61,84;59,37;55,66;70,50;78,33;20,89;20,89;54,00;50,00;20,00;33,00;31,00;23,00;21,00;22,00;29,00;20,00;22,00;21,00;17,00;19,00;5,00;16,00;8,00;7,00;7,00
2019-05-12;55,00;288,75;178,75;151,25;137,50;125,71;84,46;94,29;125,71;63,75;65,00;60,00;66,25;68,10;73,33;23,57;15,71;54,00;41,00;23,00;21,00;39,00;20,00;27,00;27,00;26,00;16,00;12,00;13,00;6,00;12,00;7,00;8,00;11,00;1,00;7,00
2019-05-19;45,00;330,00;210,00;150,00;165,00;129,13;74,35;84,13;109,57;48,75;63,75;75,00;65,00;71,47;84,71;26,47;23,82;49,00;48,00;29,00;34,00;26,00;14,00;25,00;28,00;29,00;12,00;29,00;17,00;10,00;10,00;13,00;11,00;5,00;5,00;6,00
2019-05-26;44,00;337,33;190,67;176,00;132,00;114,78;99,48;97,57;97,57;66,63;55,31;46,51;66,63;85,41;67,29;23,29;31,06;28,00;39,00;29,00;24,00;35,00;12,00;27,00;12,00;29,00;6,00;17,00;11,00;11,00;8,00;9,00;15,00;7,00;12,00;3,00
2019-06-02;42,00;308,00;224,00;154,00;140,00;106,91;85,91;84,00;103,09;69,18;82,76;45,71;59,29;63,00;126,00;34,13;23,63;51,00;35,00;36,00;19,00;45,00;20,00;24,00;25,00;31,00;16,00;17,00;15,00;14,00;7,00;11,00;9,00;13,00;11,00;4,00
2019-06-09;51,00;340,00;238,00;170,00;136,00;109,85;96,12;127,50;109,85;73,39;69,66;63,44;69,66;79,05;81,60;25,50;25,50;52,00;44,00;33,00;28,00;59,00;21,00;13,00;14,00;31,00;17,00;22,00;5,00;12,00;7,00;8,00;11,00;8,00;5,00;7,00
2019-06-16;60,00;315,00;195,00;150,00;150,00;129,68;87,10;96,77;100,65;75,00;42,50;48,75;71,25;62,61;57,39;26,09;31,30;49,00;48,00;38,00;31,00;39,00;19,00;24,00;20,00;22,00;13,00;12,00;8,00;18,00;11,00;6,00;20,00;11,00;1,00;2,00
2019-06-23;53,00;371,00;229,67;194,33;159,00;106,00;92,75;85,18;106,00;81,35;50,53;55,47;86,28;58,05;58,05;37,86;30,29;53,00;50,00;50,00;28,00;34,00;21,00;29,00;21,00;33,00;22,00;24,00;17,00;17,00;13,00;8,00;13,00;5,00;6,00;9,00
2019-06-30;48,00;416,00;304,00;240,00;176,00;128,64;119,04;103,68;107,52;82,46;82,46;59,08;67,69;82,67;74,67;21,33;42,67;38,00;51,00;36,00;38,00;57,00;25,00;14,00;25,00;44,00;22,00;21,00;18,00;26,00;20,00;19,00;15,00;4,00;6,00;6,00
