Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-01-06;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;3,00;0,00;2,00;0,00;0,00;8,00;0,00;3,00;63,38;1,22;17,06;4,88;8,00;0,00;9,00;0,00;5,57;92,86;9,29;0,00;189,00;9,00;39,00;6,00;22,00;2,00;7,00;21,00;48,49;5,27;0,00;3,16
2019-01-13;41,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;3,00;89,45;8,70;41,00;3,73;18,00;2,00;7,00;5,00;7,45;87,59;14,91;1,86;189,23;15,77;25,23;6,31;27,00;12,00;5,00;9,00;75,53;3,24;0,00;17,26
2019-01-20;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;5,00;0,00;3,00;67,35;14,69;28,16;6,12;15,00;2,00;3,00;3,00;9,38;78,75;3,75;1,88;195,79;9,47;31,58;12,63;25,00;0,00;2,00;17,00;93,21;11,79;0,00;12,86
2019-01-27;39,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;52,84;11,32;27,68;8,81;13,00;3,00;7,00;2,00;9,29;52,00;7,43;1,86;201,50;9,75;35,75;9,75;19,00;3,00;2,00;29,00;49,83;15,17;0,00;6,50
2019-02-03;37,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;2,00;2,00;5,00;3,00;0,00;64,13;4,93;23,43;3,70;6,00;2,00;0,00;0,00;7,40;72,15;18,50;0,00;185,00;18,50;33,92;9,25;8,00;8,00;5,00;20,00;47,57;12,69;0,00;9,51
2019-02-10;22,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;63,56;4,89;22,00;6,11;11,00;2,00;10,00;0,00;5,50;64,17;7,33;0,00;135,14;12,57;34,57;3,14;22,00;3,00;0,00;17,00;71,50;6,60;0,00;18,70
2019-02-17;48,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;3,00;2,00;0,00;0,00;2,00;5,00;0,00;2,00;70,15;7,38;20,92;4,92;12,00;0,00;2,00;0,00;7,38;72,00;12,92;1,85;153,60;22,40;25,60;6,40;24,00;5,00;3,00;19,00;59,73;3,20;0,00;10,67
2019-02-24;43,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;2,00;2,00;2,00;5,00;0,00;2,00;2,00;3,00;0,00;2,00;58,97;6,14;17,20;6,14;16,00;2,00;13,00;0,00;9,35;56,09;9,35;0,00;205,79;9,21;27,64;18,43;30,00;2,00;3,00;17,00;44,08;11,83;0,00;20,43
2019-03-03;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;71,53;9,87;23,43;6,17;15,00;3,00;2,00;2,00;7,40;81,40;12,95;0,00;191,17;15,42;37,00;12,33;29,00;12,00;3,00;22,00;62,37;9,51;0,00;13,74
2019-03-10;45,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;7,00;2,00;0,00;3,00;0,00;3,00;0,00;2,00;75,41;9,73;32,84;3,65;22,00;3,00;7,00;2,00;7,50;69,38;5,63;0,00;205,71;16,07;28,93;22,50;33,00;5,00;2,00;18,00;99,64;10,71;0,00;6,43
