Semaine;Nice (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Bordeaux (FR);Tours (FR);Hamburg (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES)
2019-01-06;39,00;14,00;2,00;2,00;9,00;7,00;0,00;2,00;23,00;40,00;17,00;23,00;60,00;33,00;37,00;185,25;269,75;26,00;130,00;101,40;234,00;62,40;15,60;120,00;93,00;75,00;159,00;312,00;9,75;117,00;156,00;520,00;793,00;156,00;273,00
2019-01-13;41,00;16,00;0,00;3,00;15,00;7,00;9,00;2,00;28,00;53,00;7,00;33,00;50,00;28,00;45,00;192,38;258,62;22,08;110,38;114,80;229,60;57,40;16,40;107,23;94,62;85,15;233,38;389,50;10,25;164,00;164,00;574,00;847,33;150,33;314,33
2019-01-20;60,00;24,00;2,00;5,00;20,00;9,00;10,00;10,00;34,00;29,00;12,00;29,00;52,00;25,00;35,00;157,89;243,16;28,42;94,74;85,71;274,29;60,00;17,14;114,00;81,00;84,00;165,00;320,00;10,00;120,00;160,00;645,00;960,00;180,00;390,00
2019-01-27;39,00;19,00;0,00;0,00;20,00;9,00;10,00;8,00;22,00;34,00;30,00;30,00;49,00;26,00;33,00;149,50;250,25;22,75;97,50;93,60;202,80;54,60;7,80;105,00;81,00;63,00;174,00;312,00;9,75;117,00;156,00;507,00;780,00;156,00;260,00
2019-02-03;37,00;15,00;0,00;3,00;11,00;15,00;10,00;6,00;30,00;29,00;19,00;29,00;46,00;21,00;32,00;169,58;228,17;12,33;86,33;92,50;296,00;64,75;18,50;123,33;77,08;86,33;172,67;296,00;9,25;166,50;129,50;493,33;703,00;135,67;246,67
2019-02-10;22,00;21,00;0,00;5,00;8,00;22,00;3,00;5,00;22,00;12,00;12,00;34,00;35,00;36,00;59,00;163,43;289,14;18,86;78,57;88,00;198,00;51,33;7,33;110,00;97,43;88,00;144,57;374,00;11,00;198,00;176,00;407,00;748,00;121,00;253,00
2019-02-17;48,00;14,00;2,00;2,00;10,00;7,00;7,00;3,00;19,00;21,00;15,00;24,00;56,00;42,00;39,00;172,80;268,80;19,20;86,40;96,00;272,00;56,00;16,00;120,00;87,00;99,00;162,00;456,00;12,00;168,00;192,00;528,00;744,00;168,00;276,00
2019-02-24;43,00;12,00;0,00;3,00;22,00;12,00;10,00;3,00;17,00;15,00;18,00;21,00;33,00;22,00;36,00;175,07;239,57;30,71;98,29;111,80;240,80;60,20;17,20;132,07;73,71;86,00;199,64;365,50;10,75;193,50;172,00;587,67;888,67;200,67;387,00
2019-03-03;37,00;28,00;5,00;2,00;12,00;9,00;7,00;5,00;26,00;29,00;12,00;38,00;61,00;31,00;35,00;166,50;218,92;37,00;83,25;166,50;296,00;64,75;27,75;107,92;101,75;101,75;194,25;333,00;9,25;148,00;129,50;579,67;814,00;111,00;345,33
2019-03-10;45,00;16,00;2,00;5,00;16,00;9,00;5,00;5,00;40,00;25,00;9,00;41,00;73,00;39,00;38,00;186,43;308,57;35,36;115,71;144,00;288,00;45,00;27,00;141,00;87,00;93,00;210,00;450,00;11,25;202,50;180,00;660,00;1020,00;195,00;420,00
