Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2019-01-06;22,00;79,20;25,00;13,00;100,00;33,00
2019-01-13;24,00;62,18;28,00;13,00;85,00;28,00
2019-01-20;21,00;70,35;26,00;6,00;92,00;27,00
2019-01-27;15,00;61,07;19,00;9,00;76,00;22,00
2019-02-03;21,00;65,10;21,00;9,00;75,00;27,00
2019-02-10;20,00;57,89;21,00;11,00;77,00;22,00
2019-02-17;21,00;66,15;20,00;10,00;75,00;26,00
2019-02-24;20,00;58,95;17,00;11,00;70,00;21,00
2019-03-03;19,00;65,94;17,00;9,00;65,00;19,00
2019-03-10;11,00;67,10;16,00;13,00;66,00;19,00
2019-03-17;10,00;49,00;13,00;12,00;54,00;13,00
2019-03-24;11,00;49,00;11,00;6,00;51,00;13,00
2019-03-31;12,00;56,73;12,00;6,00;44,00;11,00
2019-04-07;6,00;45,00;14,00;5,00;53,00;18,00
2019-04-14;9,00;43,88;10,00;10,00;43,00;12,00
2019-04-21;5,00;37,00;13,00;6,00;41,00;11,00
2019-04-28;6,00;46,00;6,00;7,00;38,00;14,00
2019-05-05;7,00;31,00;6,00;5,00;37,00;13,00
2019-05-12;8,00;34,00;14,00;6,00;32,00;12,00
2019-05-19;5,00;35,00;7,00;6,00;33,00;12,00
2019-05-26;6,00;30,00;6,00;6,00;38,00;13,00
2019-06-02;7,00;37,00;7,00;6,00;74,00;13,00
2019-06-09;6,00;28,00;8,00;8,00;75,00;11,00
2019-06-16;11,00;34,00;7,00;6,00;85,00;12,00
2019-06-23;8,00;58,29;11,00;3,00;64,00;11,00
2019-06-30;7,00;43,17;8,00;5,00;46,00;10,00
2019-07-07;5,00;37,00;9,00;5,00;52,00;14,00
2019-07-14;7,00;45,50;8,00;4,00;41,00;15,00
2019-07-21;7,00;39,00;10,00;7,00;45,00;12,00
2019-07-28;8,00;46,86;9,00;2,00;32,00;17,00
2019-08-04;9,00;37,00;11,00;7,00;41,00;15,00
2019-08-11;7,00;48,00;12,00;5,00;34,00;17,00
2019-08-18;10,00;48,89;11,00;6,00;34,00;16,00
2019-08-25;9,00;67,50;8,00;5,00;35,00;16,00
2019-09-01;8,00;49,00;13,00;6,00;39,00;17,00
2019-09-08;8,00;41,14;10,00;7,00;37,00;17,00
2019-09-15;11,00;36,00;12,00;5,00;36,00;13,00
2019-09-22;10,00;39,00;9,00;5,00;39,00;16,00
2019-09-29;9,00;42,00;9,00;5,00;40,00;17,00
2019-10-06;12,00;38,18;8,00;5,00;39,00;17,00
2019-10-13;12,00;41,00;12,00;6,00;46,00;17,00
2019-10-20;10,00;42,00;9,00;7,00;40,00;14,00
2019-10-27;9,00;45,00;12,00;8,00;45,00;18,00
2019-11-03;11,00;46,20;9,00;9,00;48,00;17,00
2019-11-10;10,00;51,11;15,00;11,00;46,00;20,00
2019-11-17;12,00;40,36;15,00;11,00;48,00;16,00
2019-11-24;10,00;48,89;12,00;10,00;52,00;16,00
2019-12-01;10,00;44,00;13,00;7,00;52,00;16,00
2019-12-08;9,00;42,75;15,00;9,00;51,00;18,00
2019-12-15;12,00;42,00;13,00;9,00;46,00;18,00
