Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;24,00;288,00;4,80;2,40;24,00;43,50;16,50;28,50;79,50;75,27;12,00;27,27;9,82;18,00;35,00;4,00;1,00;1,00;2,00;4,00;1,00;10,00;3,00;11,00;3,00;0,50;1,00;0,50;0,50;1,00;2,00;2,00;0,00;1,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;21,00;336,00;10,50;0,00;31,50;46,50;24,00;21,00;85,50;74,55;10,50;23,10;6,30;22,00;32,00;5,00;1,00;3,00;3,00;1,00;1,00;9,00;3,00;15,00;3,00;0,50;1,00;0,50;1,00;1,00;2,00;1,00;0,00;1,00;0,50;1,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-01-20;20,00;295,00;5,00;0,00;25,00;40,00;16,92;16,92;73,85;67,37;8,42;25,26;11,58;22,00;28,00;3,00;1,00;3,00;1,00;2,00;2,00;8,00;4,00;10,00;2,00;0,50;1,00;0,00;0,50;1,00;1,00;0,50;0,00;0,50;0,50;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00
2019-01-27;17,00;351,33;5,67;0,00;28,33;40,18;20,09;17,00;92,73;54,19;8,50;23,38;10,63;15,00;29,00;3,00;4,00;2,00;1,00;3,00;1,00;10,00;5,00;11,00;2,00;0,50;0,00;0,50;0,00;2,00;1,00;2,00;0,50;1,00;0,00;1,00;1,00;0,50;0,00;0,00;1,00;0,00;0,00
2019-02-03;14,00;280,00;4,67;0,00;28,00;42,00;15,56;14,00;68,44;46,31;8,62;26,92;8,62;14,00;26,00;4,00;2,00;2,00;1,00;2,00;2,00;10,00;3,00;11,00;1,00;0,50;0,50;0,00;0,50;1,00;0,50;1,00;0,00;1,00;0,00;0,50;1,00;0,50;0,00;0,50;0,00;0,50;0,00
2019-02-10;15,00;295,00;5,00;2,50;25,00;34,50;18,00;12,00;72,00;47,14;11,79;24,64;9,64;17,00;24,00;4,00;1,00;3,00;1,00;3,00;2,00;9,00;3,00;9,00;2,00;0,00;0,50;0,50;0,50;2,00;2,00;1,00;0,50;1,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,00
2019-02-17;18,00;243,00;4,50;0,00;22,50;33,00;15,00;12,00;58,50;54,00;7,88;28,13;7,88;16,00;27,00;5,00;1,00;3,00;0,50;2,00;1,00;7,00;4,00;8,00;3,00;0,50;1,00;0,50;0,50;1,00;1,00;1,00;0,50;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00
2019-02-24;16,00;314,67;10,67;0,00;26,67;32,00;11,64;7,27;56,73;42,67;5,33;22,40;8,53;17,00;23,00;3,00;1,00;2,00;1,00;3,00;2,00;6,00;4,00;11,00;2,00;0,00;0,00;0,50;0,50;1,00;1,00;0,50;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00;0,00
2019-03-03;17,00;357,00;5,67;0,00;34,00;34,00;15,45;10,82;68,00;52,06;5,31;26,56;7,44;18,00;27,00;4,00;1,00;1,00;1,00;4,00;2,00;13,00;4,00;13,00;2,00;0,00;0,50;0,50;0,50;2,00;1,00;0,00;1,00;2,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-03-10;21,00;325,50;5,25;0,00;26,25;37,50;18,00;12,00;61,50;50,40;7,35;25,20;9,45;13,00;25,00;5,00;3,00;1,00;3,00;5,00;2,00;10,00;4,00;11,00;2,00;0,00;0,50;1,00;0,50;2,00;1,00;1,00;0,50;1,00;0,00;0,00;1,00;0,50;0,00;0,00;0,50;0,00;0,00
