Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-01-06;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;2,00;4,00;4,00;4,00;4,00;2,00;2,00;2,00;6,00;4,00;0,00;0,00;28,00;17,00;19,00;53,00;8,00;0,00;13,00;32,00;146,92;7,17;0,00;17,92
2019-01-13;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;16,00;4,00;8,00;8,00;2,00;8,00;2,00;0,00;6,00;11,00;6,00;2,00;24,00;19,00;8,00;43,00;6,00;0,00;4,00;32,00;129,50;7,00;0,00;14,00
2019-01-20;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;14,00;0,00;8,00;2,00;0,00;4,00;0,00;0,00;4,00;19,00;6,00;0,00;48,00;19,00;21,00;65,00;6,00;0,00;2,00;25,00;196,00;4,00;0,00;12,00
2019-01-27;19,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;8,00;4,00;2,00;0,00;2,00;0,00;6,00;4,00;4,00;0,00;20,00;31,00;17,00;41,00;4,00;4,00;8,00;38,00;197,60;7,60;0,00;11,40
2019-02-03;8,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;6,00;2,00;10,00;2,00;0,00;0,00;0,00;6,00;10,00;8,00;4,00;0,00;24,00;14,00;15,00;14,00;2,00;2,00;4,00;21,00;168,00;12,00;0,00;12,00
2019-02-10;11,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;15,00;6,00;13,00;2,00;0,00;2,00;6,00;0,00;8,00;8,00;2,00;2,00;41,00;21,00;16,00;27,00;4,00;0,00;2,00;23,00;176,00;11,00;0,00;11,00
2019-02-17;21,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;6,00;8,00;8,00;6,00;0,00;0,00;0,00;0,00;8,00;6,00;2,00;0,00;35,00;15,00;7,00;21,00;6,00;0,00;4,00;28,00;203,00;3,50;0,00;21,00
2019-02-24;16,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;2,00;10,00;2,00;2,00;8,00;0,00;0,00;0,00;2,00;10,00;6,00;8,00;0,00;37,00;10,00;16,00;30,00;6,00;2,00;4,00;14,00;140,00;12,00;0,00;20,00
2019-03-03;21,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;10,00;6,00;4,00;6,00;0,00;0,00;2,00;0,00;8,00;8,00;4,00;0,00;24,00;19,00;8,00;25,00;10,00;4,00;2,00;42,00;157,50;3,50;0,00;17,50
2019-03-10;28,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;8,00;6,00;2,00;4,00;0,00;0,00;0,00;8,00;13,00;0,00;0,00;48,00;25,00;17,00;32,00;2,00;0,00;8,00;21,00;157,50;3,50;0,00;17,50
2019-03-17;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;2,00;10,00;6,00;6,00;2,00;4,00;0,00;12,00;8,00;0,00;0,00;37,00;14,00;12,00;28,00;16,00;0,00;10,00;16,00;150,00;3,33;0,00;10,00
2019-03-24;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;13,00;7,00;11,00;13,00;2,00;2,00;2,00;0,00;13,00;7,00;4,00;0,00;50,00;26,00;9,00;30,00;6,00;0,00;7,00;28,00;193,80;11,40;0,00;7,60
