Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-01-06;86,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;16,83;186,96;0,00;9,35;51,00;17,00;17,00;0,00;0,00;0,00;0,00;26,00;0,00;9,00;69,00;9,00;0,00;17,00;17,00;0,00;151,24;0,00;8,90;91,93;41,52;0,00;296,55;59,31;105,11;0,00;477,78;19,11;100,33;86,00;0,00;243,67
2019-01-13;26,00;0,00;0,00;0,00;43,00;0,00;9,00;0,00;16,71;118,86;0,00;9,29;34,00;9,00;26,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;43,00;17,00;0,00;0,00;0,00;0,00;106,89;0,00;17,33;75,11;57,78;0,00;205,11;26,00;46,80;20,80;462,80;0,00;104,00;58,50;6,50;162,50
2019-01-20;43,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;16,83;33,65;0,00;9,35;26,00;0,00;9,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;9,00;0,00;104,43;0,00;0,00;61,43;70,64;0,00;122,86;18,43;76,44;0,00;277,11;0,00;100,33;107,50;35,83;143,33
2019-01-27;42,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;7,30;49,30;0,00;0,00;42,00;0,00;17,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;26,00;0,00;8,00;0,00;9,00;17,00;111,00;18,00;18,00;78,00;27,00;0,00;144,00;18,00;65,33;9,33;224,00;0,00;112,00;77,00;7,00;49,00
2019-02-03;69,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,32;93,24;0,00;9,32;51,00;9,00;43,00;0,00;9,00;0,00;9,00;0,00;0,00;9,00;17,00;0,00;0,00;0,00;0,00;9,00;111,00;0,00;9,00;78,00;27,00;0,00;156,00;51,00;78,86;9,86;221,79;0,00;110,40;96,60;6,90;96,60
2019-02-10;46,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;9,58;74,75;0,00;19,17;73,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;18,00;0,00;0,00;9,00;46,00;0,00;18,40;18,40;95,07;0,00;141,07;18,40;36,80;0,00;138,00;0,00;216,86;26,29;0,00;78,86
2019-02-17;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;0,00;17,18;8,00;0,00;17,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;17,00;0,00;42,00;0,00;33,00;33,00;18,00;0,00;84,00;18,00;18,67;0,00;144,67;0,00;14,00;35,00;7,00;119,00
2019-02-24;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;17,00;0,00;0,00;0,00;34,67;0,00;17,33;8,67;17,33;0,00;66,44;26,00;17,33;8,67;112,67;0,00;32,50;19,50;13,00;52,00
2019-03-03;59,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;25,81;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;26,00;0,00;32,45;0,00;0,00;0,00;17,70;17,70;73,75;26,55;24,58;9,83;162,25;0,00;44,25;36,88;29,50;162,25
2019-03-10;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;17,00;0,00;0,00;17,00;17,00;0,00;99,17;8,50;38,25;8,50;29,75;8,50;34,00;68,00;17,00;25,50
