Semaine;Nice (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Bordeaux (FR);Tours (FR);Hamburg (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES)
2019-01-06;43,00;4,00;0,00;0,00;4,00;8,00;0,00;0,00;3,07;6,14;227,29;21,50;43,00;43,00;989,00;58,00;31,00;4,00;33,00;109,89;44,59;25,48;0,00;96,75;139,75;53,75;71,67;92,72;0,00;41,66;65,84;94,60;286,67;74,53;86,00
2019-01-13;35,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;5,83;2,92;268,33;8,75;35,00;70,00;822,50;28,00;43,00;4,00;41,00;109,77;44,55;35,00;7,95;120,56;163,33;58,33;62,22;99,62;0,00;45,77;35,00;96,25;236,25;52,50;78,75
2019-01-20;20,00;0,00;0,00;2,00;2,00;4,00;2,00;0,00;3,33;6,67;280,00;10,00;20,00;60,00;1020,00;40,00;37,00;6,00;14,00;83,33;48,33;38,33;3,33;132,00;216,00;56,00;44,00;56,00;0,00;78,67;53,33;97,14;240,00;42,86;120,00
2019-01-27;19,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;6,33;6,33;247,00;9,50;19,00;76,00;874,00;50,00;27,00;4,00;18,00;107,67;45,92;34,83;1,58;76,00;205,20;26,60;60,80;54,29;0,00;69,21;63,79;97,71;176,43;54,29;111,29
2019-02-03;8,00;6,00;0,00;0,00;6,00;2,00;6,00;4,00;8,00;0,00;432,00;0,00;32,00;80,00;800,00;50,00;35,00;4,00;26,00;121,60;52,80;36,80;6,40;88,00;208,00;40,00;96,00;56,00;5,33;98,67;54,67;125,33;197,33;72,00;112,00
2019-02-10;11,00;0,00;0,00;2,00;4,00;0,00;0,00;2,00;5,50;0,00;324,50;5,50;22,00;44,00;594,00;45,10;50,60;8,80;29,70;104,50;53,17;42,17;7,33;84,33;205,33;40,33;77,00;60,50;4,13;92,13;56,38;112,75;178,75;101,75;85,25
2019-02-17;21,00;7,00;0,00;2,00;2,00;4,00;2,00;0,00;2,63;0,00;189,00;10,50;21,00;84,00;1029,00;71,00;50,00;2,00;21,00;103,38;51,69;43,62;3,23;91,00;185,50;35,00;66,50;45,94;1,31;51,19;52,50;126,00;249,00;84,00;108,00
2019-02-24;16,00;4,00;2,00;0,00;6,00;4,00;0,00;0,00;5,33;0,00;197,33;8,00;16,00;64,00;720,00;22,00;32,00;2,00;22,00;70,40;43,20;27,20;6,40;96,00;168,00;36,00;56,00;58,67;4,00;54,67;49,33;121,60;262,40;73,60;128,00
2019-03-03;21,00;4,00;0,00;0,00;2,00;2,00;8,00;2,00;5,25;0,00;220,50;10,50;21,00;63,00;987,00;73,00;42,00;4,00;33,00;90,46;51,69;33,92;0,00;77,00;143,50;45,50;98,00;34,13;1,31;63,00;44,63;123,00;168,00;75,00;111,00
2019-03-10;28,00;4,00;0,00;2,00;2,00;0,00;0,00;0,00;5,60;0,00;207,20;14,00;56,00;112,00;1372,00;77,78;63,26;4,15;29,04;118,59;49,41;31,29;8,24;112,00;192,00;40,00;88,00;41,33;0,00;57,33;58,67;168,00;208,44;90,22;115,11
