Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2019-01-06;0,00;26,00;47,00;8,00;39,00;8,00
2019-01-13;31,00;32,82;8,00;0,00;63,00;23,00
2019-01-20;0,00;9,00;23,00;8,00;8,00;0,00
2019-01-27;0,00;22,00;100,00;0,00;39,00;8,00
2019-02-03;8,00;44,00;16,00;0,00;71,00;8,00
2019-02-10;8,00;30,40;8,00;0,00;68,00;8,00
2019-02-17;0,00;22,00;23,00;0,00;39,00;8,00
2019-02-24;16,00;16,00;16,00;0,00;24,00;8,00
2019-03-03;8,00;96,00;15,00;15,00;39,00;0,00
2019-03-10;0,00;4,00;0,00;0,00;32,00;0,00
2019-03-17;8,00;18,00;0,00;8,00;40,00;8,00
2019-03-24;15,00;24,38;0,00;0,00;8,00;7,00
2019-03-31;8,00;54,00;8,00;0,00;0,00;0,00
2019-04-07;0,00;9,00;24,00;0,00;8,00;0,00
2019-04-14;0,00;5,00;9,00;9,00;37,00;0,00
2019-04-21;0,00;9,00;0,00;8,00;24,00;0,00
2019-04-28;0,00;21,00;7,00;0,00;15,00;0,00
2019-05-05;15,00;43,33;23,00;0,00;8,00;8,00
2019-05-12;8,00;10,00;0,00;0,00;32,00;0,00
2019-05-19;15,00;30,00;15,00;0,00;8,00;0,00
2019-05-26;15,00;21,67;0,00;0,00;16,00;0,00
2019-06-02;0,00;22,00;15,00;0,00;54,00;0,00
2019-06-09;0,00;13,00;0,00;0,00;47,00;0,00
2019-06-16;0,00;32,00;8,00;0,00;16,00;8,00
2019-06-23;0,00;14,00;17,00;8,00;17,00;8,00
2019-06-30;0,00;19,00;0,00;0,00;43,00;0,00
2019-07-07;9,00;27,00;0,00;0,00;18,00;9,00
2019-07-14;9,00;28,80;28,00;9,00;28,00;0,00
2019-07-21;19,00;30,40;0,00;0,00;29,00;0,00
2019-07-28;17,00;32,30;17,00;0,00;26,00;8,00
2019-08-04;0,00;42,00;8,00;0,00;8,00;8,00
2019-08-11;7,00;45,50;38,00;0,00;0,00;0,00
2019-08-18;0,00;27,00;23,00;0,00;24,00;8,00
2019-08-25;0,00;18,00;23,00;0,00;16,00;8,00
2019-09-01;7,00;29,75;30,00;0,00;38,00;0,00
2019-09-08;7,00;59,50;30,00;7,00;15,00;0,00
2019-09-15;7,00;38,50;15,00;0,00;15,00;0,00
2019-09-22;0,00;30,00;0,00;0,00;46,00;0,00
2019-09-29;15,00;31,88;22,00;0,00;23,00;0,00
2019-10-06;0,00;9,00;8,00;7,00;15,00;0,00
2019-10-13;8,00;54,00;8,00;0,00;24,00;0,00
2019-10-20;0,00;21,00;0,00;0,00;15,00;0,00
2019-10-27;0,00;13,00;15,00;0,00;0,00;0,00
2019-11-03;0,00;21,00;0,00;7,00;30,00;0,00
2019-11-10;7,00;36,75;22,00;0,00;37,00;15,00
2019-11-17;0,00;30,00;7,00;7,00;45,00;7,00
2019-11-24;14,00;56,00;7,00;7,00;7,00;7,00
2019-12-01;7,00;29,75;7,00;0,00;22,00;0,00
2019-12-08;0,00;25,00;15,00;14,00;30,00;29,00
2019-12-15;7,00;59,50;8,00;0,00;15,00;7,00
2019-12-22;0,00;30,00;26,00;0,00;44,00;0,00
2019-12-29;0,00;22,00;31,00;0,00;31,00;8,00
2020-01-05;7,00;49,00;7,00;7,00;22,00;7,00
2020-01-12;0,00;23,00;21,00;0,00;63,00;0,00
2020-01-19;0,00;25,00;22,00;0,00;22,00;7,00
2020-01-26;0,00;44,00;21,00;0,00;29,00;0,00
2020-02-02;0,00;37,00;22,00;7,00;15,00;7,00
2020-02-09;7,00;36,75;8,00;15,00;23,00;7,00
2020-02-16;0,00;16,00;7,00;0,00;15,00;14,00
2020-02-23;14,00;35,00;21,00;7,00;7,00;0,00
2020-03-01;7,00;14,00;0,00;0,00;28,00;0,00
