Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;19,00;2,38;237,50;114,00;0,00;16,00
2019-01-13;13,00;2,17;192,83;95,33;1,08;15,00
2019-01-20;14,00;1,17;186,67;95,67;2,33;15,00
2019-01-27;16,00;1,14;155,43;98,29;1,14;13,00
2019-02-03;12,00;2,00;134,00;72,00;2,00;16,00
2019-02-10;10,00;2,00;130,00;92,00;2,00;11,00
2019-02-17;16,00;2,29;134,86;93,71;0,00;10,00
2019-02-24;9,00;4,50;141,75;90,00;1,13;18,00
2019-03-03;15,00;4,29;147,86;83,57;0,00;15,00
2019-03-10;12,00;1,20;156,00;84,00;0,00;9,00
2019-03-17;17,00;4,25;129,63;91,38;1,06;13,00
2019-03-24;14,00;2,33;144,67;88,67;0,00;12,00
2019-03-31;11,00;2,20;118,80;88,00;2,20;10,00
2019-04-07;10,00;2,00;132,00;82,00;1,00;12,00
2019-04-14;8,00;2,00;94,00;80,00;1,00;14,00
2019-04-21;11,00;2,20;147,40;72,60;1,10;12,00
2019-04-28;12,00;1,20;148,80;79,20;1,20;8,00
2019-05-05;20,00;1,11;111,11;84,44;2,22;19,00
2019-05-12;9,00;2,25;135,00;83,25;1,13;13,00
2019-05-19;10,00;2,50;150,00;95,00;2,50;15,00
2019-05-26;14,00;1,17;147,00;67,67;1,17;12,00
2019-06-02;17,00;2,13;125,38;78,63;2,13;11,00
2019-06-09;19,00;1,19;173,38;80,75;2,38;12,00
2019-06-16;14,00;2,33;126,00;100,33;0,00;13,00
2019-06-23;15,00;2,14;117,86;81,43;1,07;11,00
2019-06-30;10,00;0,00;140,00;102,50;1,25;12,00
2019-07-07;13,00;2,17;132,17;75,83;2,17;24,00
2019-07-14;11,00;2,20;129,80;83,60;2,20;8,00
2019-07-21;13,00;1,08;134,33;95,33;2,17;12,00
2019-07-28;14,00;2,33;147,00;102,67;1,17;17,00
2019-08-04;43,00;1,13;153,89;92,79;1,13;9,00
2019-08-11;13,00;1,08;138,67;88,83;2,17;12,00
2019-08-18;17,00;4,25;136,00;76,50;2,13;16,00
2019-08-25;11,00;1,10;145,20;90,20;0,00;12,00
2019-09-01;16,00;2,29;146,29;89,14;1,14;12,00
2019-09-08;16,00;2,29;166,86;102,86;1,14;19,00
2019-09-15;15,00;2,14;139,29;83,57;4,29;10,00
2019-09-22;14,00;2,33;165,67;88,67;2,33;14,00
2019-09-29;18,00;4,50;132,75;87,75;0,00;12,00
2019-10-06;13,00;4,33;138,67;88,83;1,08;13,00
2019-10-13;9,00;4,50;123,75;96,75;2,25;11,00
2019-10-20;13,00;6,50;114,83;75,83;1,08;13,00
2019-10-27;12,00;1,20;117,60;86,40;2,40;12,00
2019-11-03;55,00;2,29;130,63;84,79;0,00;11,00
2019-11-10;19,00;1,06;122,44;57,00;2,11;9,00
