Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;44,00;333,14;132,00;0,00;44,00;264,00;4,40;110,00;145,20;106,12;44,00;75,06;38,82;20,39;38,63;7,51;9,66;8,46;8,46;5,08;13,54;16,00;4,00;20,00;3,00;0,00;17,00;2,00;0,00;3,00;3,00;4,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-01-13;42,00;324,00;114,00;0,00;48,00;243,60;4,20;100,80;134,40;128,63;49,88;78,75;34,13;34,65;50,40;11,55;3,15;15,12;15,12;13,44;8,40;22,00;1,00;25,00;4,00;0,00;16,00;0,00;0,00;7,00;1,00;1,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-01-20;43,00;245,71;98,29;0,00;55,29;197,80;4,30;68,80;103,20;108,76;37,94;55,65;20,24;26,22;28,32;7,34;5,24;3,31;1,65;6,62;9,92;7,00;5,00;25,00;6,00;0,00;14,00;0,00;0,00;3,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00
2019-01-27;15,00;195,00;100,00;0,00;50,00;161,25;3,75;45,00;93,75;110,00;37,50;65,00;40,00;38,57;50,36;8,57;6,43;3,33;10,00;5,00;11,67;14,00;4,00;10,00;1,00;0,00;7,00;1,00;0,00;1,00;1,00;1,00;1,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-02-03;22,00;231,00;99,00;0,00;55,00;184,80;4,40;52,80;105,60;74,25;44,00;82,50;35,75;46,20;36,30;11,00;5,50;1,69;0,00;6,77;11,85;7,00;4,00;16,00;6,00;1,00;48,00;3,00;1,00;4,00;3,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-02-10;22,00;214,50;115,50;0,00;66,00;184,80;8,80;66,00;105,60;68,44;36,67;68,44;44,00;23,05;40,86;8,38;8,38;6,77;1,69;13,54;8,46;16,00;3,00;16,00;3,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-02-17;27,00;248,40;81,00;0,00;37,80;157,50;4,50;54,00;94,50;99,90;35,10;45,90;67,50;31,32;37,80;4,32;4,32;3,38;3,38;8,44;5,06;10,00;12,00;15,00;4,00;0,00;7,00;2,00;1,00;4,00;1,00;3,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-02-24;35,00;227,50;93,33;0,00;52,50;170,63;8,75;39,38;91,88;87,50;25,00;57,50;47,50;19,09;40,30;6,36;8,48;5,00;8,33;11,67;8,33;19,00;10,00;13,00;3,00;1,00;8,00;2,00;4,00;0,00;1,00;0,00;1,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-03-03;29,00;237,80;87,00;0,00;46,40;186,43;4,14;29,00;74,57;79,09;31,64;60,64;39,55;17,19;52,63;16,11;0,00;1,71;5,12;5,12;1,71;13,00;10,00;13,00;4,00;0,00;4,00;2,00;1,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-03-10;31,00;217,00;111,60;0,00;43,40;212,57;4,43;53,14;84,14;69,75;28,42;54,25;36,17;32,03;27,90;11,37;5,17;11,42;11,42;14,68;14,68;21,00;8,00;13,00;4,00;0,00;8,00;1,00;1,00;7,00;8,00;3,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;18,00;276,00;102,00;0,00;36,00;234,00;9,00;45,00;67,50;90,00;36,00;43,71;38,57;30,71;40,24;9,53;7,41;4,91;1,64;3,27;9,82;20,00;0,00;20,00;0,00;0,00;11,00;0,00;3,00;0,00;1,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-03-24;26,00;234,00;67,60;0,00;26,00;212,33;4,33;43,33;86,67;75,40;44,20;52,00;49,40;19,76;36,40;4,16;3,12;4,88;4,88;8,13;4,88;25,00;7,00;17,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;41,00;281,14;87,86;0,00;35,14;237,80;41,00;36,90;102,50;115,31;38,44;53,81;33,31;37,85;39,95;6,31;7,36;3,28;4,92;6,56;14,76;15,00;7,00;15,00;6,00;0,00;6,00;2,00;1,00;7,00;0,00;0,00;0,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-04-07;64,00;314,18;98,91;0,00;52,36;234,67;8,53;51,20;128,00;89,60;28,16;51,20;33,28;20,98;23,08;11,54;5,25;8,42;3,37;10,11;11,79;27,00;7,00;20,00;4,00;1,00;8,00;2,00;1,00;0,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-04-14;41,00;357,29;93,71;0,00;46,86;227,78;13,67;63,78;113,89;99,94;38,44;51,25;25,63;38,90;35,74;12,62;4,21;8,54;11,96;6,83;18,79;18,00;7,00;11,00;0,00;3,00;6,00;0,00;3,00;3,00;0,00;4,00;0,00;6,00;1,00;1,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-21;54,00;402,00;96,00;0,00;36,00;290,77;8,31;49,85;149,54;90,00;38,57;72,00;20,57;38,42;36,35;10,38;4,15;10,13;18,56;8,44;16,88;28,00;10,00;32,00;12,00;0,00;4,00;5,00;0,00;7,00;1,00;4,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;54,00;408,00;84,00;0,00;42,00;346,50;2,25;49,50;166,50;126,00;46,29;79,71;33,43;59,29;56,12;5,29;5,29;13,50;10,13;8,44;20,25;13,00;8,00;24,00;8,00;0,00;12,00;1,00;1,00;7,00;1,00;4,00;0,00;7,00;1,00;0,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00
2019-05-05;52,00;392,89;86,67;0,00;23,11;307,67;8,67;43,33;147,33;111,80;39,00;78,00;36,40;42,45;46,69;11,67;9,55;20,13;6,71;13,42;10,06;21,00;11,00;32,00;6,00;3,00;11,00;1,00;3,00;7,00;4,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-12;56,00;358,40;84,00;0,00;22,40;314,46;4,31;86,15;180,92;129,82;43,27;45,82;28,00;47,55;61,28;15,85;8,45;20,36;16,97;10,18;16,97;23,00;17,00;17,00;4,00;0,00;11,00;2,00;0,00;3,00;4,00;3,00;0,00;6,00;4,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-19;52,00;404,44;80,89;0,00;28,89;351,00;8,67;73,67;130,00;111,80;41,60;46,80;49,40;45,63;62,61;8,49;7,43;11,74;10,06;20,13;8,39;25,00;11,00;17,00;11,00;0,00;7,00;1,00;0,00;4,00;1,00;1,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;47,00;340,75;76,38;0,00;17,63;299,09;8,55;98,27;162,36;127,94;54,83;52,22;31,33;40,73;77,29;7,31;8,36;15,11;6,71;13,43;20,14;17,00;7,00;23,00;9,00;1,00;10,00;0,00;4,00;4,00;3,00;3,00;0,00;6,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-06-02;54,00;384,00;108,00;0,00;30,00;337,50;9,00;63,00;162,00;118,29;54,00;69,43;41,14;39,18;66,71;11,65;5,29;13,50;8,44;13,50;25,31;20,00;9,00;20,00;9,00;0,00;3,00;1,00;3,00;3,00;4,00;1,00;0,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;62,00;366,36;73,27;0,00;28,18;332,14;8,86;70,86;146,14;111,08;43,92;43,92;36,17;47,29;77,76;14,71;4,20;18,43;3,35;10,05;20,11;11,00;8,00;14,00;7,00;1,00;11,00;3,00;5,00;3,00;1,00;7,00;0,00;9,00;3,00;1,00;1,00;0,00;1,00;1,00;0,00;4,00;0,00
2019-06-16;60,00;360,00;84,00;0,00;42,00;304,29;12,86;60,00;145,71;122,61;70,43;57,39;39,13;35,36;54,64;15,00;5,36;10,00;10,00;6,67;26,67;19,00;7,00;32,00;7,00;0,00;15,00;1,00;3,00;0,00;3,00;8,00;1,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-06-23;56,00;319,20;61,60;0,00;33,60;254,15;4,31;90,46;142,15;122,18;35,64;66,18;35,64;41,21;87,70;11,62;5,28;23,76;20,36;15,27;15,27;20,00;14,00;17,00;13,00;0,00;14,00;8,00;7,00;7,00;3,00;3,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-06-30;71,00;461,50;71,00;0,00;41,42;337,25;4,44;137,56;177,50;129,32;53,25;65,93;35,50;62,52;59,34;24,37;13,78;8,45;5,07;11,83;13,52;30,00;14,00;18,00;8,00;1,00;11,00;1,00;3,00;11,00;3,00;4,00;0,00;4,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-07-07;74,00;455,38;102,46;2,85;45,54;348,24;4,35;213,29;195,88;119,93;43,38;66,34;51,03;67,66;66,60;29,60;9,51;25,23;21,86;16,82;37,00;17,00;11,00;22,00;6,00;0,00;16,00;3,00;0,00;8,00;7,00;3,00;0,00;3,00;4,00;0,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00
2019-07-14;82,00;533,00;111,29;0,00;52,71;293,47;17,26;254,63;181,26;112,75;64,06;66,63;28,19;67,09;74,55;29,82;20,23;16,73;10,04;16,73;45,18;25,00;10,00;27,00;7,00;1,00;16,00;3,00;4,00;7,00;6,00;13,00;3,00;6,00;7,00;1,00;1,00;0,00;0,00;1,00;0,00;4,00;0,00
2019-07-21;63,00;572,73;91,64;0,00;63,00;445,50;4,50;234,00;211,50;141,75;47,25;97,13;47,25;72,61;54,46;27,76;13,88;22,14;28,95;10,22;59,59;14,00;8,00;22,00;13,00;0,00;11,00;0,00;9,00;9,00;8,00;14,00;3,00;8,00;9,00;0,00;2,00;0,00;0,00;2,00;2,00;9,00;0,00
