Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-01-06;92,00;0,00;0,00;4,00;23,00;4,00;0,00;0,00;0,00;9,00;4,00;0,00;18,00;0,00;13,00;0,00;18,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;13,00;0,00;116,46;9,32;36,10;4,66;8,63;0,00;132,25;44,56;35,65;0,00;115,00;4,60;35,38;23,00;14,15;14,15
2019-01-13;51,00;0,00;0,00;0,00;18,00;0,00;5,00;0,00;0,00;13,00;0,00;0,00;46,00;9,00;9,00;0,00;18,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;13,00;0,00;14,23;14,23;54,56;4,74;4,37;8,74;97,63;45,17;13,91;4,64;74,18;0,00;60,11;23,68;18,21;41,89
2019-01-20;71,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;22,00;4,00;4,00;0,00;22,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;4,00;0,00;22,00;0,00;4,66;0,00;30,26;4,66;12,78;0,00;82,36;29,82;12,60;4,58;83,60;0,00;17,75;17,75;8,88;21,30
2019-01-27;86,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;13,00;0,00;0,00;13,00;4,00;9,00;0,00;18,00;0,00;0,00;4,00;0,00;0,00;4,00;9,00;0,00;0,00;22,00;0,00;4,71;0,00;71,86;0,00;0,00;0,00;67,37;53,03;9,30;9,30;54,62;0,00;35,83;8,96;21,50;48,38
2019-02-03;86,00;0,00;0,00;0,00;13,00;4,00;0,00;0,00;9,00;4,00;0,00;0,00;22,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;18,00;4,00;0,00;0,00;9,00;0,00;0,00;4,71;57,73;0,00;4,30;0,00;67,37;40,13;22,08;0,00;49,97;0,00;57,33;21,50;21,50;35,83
2019-02-10;54,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;9,00;9,00;0,00;13,00;40,00;13,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;9,00;4,00;4,70;0,00;35,22;9,39;17,05;4,26;75,32;48,32;12,64;9,19;85,02;0,00;72,00;3,60;18,00;36,00
2019-02-17;74,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;14,00;0,00;0,00;28,00;0,00;14,00;0,00;14,00;0,00;0,00;9,00;0,00;0,00;14,00;0,00;5,00;0,00;14,00;5,00;4,70;0,00;45,81;18,79;4,27;0,00;81,12;49,81;0,00;4,63;60,13;0,00;86,33;17,62;14,10;44,05
2019-02-24;82,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;32,00;4,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;9,37;9,37;39,83;9,37;4,32;0,00;90,63;48,91;31,18;9,24;95,86;0,00;26,74;17,83;17,83;26,74
2019-03-03;72,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;18,00;0,00;13,00;0,00;18,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;9,29;4,65;26,71;4,65;8,64;0,00;61,92;25,92;12,77;4,65;31,35;0,00;27,00;27,00;3,60;12,60
2019-03-10;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;5,00;4,00;4,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;9,30;4,65;22,09;0,00;8,57;0,00;58,57;57,14;17,24;9,20;50,57;0,00;32,14;41,07;8,93;12,50
