Semaine;Nice (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Bordeaux (FR);Tours (FR);Hamburg (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES)
2019-01-06;36,00;4,00;0,00;2,00;2,00;2,00;4,00;0,00;1,44;11,52;43,20;18,00;72,00;2196,00;396,00;36,00;73,24;6,21;34,76;100,80;67,20;48,00;9,60;193,09;163,64;85,09;98,18;90,72;1,44;67,68;72,00;172,80;349,20;97,20;187,20
2019-01-13;34,00;6,00;2,00;0,00;4,00;6,00;0,00;0,00;4,43;13,30;25,13;17,00;68,00;2108,00;374,00;34,00;61,93;7,29;58,29;111,07;63,47;36,27;11,33;148,36;160,73;52,55;98,91;133,04;0,00;57,65;78,35;177,56;366,44;94,44;177,56
2019-01-20;31,00;9,00;0,00;0,00;7,00;5,00;2,00;0,00;2,95;5,90;53,14;15,50;31,00;2046,00;310,00;49,60;64,48;3,72;33,48;100,15;88,23;57,23;9,54;139,50;139,50;49,60;96,10;100,38;2,95;72,33;70,86;178,25;360,38;104,63;205,38
2019-01-27;13,00;11,00;0,00;0,00;7,00;2,00;2,00;0,00;1,44;1,44;50,56;13,00;26,00;1612,00;312,00;41,36;65,00;16,55;36,64;91,00;60,67;41,17;4,33;117,00;152,75;29,25;97,50;65,00;0,00;73,67;59,22;139,75;273,00;110,50;133,25
2019-02-03;18,00;2,00;0,00;2,00;4,00;0,00;4,00;0,00;6,92;1,38;44,31;9,00;36,00;1350,00;216,00;20,40;84,00;7,20;44,40;94,50;72,00;42,75;4,50;90,00;144,00;42,00;111,00;60,92;1,38;84,46;56,77;133,20;306,00;111,60;154,80
2019-02-10;9,00;5,00;0,00;2,00;4,00;9,00;2,00;2,00;1,50;0,00;55,50;9,00;36,00;1152,00;198,00;39,38;52,88;2,25;23,63;128,25;51,75;49,50;4,50;99,00;138,00;54,00;99,00;66,00;3,00;94,50;79,50;198,00;445,50;144,00;193,50
2019-02-17;26,00;4,00;0,00;4,00;2,00;0,00;0,00;0,00;5,78;0,00;46,22;13,00;26,00;1664,00;312,00;30,73;62,64;7,09;33,09;163,09;92,18;54,36;14,18;143,00;165,75;48,75;126,75;86,67;1,44;72,22;83,78;178,29;356,57;92,86;215,43
2019-02-24;22,00;7,00;0,00;2,00;0,00;2,00;0,00;0,00;11,73;4,40;32,27;11,00;22,00;1452,00;264,00;31,78;50,11;3,67;51,33;110,00;68,20;48,40;8,80;110,00;150,86;66,00;132,00;73,33;1,47;107,07;77,73;143,00;326,33;132,00;154,00
2019-03-03;28,00;9,00;0,00;0,00;5,00;2,00;2,00;4,00;5,89;1,47;35,37;14,00;28,00;1792,00;336,00;21,91;71,83;7,30;35,30;151,67;70,00;44,33;2,33;108,89;168,00;59,11;118,22;58,95;1,47;78,11;78,11;212,00;336,00;92,00;196,00
2019-03-10;26,00;7,00;0,00;2,00;5,00;11,00;0,00;0,00;0,00;1,44;65,00;13,00;52,00;1716,00;312,00;30,95;68,10;13,62;56,95;156,00;78,00;44,91;11,82;133,25;178,75;45,50;123,50;76,56;0,00;102,56;89,56;178,29;345,43;122,57;208,00
