Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2019-01-06;14,00;78,40;95,00;19,00;25,00;6,00
2019-01-13;28,00;56,00;44,00;13,00;75,00;13,00
2019-01-20;20,00;48,57;43,00;12,00;73,00;0,00
2019-01-27;34,00;85,00;50,00;0,00;25,00;6,00
2019-02-03;20,00;85,71;62,00;0,00;55,00;0,00
2019-02-10;0,00;22,00;68,00;6,00;18,00;0,00
2019-02-17;21,00;47,25;51,00;6,00;76,00;6,00
2019-02-24;7,00;46,67;25,00;12,00;68,00;6,00
2019-03-03;0,00;54,00;31,00;6,00;55,00;0,00
2019-03-10;14,00;112,00;38,00;12,00;44,00;6,00
2019-03-17;7,00;59,50;25,00;0,00;25,00;0,00
2019-03-24;7,00;112,00;43,00;6,00;55,00;0,00
2019-03-31;14,00;28,00;51,00;0,00;25,00;6,00
2019-04-07;0,00;20,00;32,00;6,00;19,00;0,00
2019-04-14;8,00;88,00;14,00;0,00;27,00;7,00
2019-04-21;21,00;13,13;32,00;13,00;19,00;0,00
2019-04-28;7,00;70,00;56,00;0,00;25,00;0,00
2019-05-05;7,00;35,00;54,00;6,00;12,00;6,00
2019-05-12;0,00;14,00;18,00;6,00;24,00;0,00
2019-05-19;13,00;39,00;18,00;6,00;36,00;12,00
2019-05-26;7,00;35,00;31,00;0,00;37,00;12,00
2019-06-02;0,00;13,00;26,00;0,00;19,00;0,00
2019-06-09;0,00;18,00;25,00;6,00;19,00;13,00
2019-06-16;22,00;52,25;27,00;0,00;27,00;0,00
2019-06-23;7,00;35,00;32,00;0,00;58,00;19,00
2019-06-30;7,00;58,33;13,00;0,00;44,00;19,00
2019-07-07;0,00;29,00;7,00;0,00;46,00;7,00
2019-07-14;15,00;57,00;41,00;7,00;54,00;14,00
2019-07-21;8,00;66,67;14,00;7,00;28,00;7,00
2019-07-28;0,00;29,00;27,00;7,00;33,00;0,00
2019-08-04;14,00;78,40;25,00;0,00;31,00;13,00
2019-08-11;0,00;22,00;30,00;0,00;54,00;6,00
2019-08-18;7,00;59,50;6,00;0,00;54,00;0,00
2019-08-25;20,00;40,00;30,00;0,00;30,00;6,00
2019-09-01;19,00;81,43;53,00;6,00;82,00;6,00
2019-09-08;0,00;19,00;18,00;0,00;46,00;6,00
2019-09-15;7,00;98,00;30,00;6,00;53,00;6,00
2019-09-22;13,00;132,60;41,00;0,00;58,00;6,00
2019-09-29;13,00;119,60;23,00;0,00;34,00;17,00
2019-10-06;0,00;23,00;46,00;6,00;34,00;0,00
2019-10-13;13,00;59,80;52,00;0,00;46,00;6,00
2019-10-20;26,00;66,44;35,00;6,00;46,00;12,00
2019-10-27;13,00;49,40;24,00;0,00;72,00;6,00
2019-11-03;25,00;63,89;52,00;0,00;46,00;6,00
2019-11-10;25,00;100,00;29,00;6,00;51,00;0,00
2019-11-17;19,00;57,00;29,00;6,00;40,00;0,00
2019-11-24;0,00;38,00;33,00;6,00;61,00;22,00
2019-12-01;13,00;65,00;52,00;0,00;40,00;6,00
2019-12-08;6,00;117,00;35,00;0,00;46,00;41,00
2019-12-15;13,00;67,60;53,00;6,00;100,00;6,00
2019-12-22;14,00;50,40;71,00;0,00;71,00;19,00
2019-12-29;14,00;42,00;56,00;6,00;49,00;6,00
2020-01-05;31,00;109,91;74,00;17,00;51,00;6,00
2020-01-12;0,00;28,00;54,00;5,00;59,00;11,00
2020-01-19;6,00;66,00;0,00;6,00;50,00;22,00
2020-01-26;12,00;78,00;38,00;11,00;49,00;5,00
2020-02-02;0,00;66,00;39,00;11,00;33,00;22,00
2020-02-09;6,00;108,00;34,00;11,00;50,00;0,00
2020-02-16;6,00;81,00;45,00;6,00;50,00;11,00
2020-02-23;12,00;72,00;38,00;5,00;43,00;5,00
2020-03-01;18,00;15,43;22,00;0,00;37,00;0,00
2020-03-08;23,00;54,63;21,00;0,00;73,00;0,00
2020-03-15;6,00;57,00;31,00;0,00;47,00;5,00
2020-03-22;0,00;14,00;0,00;0,00;20,00;5,00
2020-03-29;28,00;28,00;30,00;0,00;20,00;5,00
2020-04-05;0,00;7,00;17,00;5,00;16,00;6,00
2020-04-12;6,00;48,00;15,00;0,00;15,00;5,00
2020-04-19;0,00;17,00;32,00;0,00;26,00;5,00
2020-04-26;11,00;71,50;20,00;0,00;5,00;20,00
2020-05-03;0,00;18,00;0,00;10,00;0,00;0,00
2020-05-10;5,00;55,00;10,00;10,00;10,00;10,00
2020-05-17;6,00;39,00;5,00;0,00;5,00;0,00
2020-05-24;0,00;21,00;0,00;5,00;10,00;11,00
2020-05-31;0,00;23,00;16,00;0,00;5,00;0,00
2020-06-07;6,00;45,00;0,00;5,00;16,00;0,00
2020-06-14;25,00;38,89;0,00;0,00;6,00;12,00
2020-06-21;12,00;16,80;6,00;0,00;39,00;0,00
2020-06-28;0,00;19,00;16,00;0,00;5,00;0,00
2020-07-05;6,00;21,00;33,00;0,00;44,00;11,00
2020-07-12;6,00;57,00;24,00;0,00;58,00;12,00
2020-07-19;0,00;16,00;6,00;0,00;23,00;6,00
2020-07-26;0,00;9,00;18,00;0,00;23,00;12,00
2020-08-02;0,00;14,00;30,00;0,00;6,00;0,00
2020-08-09;13,00;23,40;6,00;0,00;29,00;6,00
2020-08-16;0,00;20,00;17,00;0,00;17,00;17,00
2020-08-23;0,00;15,00;16,00;0,00;27,00;0,00
2020-08-30;0,00;13,00;11,00;0,00;11,00;0,00
2020-09-06;12,00;24,00;21,00;0,00;10,00;0,00
2020-09-13;18,00;102,00;11,00;0,00;11,00;5,00
2020-09-20;6,00;57,00;27,00;0,00;11,00;16,00
2020-09-27;0,00;18,00;17,00;6,00;17,00;11,00
2020-10-04;13,00;28,60;29,00;0,00;6,00;6,00
2020-10-11;0,00;30,00;13,00;6,00;31,00;0,00
2020-10-18;7,00;91,00;25,00;0,00;18,00;0,00
2020-10-25;0,00;9,00;0,00;18,00;6,00;6,00
2020-11-01;0,00;22,00;11,00;0,00;17,00;0,00
2020-11-08;0,00;14,00;24,00;0,00;12,00;0,00
2020-11-15;0,00;9,00;12,00;0,00;40,00;0,00
2020-11-22;0,00;15,00;6,00;0,00;6,00;6,00
2020-11-29;6,00;21,00;0,00;0,00;0,00;6,00
2020-12-06;19,00;43,43;6,00;0,00;6,00;23,00
2020-12-13;0,00;7,00;12,00;0,00;17,00;17,00
2020-12-20;28,00;33,60;19,00;0,00;13,00;6,00
2020-12-27;13,00;49,40;19,00;12,00;18,00;6,00
2021-01-03;0,00;19,00;6,00;12,00;12,00;0,00
2021-01-10;13,00;109,20;24,00;0,00;12,00;12,00
2021-01-17;0,00;32,00;12,00;0,00;12,00;6,00
2021-01-24;6,00;69,00;6,00;6,00;12,00;6,00
2021-01-31;6,00;90,00;6,00;6,00;30,00;6,00
2021-02-07;13,00;18,20;6,00;0,00;24,00;0,00
2021-02-14;6,00;69,00;24,00;0,00;24,00;0,00
2021-02-21;6,00;54,00;6,00;0,00;17,00;6,00
2021-02-28;0,00;16,00;0,00;6,00;18,00;0,00
2021-03-07;6,00;120,00;24,00;6,00;6,00;0,00
2021-03-14;0,00;24,00;11,00;6,00;22,00;0,00
2021-03-21;0,00;9,00;12,00;6,00;17,00;17,00
2021-03-28;0,00;17,00;19,00;0,00;12,00;0,00
2021-04-04;0,00;26,00;6,00;0,00;12,00;0,00
2021-04-11;0,00;19,00;0,00;0,00;12,00;12,00
2021-04-18;6,00;54,00;12,00;6,00;35,00;12,00
2021-04-25;19,00;43,43;6,00;0,00;0,00;0,00
2021-05-02;6,00;90,00;6,00;6,00;23,00;6,00
2021-05-09;7,00;73,50;18,00;0,00;42,00;6,00
2021-05-16;0,00;18,00;18,00;0,00;46,00;11,00
2021-05-23;7,00;66,50;6,00;6,00;24,00;18,00
2021-05-30;14,00;33,60;13,00;0,00;19,00;0,00
2021-06-06;0,00;15,00;0,00;6,00;43,00;19,00
2021-06-13;0,00;24,00;19,00;6,00;37,00;6,00
2021-06-20;0,00;15,00;13,00;6,00;31,00;0,00
2021-06-27;0,00;12,00;12,00;0,00;6,00;6,00
2021-07-04;7,00;24,50;13,00;6,00;6,00;18,00
2021-07-11;7,00;18,67;7,00;0,00;45,00;13,00
2021-07-18;22,00;30,25;21,00;7,00;14,00;20,00
2021-07-25;14,00;28,00;0,00;0,00;6,00;0,00
2021-08-01;0,00;20,00;32,00;0,00;25,00;0,00
2021-08-08;20,00;20,00;19,00;6,00;18,00;6,00
2021-08-15;7,00;84,00;12,00;6,00;18,00;6,00
2021-08-22;14,00;64,40;20,00;0,00;32,00;0,00
2021-08-29;14,00;36,40;13,00;6,00;38,00;0,00
2021-09-05;14,00;78,40;13,00;0,00;45,00;6,00
2021-09-12;0,00;28,00;13,00;0,00;19,00;0,00
2021-09-19;7,00;11,67;13,00;6,00;19,00;0,00
2021-09-26;7,00;35,00;13,00;7,00;20,00;7,00
2021-10-03;0,00;16,00;0,00;0,00;26,00;7,00
2021-10-10;7,00;49,00;14,00;0,00;27,00;7,00
2021-10-17;0,00;31,00;13,00;0,00;39,00;7,00
2021-10-24;0,00;18,00;13,00;13,00;7,00;0,00
2021-10-31;7,00;49,00;27,00;7,00;33,00;0,00
2021-11-07;0,00;15,00;33,00;0,00;19,00;0,00
2021-11-14;7,00;42,00;40,00;6,00;39,00;6,00
