Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;27,00;9,00;9,00;4,50;9,00;7,71;7,71;15,43;0,00;0,00;0,00;7,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;27,00;3,00;9,00;0,00;0,00;0,00;10,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,36;0,00;0,00;0,00;3,00;3,00
2019-01-20;22,00;3,67;3,67;7,33;3,67;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;33,00;0,00;0,00;6,00;9,00;0,00;0,00;5,50;0,00;0,00;2,75;2,75;2,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;30,00;3,60;3,60;0,00;3,60;5,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;31,00;6,00;0,00;6,00;6,00;3,44;3,44;0,00;0,00;0,00;3,44;8,61;0,00;0,00;0,00;3,32;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;0,00;0,00;9,33;0,00;6,22;21,78;28,00;0,00;0,00;0,00;6,22;0,00;0,00;0,00;0,00;0,00;0,00;6,22;6,22;0,00
2019-02-24;31,00;12,00;9,00;0,00;6,00;10,33;0,00;5,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,32;0,00;0,00;0,00;0,00;2,30
2019-03-03;41,00;9,00;3,00;0,00;6,00;4,10;0,00;4,10;0,00;0,00;0,00;0,00;0,00;3,08;0,00;0,00;0,00;4,10;0,00;0,00;0,00
2019-03-10;43,00;12,00;3,00;6,00;6,00;15,36;15,36;6,14;0,00;0,00;0,00;15,36;0,00;4,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;47,00;9,00;9,00;6,00;9,00;0,00;0,00;4,48;4,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,41;0,00;0,00;0,00;0,00
2019-03-24;35,00;16,47;3,09;3,09;6,18;5,00;2,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-03-31;41,00;3,32;0,00;0,00;6,65;2,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,73;0,00;0,00;0,00;0,00;0,00
2019-04-07;52,00;12,00;12,00;9,00;3,00;0,00;4,00;12,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
