Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;50,00;25,00;13,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;100,00;37,50;0,00;0,00;0,00;37,50;12,50;0,00;48,86;0,00;0,00
2019-01-13;49,00;62,00;0,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;71,46;59,21;0,00;0,00;0,00;74,57;25,57;12,53;23,93;0,00;12,53
2019-01-20;0,00;12,00;12,00;12,00;0,00;12,00;0,00;0,00;0,00;6,00;6,00;23,00;0,00;0,00;0,00;17,00;0,00;0,00;32,00;0,00;11,00
2019-01-27;0,00;12,00;12,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;40,00;17,00;0,00;0,00;0,00;29,00;6,00;0,00;42,00;0,00;21,00
2019-02-03;12,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;36,00;36,00;0,00;0,00;0,00;58,00;0,00;0,00;46,91;0,00;12,00
2019-02-10;50,00;63,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;62,50;25,00;0,00;0,00;0,00;12,50;12,50;0,00;25,00;0,00;37,50
2019-02-17;13,00;13,00;13,00;0,00;0,00;38,00;0,00;0,00;0,00;13,00;104,00;78,00;0,00;0,00;0,00;52,00;13,00;0,00;26,00;0,00;13,00
2019-02-24;26,00;26,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;54,17;39,00;0,00;0,00;0,00;13,00;0,00;0,00;63,30;0,00;24,87
2019-03-03;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;106,00;72,00;0,00;0,00;0,00;24,00;0,00;0,00;34,91;0,00;24,00
2019-03-10;50,00;13,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;12,50;50,00;87,50;0,00;0,00;0,00;25,00;25,00;0,00;48,86;0,00;48,86
2019-03-17;39,00;39,00;13,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;112,89;112,89;0,00;0,00;0,00;67,17;26,00;0,00;12,62;0,00;12,62
2019-03-24;64,00;39,00;13,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;125,94;88,77;0,00;0,00;0,00;24,77;12,39;0,00;62,86;0,00;12,57
2019-03-31;26,00;26,00;39,00;13,00;0,00;39,00;0,00;13,00;0,00;0,00;13,00;93,17;0,00;0,00;0,00;41,17;13,00;0,00;50,87;0,00;0,00
2019-04-07;38,00;38,00;13,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;90,78;63,33;0,00;0,00;0,00;12,67;0,00;0,00;63,33;0,00;0,00
2019-04-14;14,00;14,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;106,00;54,00;0,00;0,00;14,00;80,00;0,00;0,00;70,00;0,00;0,00
2019-04-21;13,00;0,00;0,00;0,00;13,00;27,00;13,00;13,00;0,00;28,17;54,17;54,17;0,00;0,00;0,00;54,17;0,00;0,00;49,83;0,00;24,92
2019-04-28;50,00;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;112,50;62,50;0,00;0,00;0,00;112,50;0,00;0,00;25,00;0,00;61,36
2019-05-05;24,00;37,00;0,00;0,00;0,00;24,00;0,00;0,00;12,00;0,00;58,00;92,00;0,00;0,00;0,00;46,00;12,00;0,00;24,00;0,00;12,57
2019-05-12;38,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;12,67;50,67;0,00;0,00;0,00;103,44;12,67;12,67;38,00;0,00;25,33
2019-05-19;25,00;25,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;25,00;187,50;125,00;0,00;0,00;0,00;50,00;25,00;0,00;37,50;12,50;12,50
2019-05-26;13,00;13,00;0,00;13,00;0,00;26,00;0,00;0,00;0,00;13,00;80,17;80,17;0,00;0,00;0,00;108,33;13,00;0,00;13,00;0,00;13,00
2019-06-02;51,00;89,00;25,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;102,00;89,25;0,00;0,00;0,00;63,75;25,50;0,00;38,25;0,00;25,50
2019-06-09;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;160,33;54,17;13,00;0,00;0,00;67,17;54,17;13,00;13,00;0,00;27,18
2019-06-16;26,00;26,00;39,00;13,00;0,00;26,00;0,00;13,00;0,00;0,00;124,00;112,00;12,00;13,00;13,00;134,33;13,00;0,00;38,43;0,00;12,43
2019-06-23;13,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;132,17;106,17;0,00;0,00;0,00;54,17;13,00;0,00;0,00;0,00;39,00
2019-06-30;39,00;26,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;12,32;88,26;63,63;0,00;0,00;0,00;52,00;13,00;0,00;64,24;12,62;0,00
2019-07-07;13,00;38,00;25,00;0,00;13,00;25,00;0,00;0,00;13,00;0,00;182,00;117,00;0,00;0,00;0,00;91,00;13,00;0,00;52,00;0,00;39,00
2019-07-14;13,00;27,00;0,00;0,00;0,00;26,00;0,00;0,00;13,00;0,00;54,17;108,33;0,00;0,00;0,00;108,33;0,00;0,00;11,92;0,00;24,92
2019-07-21;42,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;153,30;56,70;0,00;0,00;0,00;210,00;0,00;0,00;110,11;0,00;27,24
2019-07-28;53,00;40,00;13,00;0,00;0,00;27,00;13,00;0,00;13,00;0,00;116,19;50,96;0,00;0,00;0,00;93,28;27,56;0,00;51,87;13,53;0,00
2019-08-04;54,00;14,00;27,00;0,00;0,00;14,00;0,00;0,00;0,00;12,46;66,46;66,46;0,00;0,00;0,00;108,00;27,00;13,79;40,21;0,00;0,00
2019-08-11;52,00;52,00;39,00;0,00;0,00;0,00;26,00;26,00;0,00;12,48;76,96;153,92;0,00;12,48;0,00;104,00;0,00;0,00;25,42;0,00;12,71
2019-08-18;53,00;40,00;13,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;212,00;159,00;0,00;0,00;0,00;27,56;27,56;0,00;39,17;0,00;0,00
2019-08-25;26,00;52,00;13,00;26,00;0,00;0,00;0,00;13,00;0,00;0,00;119,17;132,17;0,00;0,00;0,00;67,17;13,00;0,00;12,43;0,00;38,43
2019-09-01;50,00;25,00;25,00;0,00;0,00;0,00;0,00;0,00;37,00;0,00;135,42;110,42;0,00;0,00;0,00;110,42;25,00;0,00;25,00;0,00;25,00
2019-09-08;13,00;13,00;13,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;104,00;39,00;0,00;0,00;0,00;104,00;0,00;0,00;39,00;13,00;39,00
2019-09-15;39,00;13,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;52,00;93,17;0,00;0,00;0,00;39,00;0,00;0,00;25,24;12,62;0,00
2019-09-22;37,00;25,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;71,94;71,94;0,00;0,00;12,33;24,67;37,00;0,00;61,28;0,00;0,00
2019-09-29;0,00;25,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;36,00;18,00;0,00;0,00;0,00;36,00;0,00;0,00;43,00;0,00;0,00
2019-10-06;37,00;25,00;37,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;37,00;24,67;0,00;0,00;0,00;24,67;12,33;0,00;35,88;0,00;12,33
2019-10-13;50,00;25,00;12,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;122,92;37,50;0,00;0,00;0,00;37,50;0,00;0,00;50,00;0,00;12,79
2019-10-20;0,00;24,00;24,00;0,00;0,00;0,00;0,00;12,00;0,00;6,00;34,00;23,00;0,00;0,00;0,00;29,00;0,00;10,00;10,00;0,00;0,00
2019-10-27;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;12,00;6,00;34,00;56,00;0,00;0,00;0,00;28,00;6,00;10,00;62,00;0,00;0,00
2019-11-03;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;56,00;34,00;0,00;0,00;0,00;12,00;12,00;0,00;12,00;0,00;24,00
2019-11-10;24,00;0,00;0,00;24,00;0,00;12,00;0,00;12,00;0,00;0,00;98,18;61,09;0,00;0,00;0,00;61,09;0,00;11,43;22,86;0,00;0,00
2019-11-17;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;28,00;6,00;0,00;41,00;0,00;10,00
2019-11-24;23,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;33,45;0,00;0,00;0,00;33,45;0,00;0,00;23,00;0,00;0,00
2019-12-01;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;6,00;0,00;0,00;0,00;17,00;0,00;10,00;10,00;0,00;0,00
2019-12-08;24,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;13,09;74,18;24,00;0,00;0,00;0,00;37,09;0,00;0,00;93,71;0,00;11,43
2019-12-15;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;17,00;0,00;0,00;0,00;23,00;6,00;10,00;94,00;0,00;10,00
