Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;38,00;20,00;16,00;47,00;4,00;2,92;2,92;10,23;20,46
2019-01-13;22,00;22,00;33,00;53,00;0,00;9,63;9,63;12,38;2,75
2019-01-20;26,00;43,33;37,56;130,00;5,78;0,00;9,00;0,00;9,00
2019-01-27;30,00;30,00;25,38;73,85;0,00;2,00;5,00;14,00;0,00
2019-02-03;19,00;34,83;23,22;36,94;2,11;0,00;5,00;17,00;10,00
2019-02-10;25,00;43,00;16,00;43,00;0,00;0,00;8,33;16,67;3,33
2019-02-17;22,00;25,00;4,00;52,00;2,00;0,00;15,40;37,40;4,40
2019-02-24;25,00;30,43;9,78;47,83;2,17;5,00;2,00;20,00;7,00
2019-03-03;17,00;85,00;43,71;133,57;0,00;2,00;7,00;22,00;0,00
2019-03-10;18,00;18,00;18,00;53,00;0,00;5,29;0,00;12,71;2,12
2019-03-17;37,00;30,00;18,00;39,00;2,00;15,42;21,58;46,25;6,17
2019-03-24;32,00;93,09;32,00;87,27;0,00;2,00;5,00;25,00;5,00
2019-03-31;15,00;23,33;8,33;58,33;0,00;2,00;5,00;2,00;7,00
2019-04-07;25,00;20,00;2,00;25,00;0,00;0,00;10,42;20,83;10,42
2019-04-14;8,00;11,43;8,00;97,14;2,29;5,00;3,00;0,00;0,00
2019-04-21;19,00;19,00;10,00;50,00;0,00;3,17;3,17;3,17;3,17
2019-04-28;16,00;24,00;20,00;47,00;2,00;4,57;4,57;27,43;22,86
2019-05-05;29,00;29,00;18,13;42,29;0,00;0,00;5,00;0,00;7,00
2019-05-12;16,00;18,00;9,00;36,00;2,00;16,00;16,00;16,00;16,00
2019-05-19;31,00;25,00;16,00;49,00;0,00;12,92;25,83;0,00;5,17
2019-05-26;33,00;21,12;6,60;33,00;0,00;0,00;13,00;5,00;8,00
2019-06-02;26,00;83,78;40,44;72,22;0,00;0,00;5,00;10,00;2,00
