Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;42,00;294,00;28,00;42,00;70,00;51,69;42,00;23,69;36,62;24,00;35,00;5,00;9,00
2019-01-13;45,00;300,00;35,00;50,00;80,00;52,50;38,57;28,93;36,43;26,00;31,00;6,00;6,00
2019-01-20;41,00;322,88;35,88;51,25;76,88;49,63;42,08;24,82;35,61;24,00;34,00;7,00;7,00
2019-01-27;36,00;274,50;31,50;49,50;54,00;49,76;55,06;15,88;33,88;21,00;33,00;7,00;7,00
2019-02-03;36,00;318,86;36,00;51,43;72,00;61,09;39,27;13,09;40,36;25,00;38,00;6,00;5,00
2019-02-10;36,00;301,50;31,50;49,50;54,00;49,76;41,29;16,94;37,06;23,00;30,00;6,00;7,00
2019-02-17;39,00;331,50;43,88;43,88;63,38;58,50;43,33;14,08;42,25;27,00;32,00;8,00;5,00
2019-02-24;38,00;318,25;33,25;47,50;61,75;61,22;43,28;16,89;39,06;29,00;35,00;6,00;5,00
2019-03-03;38,00;304,00;33,25;47,50;57,00;49,61;44,33;13,72;39,06;31,00;33,00;9,00;5,00
2019-03-10;41,00;343,38;35,88;51,25;56,38;52,87;39,92;17,26;38,84;24,00;32,00;7,00;6,00
2019-03-17;39,00;351,00;34,13;48,75;58,50;55,25;44,42;13,00;35,75;21,00;25,00;9,00;5,00
2019-03-24;45,00;325,00;40,00;55,00;70,00;58,93;35,36;16,07;37,50;26,00;32,00;8,00;6,00
2019-03-31;51,00;338,45;37,09;51,00;88,09;61,63;49,94;23,38;39,31;26,00;47,00;9,00;7,00
2019-04-07;53,00;332,45;33,73;53,00;77,09;61,65;41,10;27,04;36,78;26,00;36,00;9,00;11,00
2019-04-14;56,00;466,67;37,33;46,67;70,00;63,54;49,54;30,15;40,92;31,00;47,00;9,00;13,00
2019-04-21;60,00;370,00;35,00;55,00;65,00;58,93;47,14;30,00;39,64;28,00;34,00;9,00;10,00
2019-04-28;56,00;308,00;28,00;60,67;65,33;73,23;39,85;37,69;36,62;31,00;35,00;9,00;11,00
2019-05-05;50,00;281,82;31,82;40,91;59,09;56,38;41,49;30,85;31,91;26,00;33,00;8,00;10,00
2019-05-12;47,00;282,00;37,60;47,00;61,10;60,89;47,00;29,91;34,18;29,00;32,00;7,00;7,00
2019-05-19;55,00;320,00;35,00;50,00;80,00;56,08;39,90;31,27;34,51;27,00;36,00;9,00;7,00
2019-05-26;53,00;342,09;38,55;48,18;67,45;60,57;47,59;30,29;35,69;31,00;34,00;8,00;11,00
2019-06-02;58,00;333,50;33,83;53,17;72,50;63,37;49,41;31,15;33,30;33,00;31,00;9,00;11,00
2019-06-09;61,00;323,77;32,85;51,62;65,69;66,35;49,23;29,96;36,39;28,00;29,00;14,00;10,00
2019-06-16;72,00;364,80;38,40;52,80;72,00;68,78;45,13;29,01;36,54;30,00;32,00;10,00;8,00
2019-06-23;66,00;358,29;33,00;51,86;75,43;78,77;50,03;29,81;40,45;31,00;32,00;10,00;10,00
2019-06-30;68,00;359,43;38,86;53,43;87,43;72,25;47,81;32,94;38,25;30,00;35,00;11,00;11,00
2019-07-07;71,00;340,80;37,87;52,07;75,73;82,83;51,64;37,65;44,11;39,00;40,00;14,00;12,00
2019-07-14;71,00;345,53;33,13;47,33;75,73;81,60;46,63;30,73;41,33;37,00;38,00;12,00;10,00
2019-07-21;74,00;370,00;39,47;54,27;83,87;79,36;58,99;28,96;48,26;43,00;37,00;16,00;8,00
2019-07-28;76,00;380,00;38,00;52,25;80,75;87,77;56,73;35,32;44,96;48,00;40,00;12,00;12,00
2019-08-04;86,00;382,22;38,22;57,33;76,44;95,68;58,05;37,63;47,30;49,00;40,00;13,00;11,00
2019-08-11;87,00;367,33;33,83;62,83;82,17;104,19;65,52;39,74;49,41;55,00;47,00;12,00;10,00
2019-08-18;80,00;348,24;32,94;70,59;80,00;84,27;59,73;35,20;48,00;51,00;39,00;11,00;8,00
2019-08-25;60,00;335,00;50,00;75,00;75,00;76,07;46,07;31,07;39,64;35,00;37,00;9,00;9,00
2019-09-01;72,00;336,00;38,40;52,80;67,20;67,70;42,99;31,16;35,46;33,00;35,00;9,00;8,00
2019-09-08;62,00;343,38;33,38;62,00;81,08;58,79;49,17;32,07;42,76;26,00;34,00;9,00;11,00
2019-09-15;57,00;332,50;33,25;61,75;71,25;62,38;50,55;31,19;43,02;30,00;33,00;9,00;8,00
2019-09-22;65,00;329,64;37,14;55,71;74,29;62,87;47,95;29,84;38,36;26,00;33,00;8,00;23,00
