Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;27,00;8,00;0,00;4,00;0,00;0,00;4,00;23,00;4,00;27,00;8,00;19,00;16,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;23,00;4,00;0,00;0,00;12,00;0,00;0,00;8,00;0,00;20,00;12,00;20,00;12,00;0,00;16,00;0,00;12,00;0,00;0,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;82,00;8,00;8,00;4,00;0,00;4,00;0,00;12,00;0,00;12,00;4,00;20,00;16,00;4,00;8,00;0,00;8,00;0,00;0,00;16,00;8,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00
2019-01-27;38,00;4,00;4,00;4,00;4,00;4,00;0,00;11,00;0,00;11,00;8,00;15,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;72,00;4,00;16,00;4,00;4,00;0,00;0,00;24,00;0,00;8,00;20,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;16,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;36,00;0,00;4,00;0,00;4,00;16,00;4,00;16,00;8,00;8,00;16,00;4,00;0,00;0,00;4,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;8,00;8,00;12,00;8,00;4,00;0,00;4,00;4,00;0,00;4,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;32,00;0,00;8,00;0,00;0,00;4,00;0,00;16,00;4,00;0,00;4,00;16,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;38,00;4,00;15,00;0,00;4,00;4,00;0,00;11,00;0,00;0,00;4,00;8,00;4,00;0,00;15,00;0,00;0,00;0,00;8,00;0,00;19,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;55,00;4,00;8,00;4,00;8,00;0,00;0,00;23,00;0,00;12,00;0,00;4,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
