Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;20,00;172,00;0,00;36,00;8,00;11,00;2,00;0,00;5,00;1,00;0,00;1,00;2,00
2019-01-13;30,00;150,00;3,75;56,25;18,75;15,00;7,00;0,00;5,00;5,00;1,00;1,00;1,00
2019-01-20;24,00;144,00;1,71;58,29;6,86;5,00;5,00;3,00;7,00;5,00;7,00;4,00;2,00
2019-01-27;29,00;130,50;1,81;61,63;3,63;16,00;8,00;0,00;8,00;7,00;4,00;0,00;2,00
2019-02-03;21,00;143,50;3,50;56,00;7,00;10,00;7,00;5,00;3,00;1,00;3,00;2,00;0,00
2019-02-10;29,00;174,00;0,00;50,75;10,88;5,00;10,00;3,00;2,00;4,00;0,00;2,00;0,00
2019-02-17;19,00;174,80;0,00;64,60;3,80;8,00;5,00;3,00;5,00;3,00;2,00;4,00;1,00
2019-02-24;24,00;180,00;2,00;80,00;4,00;17,00;7,00;1,00;5,00;4,00;3,00;3,00;0,00
2019-03-03;28,00;161,00;3,50;73,50;7,00;11,00;7,00;2,00;5,00;2,00;9,00;2,00;1,00
2019-03-10;33,00;209,00;3,67;69,67;7,33;9,00;11,00;2,00;8,00;3,00;4,00;1,00;3,00
2019-03-17;31,00;182,13;3,88;77,50;7,75;16,00;5,00;5,00;5,00;8,00;3,00;5,00;1,00
2019-03-24;34,00;173,78;3,78;86,89;7,56;15,00;5,00;10,00;5,00;3,00;3,00;0,00;0,00
2019-03-31;39,00;166,64;3,55;63,82;3,55;20,00;12,00;4,00;11,00;1,00;2,00;1,00;0,00
2019-04-07;35,00;225,56;1,94;89,44;11,67;13,00;7,00;8,00;7,00;2,00;5,00;1,00;2,00
2019-04-14;37,00;370,00;3,70;107,30;18,50;17,00;7,00;2,00;4,00;4,00;7,00;2,00;1,00
