Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;55,00;407,92;13,75;9,17;13,75;14,00;27,00;4,00;15,00;7,00;13,00;6,00;2,00
2019-01-13;51,00;394,09;9,27;9,27;18,55;23,00;20,00;6,00;16,00;6,00;8,00;2,00;2,00
2019-01-20;40,00;364,44;8,89;8,89;17,78;15,00;17,00;2,00;21,00;7,00;12,00;3,00;3,00
2019-01-27;54,00;346,50;9,00;9,00;13,50;9,00;15,00;3,00;19,00;2,00;10,00;7,00;1,00
2019-02-03;43,00;377,44;9,56;9,56;19,11;15,00;32,00;6,00;23,00;11,00;6,00;7,00;2,00
2019-02-10;45,00;346,50;13,50;9,00;18,00;14,00;29,00;6,00;9,00;6,00;7,00;4,00;4,00
2019-02-17;64,00;329,14;9,14;9,14;9,14;20,00;22,00;13,00;18,00;6,00;5,00;8,00;2,00
2019-02-24;43,00;305,30;12,90;4,30;12,90;12,00;29,00;8,00;14,00;12,00;8,00;2,00;1,00
2019-03-03;58,00;325,69;8,92;4,46;17,85;18,00;21,00;9,00;9,00;6,00;8,00;6,00;2,00
2019-03-10;49,00;396,45;8,91;17,82;13,36;13,00;14,00;6,00;12,00;9,00;6,00;5,00;1,00
2019-03-17;49,00;374,18;13,36;8,91;17,82;20,00;22,00;6,00;14,00;0,00;7,00;2,00;1,00
2019-03-24;62,00;296,71;13,29;4,43;13,29;24,00;28,00;16,00;11,00;10,00;8,00;4,00;4,00
2019-03-31;55,00;320,83;9,17;4,58;18,33;24,00;21,00;6,00;13,00;2,00;8,00;5,00;5,00
2019-04-07;83,00;364,28;13,83;13,83;9,22;17,00;21,00;10,00;6,00;7,00;9,00;9,00;0,00
2019-04-14;70,00;406,00;14,00;9,33;9,33;16,00;21,00;14,00;16,00;4,00;10,00;6,00;3,00
2019-04-21;67,00;290,33;4,47;8,93;8,93;19,00;31,00;17,00;19,00;6,00;12,00;7,00;0,00
2019-04-28;45,00;328,50;9,00;9,00;13,50;28,00;22,00;8,00;13,00;8,00;12,00;7,00;3,00
2019-05-05;87,00;338,84;9,16;9,16;13,74;24,00;37,00;9,00;24,00;9,00;10,00;3,00;2,00
2019-05-12;75,00;322,06;8,82;8,82;17,65;32,00;36,00;7,00;8,00;7,00;7,00;13,00;4,00
2019-05-19;60,00;355,38;18,46;9,23;18,46;27,00;36,00;12,00;15,00;7,00;10,00;3,00;2,00
