Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;13,00;1,00;0,00;1,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-01-13;12,00;1,00;0,00;0,50;2,00;0,50;0,00;1,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;12,00;1,00;0,50;0,00;0,50;1,00;2,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;1,00;0,50;1,00;2,00;2,00;2,00;0,50;0,00;0,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;13,00;0,00;0,00;1,00;1,00;1,00;0,50;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;16,00;1,00;0,00;0,50;2,00;1,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-17;15,00;1,00;0,00;1,00;2,00;1,00;1,00;2,00;0,00;0,00;0,00;3,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;1,00;0,00;0,00;0,50;1,00;1,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00
2019-03-03;12,00;2,00;0,50;1,00;1,00;3,00;2,00;3,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;18,00;1,00;0,00;0,50;0,50;2,00;1,00;2,00;0,00;0,00;0,00;4,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;0,50;0,50;0,50;1,00;0,50;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;15,00;2,00;0,50;1,00;2,00;1,00;4,00;4,00;0,00;0,00;0,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;15,00;3,00;0,00;0,00;2,00;0,50;1,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;16,00;1,00;0,50;0,50;1,00;1,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;27,00;1,00;0,50;1,00;1,00;0,00;4,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;29,00;1,00;1,00;1,00;2,00;1,00;6,00;9,00;0,00;0,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-04-28;23,00;0,50;0,00;0,50;0,50;0,50;1,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;18,00;2,00;0,50;1,00;0,50;1,00;1,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;12,00;1,00;0,00;0,50;2,00;0,50;2,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-05-19;20,00;1,00;0,00;0,50;1,00;0,00;6,00;3,00;0,00;0,50;0,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-05-26;15,00;1,00;0,50;1,00;0,00;0,00;2,00;2,00;0,50;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;23,00;0,50;1,00;1,00;4,00;0,50;5,00;7,00;0,00;0,00;0,50;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;23,00;3,00;0,50;0,50;1,00;0,00;4,00;4,00;0,00;0,00;0,50;3,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-06-16;27,00;1,00;0,50;1,00;2,00;0,50;4,00;1,00;0,00;0,00;0,00;6,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-06-23;26,00;3,00;0,00;1,00;1,00;0,50;4,00;8,00;0,00;1,00;0,50;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-06-30;27,00;3,00;0,50;1,00;1,00;1,00;4,00;5,00;0,00;0,00;0,50;7,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-07-07;24,00;2,00;0,00;0,00;1,00;1,00;5,00;6,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-07-14;26,00;4,00;1,00;2,00;2,00;1,00;4,00;7,00;0,00;0,50;1,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;23,00;2,00;1,00;1,00;2,00;1,00;4,00;9,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
