Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;32,00;272,00;64,00;16,00;32,00;10,67;47,41;15,41;10,67;11,00;11,00;0,00;5,00
2019-01-13;32,00;288,00;64,00;32,00;16,00;32,00;32,00;26,07;15,41;5,00;0,00;5,00;0,00
2019-01-20;21,00;336,00;63,00;21,00;42,00;27,18;32,12;0,00;16,06;0,00;16,00;5,00;10,00
2019-01-27;37,00;314,50;92,50;18,50;37,00;37,00;4,93;4,93;27,13;10,00;5,00;0,00;0,00
2019-02-03;11,00;198,00;33,00;11,00;11,00;33,00;22,00;11,00;11,00;5,00;0,00;5,00;0,00
2019-02-10;22,00;374,00;154,00;44,00;22,00;28,11;17,11;11,00;11,00;11,00;17,00;6,00;6,00
2019-02-17;23,00;437,00;161,00;23,00;23,00;23,00;16,95;6,05;23,00;6,00;0,00;11,00;6,00
2019-02-24;32,00;288,00;48,00;32,00;48,00;47,41;26,07;4,74;26,07;5,00;11,00;38,00;5,00
2019-03-03;62,00;263,50;93,00;7,75;15,50;22,65;33,38;0,00;0,00;11,00;11,00;6,00;0,00
2019-03-10;27,00;283,50;67,50;13,50;27,00;37,57;5,87;0,00;10,57;11,00;11,00;11,00;0,00
2019-03-17;50,00;366,67;50,00;0,00;16,67;33,33;38,10;0,00;10,71;11,00;6,00;11,00;0,00
2019-03-24;40,00;360,00;80,00;40,00;40,00;44,85;23,03;0,00;6,06;6,00;6,00;6,00;0,00
2019-03-31;16,00;368,00;96,00;32,00;48,00;55,38;27,08;16,00;22,15;5,00;5,00;27,00;5,00
2019-04-07;56,00;280,00;56,00;28,00;14,00;50,04;16,68;0,00;16,68;17,00;11,00;11,00;11,00
2019-04-14;23,00;2300,00;161,00;46,00;46,00;29,05;18,16;12,11;12,11;12,00;18,00;12,00;6,00
2019-04-21;56,00;280,00;98,00;14,00;28,00;22,64;10,72;16,68;10,72;11,00;6,00;17,00;0,00
2019-04-28;10,00;160,00;70,00;20,00;10,00;37,78;24,44;10,00;10,00;5,00;0,00;16,00;0,00
2019-05-05;76,00;212,80;60,80;15,20;15,20;35,63;35,63;0,00;15,44;5,00;0,00;15,00;0,00
2019-05-12;48,00;224,00;80,00;16,00;16,00;37,20;0,00;15,60;10,80;5,00;5,00;11,00;0,00
2019-05-19;36,00;252,00;90,00;18,00;18,00;31,20;26,40;15,60;0,00;10,00;5,00;10,00;0,00
2019-05-26;79,00;300,20;63,20;7,90;15,80;41,89;26,33;10,77;10,77;5,00;5,00;21,00;5,00
2019-06-02;39,00;409,50;156,00;39,00;39,00;34,27;18,91;18,91;23,64;15,00;10,00;5,00;5,00
2019-06-09;35,00;192,50;105,00;17,50;17,50;45,86;41,03;20,52;15,69;20,00;5,00;0,00;0,00
2019-06-16;74,00;251,60;133,20;29,60;44,40;47,31;21,84;4,85;31,54;5,00;16,00;11,00;0,00
2019-06-23;44,00;322,67;88,00;29,33;29,33;42,81;38,05;16,65;32,11;38,00;0,00;5,00;5,00
2019-06-30;62,00;310,00;108,50;15,50;31,00;89,42;16,69;39,35;27,42;6,00;28,00;11,00;0,00
2019-07-07;56,00;392,00;93,33;56,00;37,33;51,13;45,04;17,04;6,09;11,00;11,00;17,00;28,00
2019-07-14;58,00;319,00;116,00;29,00;43,50;51,96;64,04;22,96;22,96;23,00;12,00;23,00;6,00
2019-07-21;30,00;405,00;90,00;15,00;30,00;48,00;48,00;42,00;6,00;12,00;24,00;6,00;0,00
2019-07-28;58,00;319,00;101,50;29,00;43,50;64,04;47,13;18,13;12,08;6,00;6,00;23,00;6,00
2019-08-04;100,00;350,00;100,00;33,33;50,00;69,88;28,92;6,02;6,02;18,00;6,00;12,00;6,00
2019-08-11;55,00;330,00;128,33;18,33;36,67;59,78;55,00;33,48;5,98;6,00;17,00;17,00;0,00
2019-08-18;57,00;285,00;99,75;14,25;14,25;16,98;29,11;23,04;6,06;6,00;28,00;6,00;6,00
2019-08-25;38,00;361,00;152,00;38,00;19,00;38,00;22,06;15,94;15,94;22,00;0,00;11,00;5,00
2019-09-01;47,00;297,67;109,67;15,67;31,33;68,69;26,51;10,85;4,82;5,00;0,00;5,00;11,00
2019-09-08;64,00;304,00;80,00;48,00;16,00;68,83;21,74;15,70;10,87;26,00;11,00;11,00;5,00
2019-09-15;32,00;304,00;64,00;32,00;32,00;38,15;32,00;0,00;11,08;11,00;0,00;0,00;0,00
2019-09-22;41,00;259,67;95,67;41,00;13,67;36,18;41,00;9,65;4,82;15,00;5,00;15,00;5,00
2019-09-29;30,00;300,00;45,00;30,00;30,00;30,00;34,80;25,20;4,80;5,00;10,00;5,00;5,00
2019-10-06;51,00;306,00;85,00;17,00;34,00;25,50;41,29;4,86;9,71;0,00;5,00;5,00;0,00
2019-10-13;20,00;340,00;60,00;60,00;20,00;34,12;14,12;14,12;0,00;0,00;0,00;10,00;5,00
2019-10-20;26,00;286,00;104,00;26,00;13,00;42,10;9,90;9,90;42,10;0,00;5,00;0,00;5,00
2019-10-27;16,00;320,00;112,00;32,00;16,00;36,92;11,08;11,08;0,00;0,00;0,00;0,00;5,00
2019-11-03;5,00;220,00;70,00;20,00;20,00;10,00;5,00;10,00;21,25;20,00;15,00;10,00;5,00
2019-11-10;30,00;225,00;90,00;45,00;30,00;25,20;15,60;9,60;20,40;5,00;0,00;0,00;0,00
2019-11-17;20,00;280,00;120,00;40,00;20,00;4,71;38,82;9,41;14,12;5,00;0,00;0,00;5,00
2019-11-24;19,00;247,00;114,00;57,00;19,00;4,75;9,50;0,00;28,50;5,00;5,00;10,00;5,00
2019-12-01;10,00;170,00;60,00;20,00;20,00;15,00;10,00;5,00;31,25;0,00;15,00;5,00;0,00
2019-12-08;20,00;280,00;100,00;20,00;40,00;25,00;5,00;15,00;15,00;5,00;15,00;5,00;0,00
2019-12-15;44,00;278,67;58,67;29,33;44,00;14,67;24,44;9,78;9,78;0,00;5,00;0,00;5,00
2019-12-22;16,00;320,00;128,00;48,00;32,00;11,08;16,00;0,00;20,92;10,00;10,00;5,00;5,00
2019-12-29;42,00;308,00;84,00;14,00;28,00;10,80;15,60;4,80;31,20;10,00;10,00;5,00;5,00
2020-01-05;33,00;231,00;66,00;16,50;33,00;33,00;24,44;28,11;4,89;0,00;9,00;0,00;9,00
2020-01-12;27,00;229,50;67,50;13,50;13,50;44,61;12,91;17,61;12,91;5,00;14,00;14,00;0,00
2020-01-19;28,00;210,00;70,00;14,00;28,00;54,83;9,33;14,00;31,50;14,00;0,00;14,00;5,00
2020-01-26;28,00;266,00;70,00;42,00;42,00;23,13;9,74;14,61;14,61;9,00;9,00;0,00;0,00
2020-02-02;28,00;210,00;56,00;14,00;28,00;36,17;23,33;23,33;18,67;14,00;0,00;9,00;9,00
2020-02-09;42,00;252,00;84,00;14,00;14,00;27,60;19,20;19,20;14,40;5,00;14,00;0,00;9,00
2020-02-16;56,00;294,00;84,00;14,00;42,00;27,40;32,17;19,06;22,64;5,00;14,00;5,00;9,00
2020-02-23;42,00;224,00;84,00;14,00;14,00;45,60;14,40;14,40;18,00;0,00;5,00;5,00;14,00
