Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;11,00;18,33;0,00;0,00;18,33;0,00;0,00;0,00;0,00;4,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;46,00;46,00;9,86;0,00;6,57;5,00;0,00;0,00;0,00;4,76;0,00;4,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;20,00;23,33;0,00;3,33;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;35,00;28,00;7,00;0,00;3,50;0,00;5,00;5,00;0,00;4,77;4,77;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;21,00;21,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2019-02-10;11,00;33,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;4,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;11,00;40,33;29,33;11,00;7,33;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-24;38,00;44,91;0,00;6,91;6,91;5,00;0,00;5,00;0,00;11,57;0,00;0,00;4,96;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-03-03;28,00;52,50;10,50;10,50;17,50;6,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;56,10;0,00;0,00;9,90;6,00;6,00;0,00;0,00;4,71;0,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00
2019-03-17;22,00;55,00;0,00;7,33;29,33;5,00;11,00;5,00;0,00;0,00;5,08;0,00;5,08;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;11,00;44,00;11,00;0,00;11,00;0,00;22,00;6,00;0,00;4,71;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00
2019-03-31;36,00;64,80;0,00;7,20;7,20;0,00;5,00;10,00;0,00;4,91;0,00;0,00;4,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;45,00;76,15;10,38;10,38;10,38;0,00;15,00;5,00;0,00;4,82;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;71,00;98,05;6,76;10,14;6,76;5,00;22,00;5,00;0,00;4,84;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-04-21;26,00;26,00;0,00;16,25;6,50;0,00;0,00;0,00;0,00;16,25;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;31,00;0,00;17,22;17,22;5,00;5,00;0,00;0,00;0,00;4,89;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;31,00;10,33;6,89;0,00;10,33;5,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-05-12;36,00;29,45;0,00;6,55;16,36;0,00;5,00;16,00;0,00;9,39;0,00;4,70;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-05-19;72,00;30,86;6,86;0,00;6,86;5,00;5,00;5,00;0,00;4,91;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;35,00;56,00;0,00;10,50;0,00;5,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00
2019-06-02;89,00;30,81;13,69;3,42;20,54;5,00;20,00;10,00;0,00;4,85;4,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;20,00;110,00;0,00;13,33;10,00;10,00;10,00;10,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00
2019-06-16;42,00;115,50;21,00;7,00;7,00;0,00;16,00;0,00;0,00;11,31;0,00;0,00;0,00;0,00;0,00;0,00;11,00;5,00;0,00;0,00;0,00
2019-06-23;80,00;48,70;0,00;0,00;17,39;16,00;0,00;0,00;0,00;4,80;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-06-30;43,00;62,85;9,92;6,62;29,77;5,00;21,00;5,00;0,00;4,96;4,96;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00
