Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;26,00;936,00;0,00;26,00;26,00;19,00;12,00;7,00;12,00;5,00;12,00;0,00;0,00
2019-01-13;35,00;910,00;17,50;35,00;17,50;7,00;14,00;7,00;12,00;2,00;0,00;0,00;0,00
2019-01-20;39,00;487,50;9,75;9,75;19,50;18,00;13,00;9,00;4,00;2,00;7,00;0,00;0,00
2019-01-27;16,00;240,00;0,00;16,00;8,00;13,00;4,00;0,00;7,00;2,00;9,00;4,00;0,00
2019-02-03;21,00;315,00;0,00;10,50;21,00;18,00;9,00;0,00;0,00;9,00;7,00;0,00;0,00
2019-02-10;18,00;252,00;9,00;9,00;9,00;25,00;18,00;2,00;0,00;5,00;5,00;2,00;0,00
2019-02-17;12,00;204,00;6,00;12,00;12,00;33,00;21,00;0,00;0,00;2,00;10,00;2,00;0,00
2019-02-24;16,00;288,00;0,00;16,00;0,00;12,00;23,00;2,00;7,00;2,00;14,00;0,00;0,00
2019-03-03;27,00;432,00;13,50;27,00;13,50;19,00;12,00;0,00;2,00;0,00;2,00;0,00;2,00
2019-03-10;21,00;378,00;0,00;21,00;10,50;26,00;9,00;2,00;5,00;2,00;5,00;2,00;0,00
2019-03-17;12,00;192,00;0,00;12,00;6,00;32,00;15,00;2,00;0,00;0,00;7,00;0,00;0,00
2019-03-24;27,00;351,00;13,50;27,00;13,50;22,00;27,00;0,00;7,00;5,00;7,00;2,00;0,00
2019-03-31;39,00;370,50;0,00;9,75;19,50;25,00;18,00;7,00;14,00;2,00;0,00;0,00;0,00
2019-04-07;46,00;483,00;11,50;23,00;23,00;25,00;9,00;11,00;2,00;0,00;5,00;5,00;0,00
2019-04-14;74,00;2466,67;12,33;24,67;24,67;24,00;21,00;5,00;12,00;0,00;14,00;7,00;0,00
