Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;55,00;40,00;75,00;55,00;55,00;37,00;0,00;37,00;18,70;18,70;0,00;36,30;26,61;0,00;0,00;0,00;26,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;37,00;106,38;120,25;69,38;37,00;55,00;37,00;18,00;37,00;0,00;112,12;37,00;19,06;0,00;37,00;0,00;37,00;0,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;30,00;165,00;165,00;52,50;30,00;60,00;60,00;60,00;60,00;0,00;30,00;30,00;30,00;15,00;15,00;0,00;0,00;15,00;0,00;15,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00
2019-01-27;36,00;56,57;97,71;56,57;36,00;18,00;0,00;36,00;54,00;0,00;17,45;0,00;0,00;0,00;0,00;17,42;0,00;0,00;0,00;0,00;0,00;0,00;17,42;0,00;0,00;0,00;0,00;0,00
2019-02-03;37,00;69,38;50,88;50,88;69,38;56,00;0,00;56,00;37,00;0,00;37,00;0,00;18,50;0,00;0,00;17,90;0,00;0,00;17,86;0,00;0,00;0,00;0,00;17,90;0,00;0,00;0,00;0,00
2019-02-10;63,00;86,63;63,00;63,00;31,50;93,65;126,00;0,00;0,00;0,00;63,00;31,50;31,50;16,00;16,00;16,00;0,00;0,00;0,00;0,00;16,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;12,00;4,00;4,00;8,00;57,00;76,00;19,00;19,00;0,00;17,00;70,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;75,00;95,00;75,00;60,00;20,00;0,00;56,00;0,00;0,00;0,00;0,00;75,00;0,00;0,00;19,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;32,00;280,00;216,00;184,00;96,00;94,32;0,00;0,00;0,00;32,00;32,00;129,88;0,00;0,00;0,00;32,00;32,00;16,00;32,00;16,00;0,00;0,00;16,00;0,00;16,00;0,00;0,00;0,00
2019-03-10;46,00;72,29;223,43;0,00;26,29;23,00;23,00;0,00;46,00;0,00;46,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;14,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00
