Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;62,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,43;17,52;35,04;0,00;0,00;21,38;32,07;0,00;0,00;0,00;9,00;9,00
2019-01-13;44,00;9,00;17,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,67;0,00;0,00;0,00;38,36;0,00;0,00;9,00;0,00;0,00
2019-01-20;43,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,94;33,88;0,00;0,00;0,00;43,00;0,00;0,00;9,00;0,00;0,00
2019-01-27;60,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,33;42,67;0,00;0,00;0,00;60,00;0,00;0,00;0,00;9,00;9,00
2019-02-03;34,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,16;34,00;0,00;0,00;0,00;105,78;18,89;0,00;25,00;0,00;0,00
2019-02-10;19,00;0,00;0,00;0,00;10,06;0,00;0,00;0,00;0,00;8,77;27,77;38,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;8,94
2019-02-17;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52,50;26,92;0,00;0,00;0,00;85,00;0,00;0,00;17,00;9,00;0,00
2019-02-24;25,00;0,00;8,00;0,00;0,00;9,00;0,00;9,00;9,00;7,89;0,00;42,11;0,00;0,00;0,00;34,38;0,00;0,00;17,00;0,00;0,00
2019-03-03;35,00;0,00;17,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;35,00;61,92;0,00;0,00;0,00;54,56;0,00;0,00;9,00;0,00;0,00
2019-03-10;52,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;69,33;0,00;0,00;0,00;13,33;0,00;0,00;0,00;0,00;0,00
2019-03-17;44,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,33;34,67;0,00;0,00;0,00;73,33;14,67;0,00;9,00;9,00;0,00
2019-03-24;44,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,33;17,33;0,00;0,00;0,00;22,00;7,33;0,00;9,00;0,00;0,00
2019-03-31;35,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,93;68,70;0,00;0,00;0,00;15,00;0,00;0,00;0,00;35,00;0,00
2019-04-07;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,27;64,09;0,00;0,00;0,00;45,00;0,00;0,00;9,00;0,00;0,00
2019-04-14;27,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;18,90;18,90;64,80;0,00;0,00;0,00;48,60;0,00;0,00;0,00;0,00;0,00
2019-04-21;82,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,52;37,03;0,00;0,00;0,00;82,00;0,00;0,00;9,00;0,00;0,00
2019-04-28;95,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,15;85,76;0,00;0,00;0,00;56,22;9,69;0,00;0,00;9,00;0,00
2019-05-05;88,00;9,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;34,67;0,00;0,00;0,00;138,29;0,00;0,00;0,00;26,00;9,00
2019-05-12;27,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,35;28,35;9,45;0,00;0,00;81,00;0,00;0,00;0,00;18,00;0,00
2019-05-19;31,00;9,96;9,96;0,00;0,00;0,00;0,00;0,00;9,96;10,33;10,33;31,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;9,96;0,00
2019-05-26;47,00;0,00;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;94,00;0,00;0,00;0,00;47,00;0,00;0,00;0,00;22,26;0,00
2019-06-02;45,00;0,00;18,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,55;45,00;0,00;0,00;0,00;150,00;0,00;0,00;0,00;9,00;9,00
2019-06-09;45,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,26;54,26;0,00;0,00;0,00;115,96;0,00;0,00;0,00;9,00;0,00
2019-06-16;50,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,29;80,88;10,29;0,00;0,00;40,00;0,00;0,00;10,00;0,00;10,00
2019-06-23;36,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;118,67;0,00;0,00;0,00;36,00;0,00;0,00;0,00;9,00;0,00
2019-06-30;57,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,12;47,72;9,28;10,56;0,00;44,33;0,00;0,00;9,00;0,00;0,00
2019-07-07;100,00;9,00;27,00;0,00;0,00;9,00;0,00;18,00;0,00;0,00;26,67;36,00;0,00;0,00;33,33;273,33;0,00;0,00;0,00;18,00;9,00
2019-07-14;99,00;27,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;54,85;0,00;0,00;0,00;114,97;15,97;0,00;9,00;0,00;9,00
2019-07-21;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,50;46,25;0,00;0,00;0,00;24,28;0,00;0,00;0,00;0,00;0,00
2019-07-28;74,00;9,00;19,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;27,75;46,25;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;9,00
2019-08-04;31,00;10,33;10,33;0,00;0,00;0,00;0,00;0,00;10,33;0,00;20,67;50,19;0,00;0,00;5,00;10,00;0,00;0,00;0,00;20,67;0,00
2019-08-11;62,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,43;62,00;0,00;0,00;0,00;46,50;0,00;0,00;0,00;0,00;9,00
2019-08-18;62,00;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,39;36,39;0,00;0,00;0,00;52,88;0,00;0,00;0,00;0,00;0,00
2019-08-25;59,00;8,00;8,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;7,87;49,82;0,00;0,00;0,00;40,56;0,00;0,00;25,00;0,00;8,00
2019-09-01;41,00;0,00;8,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;41,00;25,13;7,94;14,64;0,00;96,64;0,00;0,00;8,00;0,00;0,00
2019-09-08;73,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;57,07;0,00;0,00;10,14;28,39;10,14;0,00;0,00;24,00;8,00
2019-09-15;49,00;0,00;8,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;40,83;8,17;0,00;0,00;126,00;0,00;0,00;8,00;0,00;16,00
2019-09-22;41,00;8,00;16,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;15,87;0,00;0,00;0,00;23,00;0,00;0,00;8,00;8,00;8,00
2019-09-29;83,00;16,00;16,00;0,00;0,00;17,00;0,00;8,00;0,00;0,00;8,03;66,94;8,03;6,38;0,00;17,88;0,00;0,00;8,00;0,00;0,00
2019-10-06;19,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;117,17;0,00;5,00;0,00;47,00;0,00;0,00;19,00;19,00;19,00
