Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;46,00;14,00;8,00;8,00;5,00;2,00;12,00;8,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00
2019-01-13;45,00;9,00;9,00;3,00;2,00;2,00;7,00;3,00;3,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;51,00;15,00;5,00;6,00;5,00;6,00;11,00;3,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;47,00;1,00;6,00;6,00;1,00;4,00;7,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;41,00;6,00;0,00;9,00;1,00;0,00;10,00;4,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;55,00;8,00;5,00;6,00;2,00;0,00;6,00;5,00;5,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-17;42,00;8,00;6,00;14,00;2,00;2,00;6,00;6,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;40,00;5,00;5,00;16,00;0,00;2,00;8,00;6,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-03;52,00;6,00;5,00;14,00;6,00;2,00;8,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;70,00;8,00;5,00;6,00;0,00;2,00;15,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;63,00;9,00;9,00;6,00;2,00;2,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;43,00;10,00;2,00;5,00;0,00;2,00;11,00;5,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;72,00;13,00;8,00;5,00;0,00;0,00;11,00;9,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;71,00;19,00;9,00;14,00;5,00;0,00;8,00;8,00;5,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;79,00;8,00;7,00;10,00;3,00;5,00;8,00;2,00;3,00;2,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;71,00;6,00;2,00;11,00;0,00;3,00;11,00;9,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-04-28;49,00;15,00;3,00;11,00;2,00;2,00;9,00;6,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00
