Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;23,00;701,50;5,75;11,50;11,50;10,00;10,00;44,00;6,00;2,00;2,00;6,00;4,00
2019-01-13;50,00;662,50;6,25;12,50;12,50;14,00;20,00;28,00;0,00;4,00;2,00;4,00;8,00
2019-01-20;45,00;930,00;7,50;15,00;15,00;18,00;8,00;51,00;4,00;4,00;4,00;2,00;2,00
2019-01-27;34,00;532,67;0,00;11,33;11,33;22,00;18,00;36,00;6,00;2,00;2,00;8,00;4,00
2019-02-03;43,00;802,67;14,33;14,33;28,67;18,00;12,00;45,00;4,00;2,00;6,00;8,00;2,00
2019-02-10;30,00;795,00;15,00;15,00;30,00;16,00;12,00;34,00;6,00;0,00;4,00;0,00;0,00
2019-02-17;44,00;909,33;7,33;29,33;29,33;28,00;16,00;40,00;4,00;6,00;0,00;0,00;0,00
2019-02-24;32,00;832,00;8,00;16,00;16,00;20,00;8,00;46,00;8,00;4,00;2,00;6,00;2,00
2019-03-03;45,00;1065,00;0,00;15,00;15,00;10,00;16,00;33,00;4,00;2,00;8,00;10,00;2,00
2019-03-10;28,00;966,00;7,00;14,00;14,00;14,00;8,00;55,00;10,00;6,00;2,00;12,00;0,00
2019-03-17;37,00;727,67;6,17;6,17;12,33;14,00;19,00;41,00;10,00;6,00;0,00;10,00;0,00
2019-03-24;31,00;961,00;7,75;15,50;15,50;10,00;15,00;44,00;8,00;8,00;0,00;2,00;4,00
2019-03-31;50,00;875,00;6,25;25,00;12,50;19,00;23,00;31,00;12,00;6,00;2,00;8,00;4,00
2019-04-07;43,00;903,00;7,17;14,33;14,33;10,00;12,00;31,00;14,00;6,00;2,00;4,00;0,00
2019-04-14;45,00;1125,00;5,63;22,50;22,50;19,00;17,00;39,00;2,00;6,00;9,00;13,00;0,00
2019-04-21;34,00;668,67;0,00;5,67;11,33;17,00;21,00;47,00;8,00;6,00;0,00;6,00;0,00
2019-04-28;49,00;796,25;6,13;12,25;24,50;21,00;16,00;25,00;8,00;8,00;2,00;12,00;6,00
2019-05-05;82,00;915,67;6,83;13,67;27,33;21,00;13,00;36,00;21,00;6,00;2,00;8,00;4,00
2019-05-12;62,00;781,20;12,40;24,80;24,80;26,00;28,00;30,00;6,00;4,00;0,00;15,00;2,00
2019-05-19;63,00;869,40;12,60;25,20;37,80;41,00;13,00;28,00;6,00;2,00;2,00;19,00;0,00
2019-05-26;48,00;852,00;6,00;24,00;24,00;17,00;24,00;44,00;7,00;4,00;2,00;9,00;2,00
2019-06-02;61,00;927,20;12,20;12,20;24,40;19,00;19,00;46,00;10,00;2,00;4,00;6,00;0,00
2019-06-09;51,00;905,25;6,38;12,75;25,50;15,00;21,00;53,00;8,00;4,00;6,00;13,00;2,00
2019-06-16;50,00;825,00;6,25;6,25;25,00;38,00;15,00;51,00;11,00;0,00;4,00;13,00;0,00
2019-06-23;61,00;939,40;12,20;12,20;24,40;30,00;22,00;46,00;7,00;7,00;0,00;11,00;0,00
2019-06-30;49,00;857,50;6,13;12,25;36,75;27,00;16,00;38,00;9,00;7,00;0,00;16,00;0,00
2019-07-07;60,00;828,00;6,00;24,00;24,00;13,00;17,00;64,00;9,00;2,00;2,00;6,00;2,00
2019-07-14;45,00;753,75;0,00;11,25;11,25;6,00;15,00;43,00;6,00;6,00;0,00;6,00;2,00
2019-07-21;52,00;819,00;6,50;13,00;26,00;11,00;17,00;35,00;9,00;2,00;0,00;9,00;0,00
2019-07-28;59,00;814,20;5,90;11,80;11,80;11,00;11,00;42,00;4,00;2,00;13,00;7,00;2,00
2019-08-04;41,00;806,33;6,83;13,67;13,67;24,00;26,00;54,00;9,00;2,00;2,00;9,00;2,00
2019-08-11;52,00;806,00;6,50;13,00;13,00;15,00;12,00;50,00;13,00;4,00;6,00;6,00;4,00
2019-08-18;56,00;854,00;7,00;14,00;14,00;16,00;33,00;48,00;4,00;4,00;4,00;4,00;0,00
2019-08-25;38,00;709,33;6,33;25,33;12,67;26,00;8,00;40,00;8,00;2,00;2,00;12,00;4,00
2019-09-01;62,00;830,80;12,40;12,40;24,80;33,00;25,00;53,00;12,00;6,00;8,00;6,00;8,00
2019-09-08;65,00;858,00;13,00;39,00;13,00;10,00;21,00;29,00;17,00;6,00;6,00;10,00;4,00
2019-09-15;47,00;822,50;11,75;11,75;23,50;30,00;23,00;38,00;13,00;4,00;9,00;2,00;4,00
2019-09-22;68,00;952,00;13,60;13,60;27,20;23,00;14,00;48,00;17,00;10,00;12,00;10,00;2,00
2019-09-29;45,00;885,00;15,00;45,00;30,00;27,00;16,00;43,00;10,00;4,00;8,00;6,00;2,00
2019-10-06;51,00;688,50;12,75;12,75;12,75;26,00;18,00;53,00;14,00;4,00;6,00;0,00;2,00
2019-10-13;41,00;806,33;13,67;13,67;27,33;16,00;20,00;59,00;8,00;16,00;0,00;10,00;2,00
2019-10-20;27,00;756,00;13,50;40,50;13,50;23,00;15,00;31,00;6,00;11,00;6,00;10,00;2,00
2019-10-27;41,00;765,33;6,83;13,67;41,00;15,00;10,00;21,00;10,00;14,00;2,00;6,00;6,00
2019-11-03;44,00;792,00;14,67;44,00;14,67;27,00;15,00;25,00;10,00;4,00;8,00;10,00;0,00
