Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-01-05;40,00;11,43;17,14;22,86;17,14;23,00;0,00;17,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-01-12;45,00;5,77;23,08;0,00;11,54;17,00;22,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;6,00;0,00;24,00;0,00;12,00;12,00;0,00;12,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;11,00;0,00;5,50;0,00;11,00;17,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-02-02;34,00;11,33;22,67;5,67;0,00;6,00;11,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;28,00;16,80;22,40;5,60;16,80;0,00;11,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;56,00;11,43;5,71;5,71;11,43;11,00;17,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;39,00;5,74;5,74;0,00;5,74;11,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;17,00;5,67;5,67;11,33;0,00;0,00;11,00;6,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;27,00;11,25;0,00;11,25;21,38;5,00;0,00;0,00;11,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2020-03-15;17,00;5,67;11,33;5,67;5,67;0,00;0,00;6,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;11,00;0,00;11,00;0,00;15,40;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;26,00;0,00;0,00;0,00;10,17;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;11,00;0,00;5,50;11,00;22,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-04-12;21,00;0,00;19,89;0,00;5,53;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-04-19;21,00;5,83;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;0,00;4,00;4,00;27,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;10,00;10,00;14,44;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;21,00;5,83;10,50;0,00;10,50;5,00;10,00;5,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2020-05-17;11,00;6,11;6,11;0,00;11,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;5,00;16,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2020-05-24;36,00;0,00;10,13;5,63;15,75;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00
2020-05-31;40,00;10,29;20,57;14,86;35,43;25,00;5,00;15,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00
2020-06-07;10,00;18,89;37,78;10,00;28,89;15,00;0,00;5,00;10,00;5,00;5,00;0,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00
2020-06-14;50,00;25,00;25,00;35,23;25,00;20,00;15,00;0,00;5,00;5,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-06-21;32,00;16,00;36,57;0,00;37,71;21,00;21,00;16,00;21,00;11,00;5,00;0,00;21,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;79,00;16,03;57,25;36,64;10,30;32,00;10,00;5,00;16,00;5,00;16,00;5,00;10,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;66,00;15,93;70,55;60,31;44,38;33,00;33,00;22,00;0,00;11,00;5,00;5,00;5,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-07-12;89,00;11,41;59,33;47,92;41,08;59,00;18,00;24,00;18,00;12,00;0,00;6,00;6,00;6,00;0,00;12,00;6,00;6,00;0,00;0,00;6,00
2020-07-19;100,00;12,50;18,18;12,50;30,68;44,00;19,00;19,00;6,00;6,00;12,00;6,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;60,00;41,89;41,89;18,11;47,55;36,00;36,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2020-08-02;23,00;28,75;86,25;11,50;11,50;40,00;23,00;17,00;6,00;6,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-08-09;43,00;27,16;58,84;10,18;31,68;11,00;11,00;0,00;5,00;0,00;5,00;11,00;5,00;0,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00
2020-08-16;61,00;21,87;61,00;11,51;88,62;28,00;5,00;5,00;0,00;11,00;5,00;5,00;16,00;5,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00
2020-08-23;33,00;27,31;43,24;33,00;87,62;27,00;11,00;0,00;0,00;5,00;5,00;16,00;0,00;5,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-08-30;22,00;39,37;45,16;5,79;5,79;6,00;11,00;0,00;0,00;11,00;5,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-09-06;23,00;17,25;115,00;17,25;5,75;6,00;6,00;6,00;0,00;6,00;11,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;22,00;16,50;37,40;0,00;22,00;11,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
