Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;41,00;30,00;40,00;30,00;28,00;26,00;19,00;13,00;13,00;28,00;12,00;8,00;11,00;1,00;10,00;16,00;13,00;5,00;16,00;7,00;11,00;18,00;9,00;16,00;12,00;2,00;8,00;9,00
2020-01-12;52,00;20,00;45,00;20,00;23,00;22,00;17,00;14,00;15,00;29,00;11,00;6,00;16,00;2,00;13,00;15,00;12,00;8,00;11,00;11,00;15,00;9,00;9,00;30,00;13,00;1,00;9,00;9,00
2020-01-19;54,00;22,00;51,00;35,00;29,00;29,00;14,00;16,00;16,00;30,00;22,00;10,00;15,00;1,00;14,00;21,00;15,00;11,00;11,00;7,00;16,00;9,00;8,00;47,00;26,00;3,00;9,00;20,00
2020-01-26;50,00;34,00;44,00;37,00;41,00;32,00;18,00;19,00;17,00;27,00;17,00;10,00;13,00;1,00;13,00;21,00;11,00;4,00;11,00;8,00;9,00;12,00;4,00;25,00;16,00;3,00;10,00;10,00
2020-02-02;64,00;25,00;43,00;36,00;26,00;34,00;20,00;12,00;14,00;25,00;18,00;13,00;18,00;3,00;11,00;29,00;14,00;7,00;15,00;13,00;17,00;16,00;8,00;30,00;16,00;3,00;13,00;13,00
2020-02-09;67,00;25,00;43,00;35,00;39,00;34,00;22,00;19,00;15,00;35,00;20,00;10,00;18,00;1,00;14,00;21,00;17,00;7,00;12,00;12,00;14,00;13,00;11,00;35,00;19,00;3,00;7,00;14,00
2020-02-16;64,00;27,00;44,00;30,00;31,00;35,00;27,00;19,00;20,00;40,00;17,00;13,00;19,00;4,00;13,00;23,00;16,00;9,00;14,00;7,00;15,00;11,00;15,00;29,00;22,00;2,00;7,00;10,00
2020-02-23;62,00;24,00;55,00;40,00;36,00;33,00;24,00;13,00;16,00;31,00;21,00;10,00;19,00;1,00;11,00;23,00;19,00;10,00;17,00;13,00;13,00;18,00;9,00;28,00;15,00;1,00;9,00;11,00
2020-03-01;50,00;28,00;45,00;34,00;32,00;24,00;27,00;21,00;12,00;28,00;14,00;7,00;13,00;2,00;9,00;19,00;6,00;6,00;13,00;12,00;13,00;11,00;7,00;25,00;26,00;2,00;13,00;10,00
2020-03-08;45,00;33,00;43,00;34,00;31,00;32,00;24,00;17,00;18,00;28,00;14,00;9,00;15,00;1,00;14,00;16,00;14,00;5,00;11,00;11,00;9,00;9,00;6,00;17,00;9,00;3,00;7,00;10,00
2020-03-15;11,00;6,00;13,00;9,00;8,00;12,00;9,00;4,00;3,00;7,00;3,00;2,00;2,00;1,00;5,00;7,00;3,00;3,00;6,00;2,00;4,00;3,00;2,00;5,00;2,00;0,00;0,50;1,00
