Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;53,00;177,71;77,94;152,76;0,00;11,00;8,00;15,00;15,00
2019-01-13;49,00;160,07;62,07;137,20;6,53;4,00;19,00;27,00;19,00
2019-01-20;45,00;112,50;51,43;125,36;3,21;7,00;7,00;7,00;7,00
2019-01-27;26,00;97,50;39,00;113,75;3,25;7,00;11,00;18,00;7,00
2019-02-03;41,00;123,00;41,00;97,77;12,62;0,00;8,00;23,00;4,00
2019-02-10;42,00;132,46;58,15;93,69;0,00;11,00;15,00;8,00;4,00
2019-02-17;20,00;80,00;73,33;106,67;3,33;8,00;8,00;23,00;4,00
2019-02-24;38,00;79,17;53,83;91,83;6,33;4,00;11,00;15,00;11,00
2019-03-03;35,00;79,55;73,18;111,36;0,00;12,00;8,00;12,00;8,00
2019-03-10;31,00;99,20;62,00;111,60;0,00;8,00;19,00;8,00;8,00
2019-03-17;31,00;114,70;40,30;96,10;12,40;12,00;12,00;16,00;12,00
2019-03-24;24,00;126,86;41,14;161,14;6,86;16,00;16,00;12,00;4,00
2019-03-31;19,00;95,00;50,67;139,33;0,00;4,00;23,00;11,00;4,00
2019-04-07;12,00;72,00;30,00;84,00;0,00;8,00;8,00;12,00;4,00
2019-04-14;38,00;95,00;53,83;104,50;3,17;8,00;25,00;13,00;8,00
2019-04-21;24,00;75,00;24,00;114,00;0,00;4,00;12,00;4,00;0,00
2019-04-28;26,00;61,75;61,75;84,50;3,25;11,00;52,00;11,00;11,00
2019-05-05;37,00;53,82;50,45;80,73;3,36;4,00;0,00;7,00;15,00
2019-05-12;15,00;75,00;21,00;87,00;3,00;0,00;30,00;4,00;8,00
2019-05-19;37,00;55,50;24,67;148,00;3,08;22,00;26,00;7,00;4,00
2019-05-26;30,00;70,00;30,00;86,67;3,33;4,00;15,00;7,00;0,00
2019-06-02;21,00;60,00;33,00;81,00;6,00;4,00;11,00;0,00;4,00
2019-06-09;25,00;78,13;21,88;90,63;3,13;22,00;7,00;7,00;11,00
2019-06-16;30,00;66,67;53,33;130,00;0,00;4,00;8,00;8,00;19,00
2019-06-23;28,00;68,44;31,11;115,11;0,00;4,00;40,00;4,00;20,00
2019-06-30;45,00;54,64;32,14;135,00;0,00;4,00;16,00;4,00;12,00
2019-07-07;28,00;96,44;21,78;93,33;0,00;8,00;12,00;8,00;12,00
2019-07-14;46,00;131,43;78,86;144,57;9,86;17,00;8,00;0,00;8,00
2019-07-21;39,00;133,25;81,25;143,00;0,00;4,00;13,00;9,00;9,00
2019-07-28;25,00;93,75;56,25;87,50;3,13;4,00;8,00;17,00;17,00
2019-08-04;17,00;74,80;74,80;102,00;3,40;4,00;13,00;21,00;21,00
2019-08-11;28,00;108,89;46,67;133,78;0,00;0,00;16,00;4,00;0,00
2019-08-18;60,00;91,58;47,37;101,05;3,16;0,00;16,00;8,00;8,00
2019-08-25;46,00;111,71;72,29;108,43;3,29;4,00;12,00;19,00;0,00
2019-09-01;19,00;63,33;47,50;101,33;3,17;8,00;4,00;15,00;8,00
2019-09-08;100,00;80,65;45,16;138,71;0,00;0,00;12,00;0,00;8,00
2019-09-15;38,00;85,50;63,33;158,33;0,00;0,00;8,00;15,00;8,00
2019-09-22;26,00;100,75;52,00;107,25;3,25;4,00;15,00;4,00;7,00
2019-09-29;29,00;64,44;74,11;109,56;0,00;4,00;14,00;4,00;0,00
2019-10-06;32,00;73,60;32,00;134,40;3,20;4,00;25,00;7,00;7,00
2019-10-13;36,00;94,91;39,27;104,73;9,82;4,00;7,00;7,00;7,00
2019-10-20;44,00;138,29;72,29;147,71;3,14;0,00;65,00;18,00;15,00
2019-10-27;19,00;95,00;50,67;104,50;0,00;4,00;22,00;7,00;0,00
2019-11-03;32,00;92,80;83,20;131,20;3,20;4,00;21,00;11,00;4,00
2019-11-10;4,00;148,00;72,00;140,00;0,00;0,00;25,00;18,00;7,00
2019-11-17;11,00;183,33;73,33;113,67;7,33;7,00;40,00;14,00;4,00
2019-11-24;34,00;95,82;71,09;114,36;0,00;10,00;7,00;21,00;0,00
2019-12-01;25,00;146,88;62,50;121,88;12,50;11,00;14,00;7,00;4,00
2019-12-08;49,00;130,67;84,93;117,60;0,00;7,00;31,00;10,00;3,00
2019-12-15;59,00;190,11;85,22;111,44;0,00;10,00;14,00;7,00;10,00
2019-12-22;57,00;142,50;76,00;110,83;0,00;8,00;4,00;11,00;4,00
2019-12-29;49,00;169,87;71,87;117,60;6,53;8,00;15,00;8,00;15,00
2020-01-05;37,00;164,82;144,64;124,45;6,73;10,00;13,00;17,00;0,00
2020-01-12;33,00;194,70;115,50;112,20;3,30;3,00;16,00;16,00;0,00
2020-01-19;20,00;153,33;80,00;126,67;3,33;7,00;14,00;10,00;7,00
2020-01-26;24,00;161,14;89,14;109,71;6,86;7,00;24,00;10,00;3,00
2020-02-02;58,00;157,89;74,11;90,22;0,00;0,00;10,00;14,00;3,00
2020-02-09;33,00;201,30;99,00;135,30;3,30;3,00;13,00;3,00;3,00
2020-02-16;40,00;138,46;83,08;156,92;6,15;0,00;10,00;3,00;7,00
2020-02-23;37,00;148,00;49,33;123,33;0,00;3,00;7,00;3,00;0,00
2020-03-01;26,00;169,00;100,75;100,75;0,00;7,00;13,00;13,00;20,00
2020-03-08;29,00;132,11;67,67;161,11;3,22;3,00;10,00;0,00;3,00
2020-03-15;13,00;97,50;45,50;162,50;0,00;3,00;13,00;10,00;13,00
2020-03-22;25,00;75,00;31,25;100,00;6,25;3,00;19,00;3,00;3,00
2020-03-29;31,00;40,30;43,40;89,90;3,10;6,00;28,00;0,00;0,00
2020-04-05;49,00;78,40;29,40;104,53;0,00;0,00;29,00;13,00;0,00
2020-04-12;28,00;52,89;40,44;152,44;0,00;3,00;12,00;9,00;6,00
2020-04-19;18,00;57,00;24,00;111,00;0,00;6,00;33,00;9,00;6,00
2020-04-26;30,00;60,00;26,67;83,33;0,00;0,00;21,00;6,00;9,00
2020-05-03;18,00;51,00;12,00;90,00;6,00;9,00;51,00;6,00;3,00
2020-05-10;36,00;49,09;19,64;108,00;0,00;6,00;12,00;0,00;3,00
2020-05-17;34,00;27,82;15,45;71,09;3,09;12,00;16,00;9,00;3,00
2020-05-24;37,00;55,50;40,08;70,92;3,08;0,00;28,00;0,00;6,00
2020-05-31;23,00;72,29;26,29;101,86;0,00;3,00;9,00;3,00;9,00
2020-06-07;26,00;52,00;39,00;55,25;6,50;0,00;9,00;0,00;9,00
2020-06-14;18,00;63,00;36,00;69,00;3,00;0,00;36,00;3,00;6,00
2020-06-21;25,00;40,63;43,75;93,75;6,25;3,00;38,00;6,00;6,00
2020-06-28;53,00;65,47;34,29;77,94;3,12;3,00;16,00;3,00;0,00
2020-07-05;23,00;78,86;52,57;78,86;3,29;3,00;16,00;10,00;0,00
2020-07-12;38,00;120,33;44,33;44,33;3,17;7,00;3,00;10,00;3,00
2020-07-19;37,00;84,09;50,45;111,00;0,00;7,00;4,00;0,00;4,00
2020-07-26;24,00;99,00;36,00;84,00;6,00;0,00;21,00;14,00;3,00
2020-08-02;20,00;136,67;50,00;100,00;6,67;3,00;7,00;7,00;0,00
2020-08-09;51,00;70,13;57,38;86,06;3,19;6,00;19,00;13,00;0,00
2020-08-16;32,00;124,80;41,60;137,60;3,20;3,00;16,00;3,00;3,00
2020-08-23;32,00;112,00;48,00;131,20;9,60;10,00;19,00;10,00;0,00
2020-08-30;30,00;70,00;46,67;136,67;3,33;7,00;13,00;7,00;10,00
2020-09-06;13,00;84,50;55,25;104,00;3,25;3,00;3,00;10,00;0,00
2020-09-13;10,00;80,00;30,00;93,33;0,00;0,00;20,00;3,00;0,00
