Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;6,00;4,00;12,00;7,00;1,00;2,00;6,00;1,00;0,00;1,00;0,00;0,00;0,00;5,00;4,00;1,00;0,00;1,00;5,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;7,00;0,00;11,00;2,00;1,00;2,00;2,00;1,00;1,00;4,00;0,00;1,00;1,00;6,00;4,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;49,00;7,00;2,00;6,00;2,00;5,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;5,00;3,00;2,00;0,00;1,00;2,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;25,00;4,00;3,00;8,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;6,00;1,00;0,00;2,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;38,00;1,00;6,00;7,00;1,00;1,00;0,00;1,00;0,00;2,00;2,00;0,00;0,00;1,00;3,00;8,00;0,00;2,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;38,00;3,00;8,00;14,00;3,00;2,00;1,00;1,00;1,00;3,00;1,00;0,00;0,00;2,00;5,00;6,00;1,00;1,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;27,00;7,00;5,00;7,00;1,00;2,00;0,00;4,00;0,00;2,00;4,00;1,00;0,00;0,00;5,00;7,00;1,00;0,00;6,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;5,00;8,00;11,00;0,00;0,00;0,00;4,00;1,00;0,00;2,00;0,00;1,00;0,00;7,00;6,00;2,00;1,00;1,00;0,00;1,00;4,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;43,00;11,00;5,00;10,00;1,00;2,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;5,00;0,00;2,00;2,00;1,00;1,00;1,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;2,00;13,00;5,00;6,00;4,00;0,00;4,00;1,00;2,00;2,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;4,00;2,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
