Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;34,00;126,73;95,82;139,09;3,09;7,00;25,00;8,00;5,00
2019-01-13;34,00;132,60;95,20;153,00;3,40;9,00;29,00;8,00;6,00
2019-01-20;31,00;114,70;77,50;133,30;3,10;5,00;29,00;8,00;5,00
2019-01-27;30,00;120,00;90,00;130,00;6,67;6,00;26,00;10,00;4,00
2019-02-03;27,00;121,50;84,38;118,13;3,38;5,00;33,00;10,00;4,00
2019-02-10;31,00;102,30;77,50;117,80;3,10;9,00;25,00;10,00;5,00
2019-02-17;30,00;106,67;76,67;116,67;3,33;6,00;51,00;8,00;5,00
2019-02-24;27,00;121,50;81,00;118,13;3,38;7,00;27,00;10,00;6,00
2019-03-03;27,00;111,38;74,25;128,25;6,75;4,00;27,00;8,00;7,00
2019-03-10;24,00;102,86;72,00;123,43;6,86;4,00;29,00;13,00;8,00
2019-03-17;27,00;97,88;74,25;104,63;3,38;4,00;28,00;7,00;4,00
2019-03-24;23,00;92,00;65,71;111,71;3,29;5,00;33,00;8,00;4,00
2019-03-31;27,00;75,00;54,00;123,00;3,00;5,00;31,00;7,00;5,00
2019-04-07;26,00;87,75;61,75;130,00;3,25;5,00;31,00;7,00;5,00
2019-04-14;24,00;85,71;54,86;123,43;3,43;5,00;33,00;6,00;3,00
2019-04-21;25,00;81,25;50,00;118,75;3,13;4,00;33,00;6,00;5,00
2019-04-28;25,00;78,13;50,00;121,88;3,13;5,00;26,00;6,00;4,00
2019-05-05;29,00;77,33;54,78;128,89;3,22;3,00;26,00;6,00;4,00
2019-05-12;29,00;70,89;51,56;106,33;3,22;4,00;31,00;6,00;6,00
2019-05-19;27,00;81,00;47,25;145,13;3,38;4,00;27,00;7,00;3,00
2019-05-26;24,00;72,00;44,57;120,00;3,43;4,00;31,00;5,00;2,00
2019-06-02;23,00;72,29;52,57;105,14;3,29;3,00;26,00;7,00;4,00
2019-06-09;25,00;65,63;46,88;115,63;3,13;5,00;26,00;5,00;5,00
2019-06-16;36,00;78,55;52,36;124,36;6,55;3,00;31,00;5,00;4,00
2019-06-23;31,00;74,40;52,70;117,80;3,10;3,00;35,00;5,00;4,00
2019-06-30;34,00;74,18;55,64;126,73;6,18;4,00;37,00;6,00;6,00
2019-07-07;32,00;76,80;60,80;121,60;3,20;5,00;37,00;6,00;6,00
2019-07-14;34,00;77,27;55,64;120,55;3,09;6,00;33,00;5,00;6,00
2019-07-21;36,00;91,64;58,91;117,82;3,27;4,00;26,00;6,00;6,00
2019-07-28;33,00;89,10;72,60;148,50;3,30;5,00;30,00;6,00;5,00
2019-08-04;35,00;92,27;63,64;133,64;3,18;4,00;29,00;7,00;5,00
2019-08-11;33,00;92,40;69,30;145,20;3,30;5,00;28,00;9,00;5,00
2019-08-18;36,00;91,64;62,18;147,27;6,55;5,00;32,00;6,00;3,00
2019-08-25;35,00;82,73;70,00;133,64;3,18;5,00;31,00;9,00;6,00
2019-09-01;31,00;77,50;58,90;117,80;3,10;5,00;35,00;6,00;5,00
2019-09-08;36,00;78,55;58,91;124,36;3,27;5,00;24,00;6,00;5,00
2019-09-15;29,00;74,11;58,00;128,89;3,22;4,00;27,00;6,00;5,00
2019-09-22;25,00;75,00;53,13;121,88;3,13;3,00;28,00;6,00;4,00
2019-09-29;26,00;78,00;61,75;126,75;3,25;5,00;31,00;7,00;4,00
2019-10-06;26,00;78,00;55,25;133,25;3,25;5,00;27,00;6,00;5,00
2019-10-13;27,00;81,00;60,75;148,50;3,38;3,00;32,00;6,00;6,00
2019-10-20;27,00;91,13;60,75;178,88;6,75;3,00;100,00;6,00;5,00
2019-10-27;27,00;97,88;67,50;141,75;3,38;3,00;35,00;7,00;4,00
