Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;40,00;17,00;17,00;12,00;0,00;78,33;5,00;5,00;0,00;0,00;70,77;76,92;6,15;5,71;0,00;68,57;5,71;10,91;80,00;10,91;40,00
2019-01-13;52,00;58,00;17,00;35,00;0,00;46,80;12,13;0,00;5,20;24,47;70,35;76,47;12,24;5,78;5,78;83,78;0,00;185,71;46,43;16,71;5,57
2019-01-20;34,00;34,00;23,00;23,00;11,00;68,00;5,10;0,00;17,00;6,18;98,91;80,36;0,00;0,00;5,67;68,00;5,67;52,89;39,67;17,00;75,56
2019-01-27;34,00;11,00;17,00;23,00;0,00;66,30;17,00;0,00;11,90;0,00;95,82;86,55;6,18;5,67;0,00;62,33;28,33;22,67;132,22;0,00;22,67
2019-02-03;17,00;17,00;0,00;17,00;0,00;57,80;40,80;0,00;11,90;5,67;90,67;73,67;0,00;0,00;0,00;51,00;5,67;5,67;88,78;0,00;11,33
2019-02-10;29,00;23,00;0,00;12,00;0,00;81,88;23,88;5,12;5,12;11,60;104,40;55,10;0,00;0,00;0,00;78,30;23,20;23,56;103,31;0,00;5,44
2019-02-17;24,00;24,00;24,00;0,00;0,00;65,14;17,14;0,00;12,00;0,00;117,00;111,00;6,00;0,00;0,00;69,00;6,00;5,54;107,08;18,46;11,08
2019-02-24;29,00;29,00;0,00;23,00;6,00;23,88;29,00;0,00;0,00;12,89;93,44;90,22;6,44;5,80;5,80;84,10;11,60;10,88;74,31;0,00;16,31
2019-03-03;53,00;42,00;18,00;35,00;12,00;64,97;23,94;11,97;17,10;6,24;77,94;90,41;0,00;0,00;0,00;92,05;0,00;5,48;58,48;5,48;5,48
2019-03-10;41,00;41,00;12,00;12,00;0,00;23,92;52,96;5,13;11,96;12,62;78,85;78,85;6,31;0,00;0,00;41,00;0,00;0,00;76,41;5,59;24,23
2019-03-17;24,00;24,00;6,00;18,00;0,00;60,00;36,00;5,14;17,14;12,00;93,00;75,00;6,00;0,00;6,00;69,00;0,00;11,08;64,62;18,46;11,08
2019-03-24;48,00;30,00;6,00;6,00;0,00;36,00;42,86;6,86;18,86;12,00;78,00;81,00;6,00;0,00;5,65;76,24;5,65;0,00;24,00;0,00;0,00
2019-03-31;53,00;41,00;6,00;12,00;0,00;35,90;29,06;0,00;11,97;31,18;53,00;65,47;6,24;0,00;5,58;108,79;11,16;5,68;17,04;0,00;17,04
