Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;25,00;8,00;24,00;42,00;6,00;4,00;8,00;11,00;6,00
2019-01-13;42,00;13,00;15,00;29,00;0,00;5,00;4,00;5,00;7,00
2019-01-20;27,00;9,00;11,00;29,00;2,00;0,00;5,00;10,00;2,00
2019-01-27;38,00;12,00;13,00;24,00;7,00;3,00;2,00;9,00;10,00
2019-02-03;32,00;11,00;14,00;26,00;4,00;2,00;6,00;7,00;9,00
2019-02-10;24,00;6,00;15,00;35,00;4,00;4,00;4,00;9,00;2,00
2019-02-17;31,00;7,00;17,00;33,00;4,00;9,00;6,00;13,00;5,00
2019-02-24;35,00;11,00;12,00;36,00;2,00;4,00;8,00;4,00;7,00
2019-03-03;30,00;13,00;22,00;32,00;0,00;4,00;2,00;6,00;6,00
2019-03-10;26,00;6,00;8,00;34,00;0,00;2,00;2,00;2,00;0,00
2019-03-17;30,00;17,00;16,00;24,00;6,00;8,00;2,00;6,00;2,00
2019-03-24;70,00;27,00;16,00;35,00;4,00;0,00;2,00;11,00;6,00
2019-03-31;27,00;5,00;11,00;34,00;2,00;7,00;13,00;7,00;0,00
2019-04-07;41,00;11,00;9,00;35,00;2,00;4,00;4,00;7,00;4,00
2019-04-14;46,00;6,00;14,00;17,00;8,00;0,00;6,00;4,00;6,00
2019-04-21;26,00;9,00;13,00;22,00;2,00;4,00;6,00;9,00;2,00
2019-04-28;46,00;7,00;13,00;20,00;7,00;4,00;8,00;13,00;2,00
2019-05-05;41,00;20,00;57,00;32,00;2,00;2,00;15,00;11,00;16,00
2019-05-12;65,00;11,00;11,00;25,00;2,00;0,00;6,00;4,00;29,00
2019-05-19;41,00;18,00;17,00;30,00;2,00;2,00;4,00;5,00;5,00
2019-05-26;75,00;13,00;13,00;19,00;2,00;0,00;4,00;7,00;2,00
2019-06-02;26,00;7,00;20,00;31,00;3,00;0,00;2,00;14,00;5,00
2019-06-09;26,00;9,00;15,00;24,00;2,00;5,00;7,00;5,00;5,00
2019-06-16;19,00;15,00;10,00;31,00;7,00;0,00;13,00;4,00;2,00
2019-06-23;34,00;13,00;18,00;26,00;2,00;2,00;6,00;6,00;9,00
2019-06-30;47,00;9,00;22,00;24,00;4,00;2,00;4,00;4,00;6,00
2019-07-07;63,00;9,00;9,00;23,00;2,00;0,00;6,00;11,00;0,00
2019-07-14;57,00;11,00;12,00;28,00;0,00;4,00;12,00;13,00;4,00
2019-07-21;67,00;15,00;14,00;38,00;8,00;4,00;12,00;4,00;6,00
2019-07-28;43,00;12,00;14,00;35,00;10,00;0,00;8,00;10,00;6,00
2019-08-04;36,00;16,00;17,00;29,00;8,00;2,00;8,00;4,00;4,00
2019-08-11;42,00;16,00;21,00;29,00;4,00;4,00;6,00;20,00;2,00
2019-08-18;52,00;8,00;12,00;40,00;4,00;4,00;4,00;6,00;11,00
2019-08-25;70,00;15,00;21,00;24,00;4,00;2,00;6,00;11,00;4,00
2019-09-01;16,00;11,00;13,00;19,00;0,00;3,00;5,00;19,00;7,00
2019-09-08;36,00;16,00;13,00;25,00;3,00;2,00;4,00;3,00;2,00
2019-09-15;26,00;3,00;7,00;39,00;3,00;2,00;2,00;12,00;2,00
2019-09-22;26,00;14,00;16,00;20,00;5,00;2,00;5,00;3,00;5,00
2019-09-29;26,00;9,00;23,00;30,00;5,00;2,00;4,00;2,00;8,00
2019-10-06;36,00;14,00;18,00;34,00;10,00;0,00;9,00;10,00;5,00
2019-10-13;23,00;8,00;5,00;38,00;3,00;5,00;7,00;2,00;5,00
2019-10-20;23,00;13,00;10,00;36,00;2,00;5,00;10,00;0,00;16,00
2019-10-27;20,00;12,00;18,00;17,00;0,00;3,00;7,00;10,00;25,00
2019-11-03;30,00;17,00;14,00;31,00;2,00;2,00;7,00;7,00;10,00
2019-11-10;25,00;7,00;10,00;20,00;3,00;0,00;3,00;3,00;3,00
2019-11-17;21,00;13,00;14,00;34,00;5,00;0,00;5,00;3,00;2,00
2019-11-24;22,00;15,00;12,00;14,00;10,00;0,00;10,00;8,00;10,00
