Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;21,00;514,50;5,25;10,50;21,00;30,00;33,00;8,00;29,00;4,20;14,70;4,20;1,05
2019-01-13;16,00;864,00;8,00;32,00;32,00;30,00;35,00;10,00;23,00;16,00;16,00;4,57;2,29
2019-01-20;19,00;418,00;4,75;9,50;19,00;26,00;37,00;10,00;31,00;12,67;19,00;2,11;0,00
2019-01-27;16,00;784,00;8,00;16,00;32,00;22,00;30,00;6,00;25,00;13,71;18,29;6,86;1,14
2019-02-03;14,00;742,00;7,00;28,00;28,00;28,00;25,00;5,00;27,00;10,00;16,00;4,00;1,00
2019-02-10;15,00;795,00;7,50;30,00;30,00;26,00;32,00;7,00;18,00;10,71;19,29;4,29;0,00
2019-02-17;19,00;513,00;9,50;19,00;104,50;27,00;28,00;6,00;35,00;10,56;25,33;4,22;0,00
2019-02-24;10,00;480,00;5,00;10,00;20,00;25,00;29,00;9,00;33,00;8,00;18,00;4,00;0,00
2019-03-03;16,00;800,00;8,00;32,00;32,00;32,00;33,00;8,00;30,00;11,43;20,57;4,57;2,29
2019-03-10;17,00;901,00;8,50;17,00;51,00;29,00;34,00;8,00;33,00;10,63;19,13;4,25;1,06
2019-03-17;22,00;627,00;5,50;22,00;22,00;26,00;33,00;4,00;25,00;11,00;24,20;6,60;2,20
2019-03-24;24,00;588,00;12,00;24,00;24,00;31,00;26,00;8,00;27,00;13,09;17,45;8,73;2,18
2019-03-31;33,00;495,00;11,00;22,00;22,00;30,00;57,00;14,00;34,00;11,00;24,20;4,40;2,20
2019-04-07;26,00;650,00;13,00;26,00;26,00;44,00;48,00;9,00;37,00;17,33;21,67;8,67;2,17
2019-04-14;37,00;1233,33;12,33;24,67;37,00;47,00;71,00;19,00;47,00;15,24;32,65;8,71;1,09
2019-04-21;32,00;480,00;5,33;21,33;21,33;39,00;65,00;17,00;36,00;14,93;21,33;4,27;0,00
2019-04-28;25,00;500,00;6,25;12,50;25,00;31,00;43,00;13,00;28,00;10,42;20,83;4,17;2,08
2019-05-05;26,00;676,00;6,50;26,00;26,00;33,00;52,00;14,00;23,00;10,83;30,33;6,50;2,17
2019-05-12;29,00;406,00;4,83;19,33;19,33;33,00;52,00;16,00;39,00;10,36;22,79;6,21;0,00
2019-05-19;34,00;476,00;5,67;11,33;45,33;44,00;51,00;14,00;34,00;12,75;27,63;6,38;2,13
2019-05-26;37,00;493,33;12,33;24,67;24,67;23,00;40,00;19,00;31,00;17,41;21,76;4,35;2,18
2019-06-02;35,00;571,67;5,83;46,67;23,33;36,00;63,00;13,00;46,00;19,69;26,25;8,75;2,19
2019-06-09;39,00;559,00;13,00;52,00;39,00;48,00;51,00;9,00;37,00;23,83;30,33;6,50;2,17
2019-06-16;34,00;510,00;11,33;45,33;34,00;40,00;62,00;17,00;40,00;14,88;29,75;10,63;1,06
2019-06-23;50,00;575,00;6,25;25,00;25,00;43,00;60,00;18,00;31,00;17,39;36,96;8,70;4,35
2019-06-30;39,00;598,00;13,00;52,00;52,00;39,00;66,00;19,00;36,00;19,50;30,33;6,50;2,17
2019-07-07;44,00;517,00;11,00;22,00;33,00;54,00;61,00;17,00;44,00;19,80;33,00;11,00;4,40
