Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;36,00;98,53;87,16;45,47;90,95;84,52;90,78;37,57;53,22;32,00;18,00;29,00;18,00;14,00;14,00;25,00;14,00;7,00;7,00;7,00;21,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;51,00;94,44;62,33;68,00;52,89;82,88;68,53;41,44;49,41;54,00;46,00;33,00;15,00;14,00;11,00;36,00;40,00;7,00;14,00;11,00;7,00;11,00;4,00;7,00;4,00;0,00;0,00;0,00
2019-01-20;54,00;90,64;73,29;75,21;67,50;81,00;58,76;47,65;49,24;39,00;28,00;28,00;18,00;4,00;49,00;11,00;25,00;7,00;18,00;7,00;14,00;10,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;57,00;74,10;89,30;72,20;51,30;131,42;79,17;72,83;44,33;28,00;24,00;28,00;32,00;17,00;14,00;10,00;18,00;11,00;17,00;21,00;24,00;7,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;87,24;68,28;53,10;36,03;64,71;46,91;22,65;16,18;43,00;42,00;29,00;11,00;18,00;28,00;18,00;18,00;4,00;18,00;7,00;14,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-02-10;11,00;64,17;49,50;62,33;34,83;31,43;42,43;18,86;26,71;26,00;32,00;25,00;18,00;4,00;11,00;7,00;7,00;4,00;14,00;4,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;53,00;68,14;90,86;58,68;28,39;44,97;51,39;16,06;19,27;15,00;11,00;30,00;15,00;18,00;18,00;40,00;30,00;0,00;19,00;8,00;7,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00
2019-02-24;73,00;107,58;107,58;76,84;74,92;111,09;74,59;26,98;30,15;44,00;29,00;36,00;22,00;25,00;18,00;39,00;33,00;19,00;29,00;15,00;21,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;82,00;137,30;190,70;87,72;61,02;64,65;61,50;34,69;15,77;22,00;29,00;33,00;15,00;15,00;29,00;29,00;18,00;15,00;15,00;11,00;4,00;14,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;29,00;56,07;175,93;61,87;54,13;66,06;54,78;14,50;22,56;4,00;25,00;18,00;26,00;7,00;18,00;7,00;33,00;15,00;25,00;7,00;4,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;34,00;69,89;56,67;26,44;51,00;37,24;59,90;16,19;32,38;7,00;11,00;22,00;11,00;0,00;7,00;11,00;19,00;4,00;7,00;11,00;18,00;4,00;7,00;0,00;0,00;0,00;4,00;0,00
2019-03-24;30,00;75,00;41,25;18,75;54,38;66,32;69,47;3,16;15,79;19,00;15,00;22,00;19,00;4,00;0,00;7,00;22,00;8,00;19,00;0,00;4,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;55,00;85,34;62,59;92,93;49,31;86,43;70,71;18,86;26,71;15,00;18,00;15,00;15,00;7,00;11,00;22,00;7,00;11,00;7,00;7,00;4,00;22,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-04-07;59,00;59,00;22,84;72,32;60,90;38,27;90,89;4,78;23,92;15,00;23,00;15,00;8,00;4,00;15,00;11,00;15,00;4,00;19,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;20,00;41,82;20,00;14,55;38,18;23,08;18,46;12,31;7,69;8,00;16,00;8,00;4,00;0,00;4,00;4,00;20,00;0,00;20,00;12,00;4,00;16,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-04-21;23,00;30,67;11,50;15,33;23,00;15,33;7,67;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;25,00;15,38;11,54;3,85;9,62;3,13;14,06;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;7,00;18,00;0,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;25,00;7,69;3,85;7,69;13,46;10,94;0,00;3,13;0,00;10,00;10,00;0,00;7,00;0,00;3,00;3,00;14,00;0,00;0,00;7,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00
2019-05-12;18,00;7,20;21,60;0,00;12,60;7,50;3,00;0,00;3,00;4,00;7,00;0,00;0,00;4,00;4,00;0,00;11,00;7,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-05-19;43,00;7,48;11,22;11,22;7,48;11,15;11,15;3,19;0,00;4,00;7,00;4,00;0,00;4,00;7,00;4,00;4,00;4,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;39,00;7,43;11,14;16,71;20,43;3,12;0,00;0,00;0,00;7,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-06-02;31,00;7,75;21,31;9,69;5,81;9,79;24,47;3,26;0,00;7,00;0,00;7,00;14,00;3,00;7,00;3,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;4,00;0,00
2019-06-09;42,00;13,36;17,18;7,64;21,00;14,54;9,69;3,23;8,08;14,00;3,00;3,00;10,00;3,00;0,00;17,00;3,00;11,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;43,00;14,96;18,70;7,48;16,83;11,15;6,37;7,96;0,00;7,00;14,00;7,00;7,00;0,00;4,00;11,00;18,00;11,00;7,00;4,00;18,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;57,00;3,80;22,80;19,00;15,20;26,92;3,17;0,00;4,75;4,00;15,00;4,00;8,00;4,00;0,00;15,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
