Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;49,00;25,24;7,42;25,24;5,94;19,00;8,00;18,00;1,00;4,00;4,00;4,00;3,00;4,00;1,00;1,00;1,00;0,50;0,50;0,50;1,00
2019-01-13;46,00;21,56;7,19;24,44;7,19;19,00;8,00;21,00;1,00;4,00;4,00;4,00;3,00;4,00;1,00;1,00;1,00;1,00;0,50;0,50;1,00
2019-01-20;45,00;24,68;7,26;26,13;7,26;20,00;7,00;19,00;1,00;3,00;3,00;4,00;2,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50;1,00
2019-01-27;37,00;22,77;8,54;22,77;7,12;17,00;8,00;20,00;2,00;4,00;3,00;5,00;3,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50;1,00
2019-02-03;37,00;26,64;10,36;25,16;7,40;18,00;9,00;22,00;2,00;4,00;4,00;6,00;3,00;4,00;1,00;1,00;2,00;1,00;0,50;1,00;1,00
2019-02-10;36,00;27,36;10,08;31,68;7,20;20,00;9,00;22,00;2,00;4,00;6,00;6,00;4,00;4,00;1,00;2,00;3,00;2,00;0,50;1,00;1,00
2019-02-17;37,00;32,56;13,32;34,04;10,36;23,00;10,00;21,00;2,00;5,00;6,00;5,00;5,00;5,00;2,00;2,00;3,00;3,00;1,00;1,00;2,00
2019-02-24;39,00;31,78;11,56;28,89;10,11;21,00;9,00;22,00;2,00;5,00;6,00;5,00;4,00;6,00;1,00;2,00;3,00;3,00;1,00;1,00;1,00
2019-03-03;36,00;28,80;11,52;28,80;10,08;20,00;10,00;24,00;1,00;5,00;5,00;5,00;4,00;4,00;2,00;1,00;2,00;2,00;0,50;1,00;1,00
2019-03-10;42,00;26,07;10,14;26,07;10,14;22,00;10,00;23,00;2,00;4,00;4,00;5,00;4,00;5,00;1,00;2,00;2,00;2,00;0,50;1,00;1,00
2019-03-17;36,00;30,24;11,52;28,80;8,64;20,00;10,00;22,00;2,00;5,00;6,00;5,00;5,00;6,00;1,00;2,00;3,00;2,00;0,50;1,00;1,00
2019-03-24;42,00;28,97;14,48;26,07;10,14;22,00;10,00;23,00;2,00;5,00;6,00;6,00;5,00;6,00;1,00;2,00;3,00;1,00;0,50;0,50;1,00
2019-03-31;55,00;36,18;14,47;30,39;11,58;24,00;10,00;23,00;2,00;6,00;5,00;7,00;5,00;6,00;1,00;2,00;3,00;3,00;1,00;1,00;1,00
2019-04-07;59,00;33,10;20,15;33,10;14,39;30,00;12,00;26,00;2,00;7,00;6,00;9,00;7,00;6,00;2,00;3,00;3,00;4,00;1,00;1,00;2,00
2019-04-14;67,00;39,91;24,23;39,91;19,96;30,00;12,00;30,00;3,00;7,00;8,00;8,00;8,00;8,00;2,00;4,00;4,00;5,00;1,00;1,00;2,00
2019-04-21;64,00;42,18;23,27;36,36;18,91;32,00;14,00;31,00;2,00;7,00;6,00;9,00;7,00;9,00;2,00;3,00;4,00;6,00;1,00;1,00;2,00
2019-04-28;62,00;41,33;23,62;36,90;16,24;28,00;14,00;27,00;2,00;7,00;7,00;10,00;8,00;9,00;2,00;3,00;5,00;4,00;1,00;1,00;1,00
2019-05-05;58,00;34,80;17,40;29,00;13,05;26,00;12,00;28,00;1,00;6,00;6,00;9,00;6,00;7,00;2,00;2,00;3,00;3,00;1,00;0,50;1,00
2019-05-12;61,00;36,31;15,98;29,05;14,52;27,00;16,00;27,00;2,00;7,00;6,00;11,00;5,00;6,00;2,00;2,00;3,00;3,00;0,50;1,00;1,00
2019-05-19;59,00;38,35;20,65;32,45;20,65;27,00;16,00;27,00;2,00;7,00;5,00;10,00;8,00;8,00;2,00;2,00;4,00;4,00;1,00;1,00;1,00
2019-05-26;61,00;39,21;27,60;37,76;26,14;33,00;13,00;31,00;2,00;8,00;7,00;12,00;11,00;10,00;2,00;3,00;6,00;6,00;1,00;1,00;2,00
2019-06-02;68,00;36,17;23,15;33,28;23,15;29,00;13,00;26,00;3,00;8,00;6,00;12,00;8,00;10,00;2,00;2,00;3,00;5,00;1,00;1,00;2,00
2019-06-09;70,00;40,83;17,50;32,08;23,33;36,00;14,00;30,00;2,00;9,00;6,00;11,00;7,00;10,00;2,00;2,00;4,00;6,00;1,00;1,00;2,00
2019-06-16;77,00;39,23;20,34;31,96;26,15;34,00;15,00;30,00;2,00;10,00;7,00;13,00;9,00;12,00;3,00;3,00;4,00;4,00;1,00;1,00;2,00
2019-06-23;80,00;42,18;21,82;34,91;26,18;35,00;18,00;32,00;3,00;12,00;12,00;12,00;11,00;12,00;4,00;3,00;5,00;5,00;1,00;1,00;2,00
2019-06-30;77,00;46,49;21,79;40,68;30,51;37,00;16,00;34,00;2,00;15,00;8,00;13,00;11,00;12,00;4,00;4,00;4,00;5,00;1,00;2,00;2,00
2019-07-07;78,00;52,00;24,56;40,44;37,56;44,00;18,00;38,00;3,00;22,00;9,00;16,00;13,00;14,00;5,00;4,00;6,00;6,00;1,00;2,00;3,00
2019-07-14;79,00;57,45;28,73;43,09;40,22;54,00;21,00;36,00;3,00;22,00;9,00;17,00;14,00;16,00;6,00;5,00;6,00;7,00;1,00;3,00;2,00
2019-07-21;84,00;70,97;36,21;46,34;44,90;57,00;20,00;43,00;4,00;21,00;11,00;15,00;16,00;18,00;6,00;6,00;6,00;8,00;1,00;2,00;3,00
2019-07-28;88,00;76,27;36,67;54,27;48,40;59,00;22,00;46,00;3,00;26,00;10,00;19,00;19,00;17,00;5,00;7,00;7,00;8,00;1,00;3,00;3,00
2019-08-04;96,00;93,09;40,73;61,09;59,64;66,00;29,00;48,00;4,00;28,00;10,00;20,00;19,00;23,00;7,00;7,00;8,00;11,00;2,00;2,00;3,00
2019-08-11;100,00;105,80;44,93;59,42;62,32;69,00;28,00;50,00;4,00;27,00;8,00;21,00;19,00;24,00;8,00;7,00;8,00;13,00;2,00;3,00;4,00
2019-08-18;85,00;144,07;33,14;46,10;46,10;59,00;23,00;44,00;5,00;21,00;11,00;20,00;16,00;17,00;7,00;7,00;6,00;11,00;1,00;3,00;3,00
2019-08-25;74,00;74,00;26,12;40,63;29,02;43,00;17,00;33,00;3,00;14,00;8,00;16,00;9,00;11,00;3,00;4,00;4,00;6,00;1,00;2,00;2,00
2019-09-01;78,00;44,78;20,22;37,56;20,22;35,00;14,00;34,00;2,00;9,00;5,00;13,00;6,00;9,00;2,00;3,00;3,00;4,00;0,50;1,00;1,00
2019-09-08;71,00;37,67;17,39;33,33;17,39;28,00;14,00;29,00;2,00;7,00;6,00;12,00;8,00;7,00;2,00;2,00;3,00;4,00;0,50;1,00;2,00
