Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;89,00;53,00;39,00;48,00;72,00;35,00;12,00;39,00;20,00;16,75;104,71;3,14;37,69;0,00;24,00;10,00;10,00;1,00;41,00;37,00;13,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;100,00;43,00;40,00;38,00;64,00;38,00;13,00;27,00;12,00;12,50;93,75;5,21;43,75;1,00;17,00;7,00;9,00;1,00;41,00;35,00;13,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-01-20;79,00;36,00;41,00;31,00;52,00;30,00;14,00;24,00;17,00;7,37;80,05;5,27;28,44;2,00;50,00;7,00;11,00;1,00;34,00;30,00;9,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00
2019-01-27;81,00;31,00;29,00;34,00;49,00;34,00;14,00;27,00;14,00;9,35;89,31;4,15;31,15;0,00;17,00;6,00;5,00;2,00;35,00;32,00;5,00;0,00;2,00;3,00;1,00;0,00;1,00;1,00
2019-02-03;88,00;28,00;36,00;25,00;45,00;29,00;9,00;19,00;9,00;12,57;74,38;5,24;23,05;0,00;19,00;6,00;8,00;2,00;34,00;25,00;9,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-02-10;72,00;32,00;30,00;27,00;38,00;24,00;8,00;13,00;10,00;6,26;69,91;6,26;19,83;1,00;18,00;5,00;16,00;0,00;32,00;22,00;6,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-02-17;68,00;32,00;35,00;28,00;50,00;20,00;14,00;17,00;7,00;9,42;64,86;5,23;21,97;2,00;26,00;8,00;8,00;0,00;24,00;28,00;6,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-02-24;64,00;25,00;31,00;23,00;41,00;33,00;3,00;18,00;12,00;2,10;59,80;3,15;14,69;1,00;16,00;7,00;4,00;1,00;26,00;21,00;8,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-03;64,00;32,00;32,00;22,00;29,00;25,00;9,00;18,00;7,00;7,34;61,90;2,10;24,13;1,00;17,00;3,00;4,00;0,00;28,00;43,00;5,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;52,00;32,00;24,00;26,00;35,00;27,00;6,00;13,00;10,00;4,16;47,84;1,04;17,68;0,00;8,00;4,00;7,00;0,00;23,00;18,00;4,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-17;51,00;26,00;26,00;21,00;39,00;17,00;8,00;19,00;7,00;9,37;51,00;1,04;10,41;0,00;9,00;6,00;5,00;0,00;22,00;20,00;6,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-24;47,00;26,00;19,00;16,00;34,00;16,00;6,00;18,00;5,00;1,04;47,00;3,13;10,44;1,00;10,00;3,00;1,00;0,00;20,00;8,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-31;38,00;27,00;18,00;15,00;28,00;17,00;5,00;14,00;9,00;4,22;31,67;3,17;7,39;0,00;10,00;3,00;4,00;1,00;16,00;22,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;30,00;20,00;13,00;26,00;9,00;2,00;11,00;4,00;2,12;26,47;3,18;8,47;0,00;8,00;5,00;2,00;1,00;21,00;10,00;3,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-04-14;21,00;24,00;11,00;8,00;19,00;6,00;5,00;5,00;5,00;3,15;24,15;0,00;7,35;1,00;5,00;1,00;2,00;0,00;7,00;14,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;14,00;14,00;4,00;13,00;7,00;3,00;3,00;5,00;2,07;20,74;1,04;5,19;0,00;3,00;1,00;3,00;0,00;6,00;5,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;8,00;10,00;2,00;14,00;5,00;1,00;2,00;3,00;1,03;15,50;1,03;7,23;0,00;2,00;2,00;3,00;0,00;5,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;16,00;6,00;9,00;3,00;12,00;6,00;1,00;4,00;1,00;1,07;20,27;1,07;4,27;0,00;3,00;2,00;1,00;0,00;3,00;4,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;3,00;5,00;3,00;5,00;3,00;3,00;1,00;2,00;1,00;13,00;1,00;3,00;0,00;2,00;1,00;3,00;1,00;3,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;22,00;7,00;6,00;1,00;9,00;4,00;3,00;3,00;1,00;3,14;20,95;1,05;4,19;0,00;3,00;1,00;2,00;1,00;7,00;4,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-05-26;33,00;3,00;7,00;3,00;8,00;4,00;2,00;1,00;2,00;2,06;14,44;1,03;4,13;0,00;3,00;2,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-02;34,00;6,00;13,00;4,00;9,00;6,00;2,00;4,00;2,00;1,03;20,61;1,03;4,12;0,00;6,00;0,00;2,00;1,00;4,00;4,00;2,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-06-09;40,00;6,00;11,00;9,00;2,00;4,00;1,00;6,00;3,00;2,11;24,21;1,05;6,32;0,00;6,00;3,00;3,00;1,00;6,00;6,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-06-16;40,00;6,00;10,00;5,00;10,00;6,00;1,00;6,00;3,00;2,11;17,89;2,11;7,37;2,00;0,00;1,00;1,00;0,00;7,00;4,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;39,00;5,00;14,00;3,00;7,00;2,00;2,00;3,00;2,00;2,11;28,46;3,16;9,49;1,00;3,00;1,00;3,00;0,00;7,00;6,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;37,00;5,00;12,00;8,00;17,00;6,00;0,00;4,00;1,00;1,06;26,43;1,06;6,34;0,00;5,00;1,00;3,00;1,00;7,00;4,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-07-07;41,00;11,00;14,00;10,00;7,00;4,00;1,00;4,00;1,00;1,05;28,38;0,00;12,62;0,00;6,00;2,00;3,00;0,00;11,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;43,00;18,00;16,00;5,00;14,00;7,00;2,00;5,00;1,00;1,05;31,46;1,05;9,44;0,00;3,00;1,00;4,00;1,00;7,00;6,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-07-21;39,00;20,00;14,00;5,00;20,00;5,00;3,00;4,00;3,00;2,11;25,30;1,05;8,43;0,00;3,00;3,00;1,00;6,00;3,00;8,00;3,00;0,00;0,00;2,00;1,00;0,00;1,00;0,00
2019-07-28;49,00;11,00;14,00;3,00;10,00;7,00;4,00;7,00;1,00;1,07;34,09;3,20;9,59;1,00;4,00;1,00;1,00;1,00;11,00;7,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;43,00;8,00;13,00;4,00;12,00;7,00;1,00;5,00;5,00;2,10;41,95;1,05;10,49;0,00;3,00;1,00;4,00;1,00;10,00;6,00;2,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-08-11;41,00;10,00;14,00;4,00;14,00;6,00;2,00;4,00;2,00;3,15;29,44;2,10;8,41;0,00;3,00;6,00;4,00;1,00;11,00;6,00;2,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00
2019-08-18;45,00;9,00;13,00;10,00;13,00;9,00;2,00;8,00;1,00;4,19;30,35;2,09;9,42;0,00;5,00;3,00;5,00;0,00;9,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
