Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;34,00;36,00;3,00;0,00;0,00;0,00;15,79;53,43;0,00;0,00;15,79;53,43;0,00;0,00;0,00;8,00;3,00;0,00;3,00;3,00;0,00
2019-01-13;44,00;57,00;3,00;0,00;0,00;0,00;2,38;34,49;0,00;0,00;2,38;34,49;0,00;0,00;2,00;33,00;0,00;0,00;7,00;5,00;0,00
2019-01-20;70,00;60,00;3,00;0,00;5,00;2,41;14,48;33,79;0,00;2,41;14,48;33,79;0,00;0,00;0,00;42,00;0,00;0,00;5,00;2,00;0,00
2019-01-27;57,00;57,00;3,00;0,00;0,00;0,00;9,70;26,68;0,00;0,00;9,70;26,68;0,00;0,00;0,00;12,00;2,00;0,00;5,00;0,00;5,00
2019-02-03;34,00;36,00;3,00;0,00;0,00;0,00;9,71;27,93;0,00;0,00;9,71;27,93;0,00;0,00;2,00;20,00;5,00;0,00;2,00;0,00;0,00
2019-02-10;56,00;64,00;0,00;0,00;0,00;0,00;13,11;32,17;0,00;0,00;13,11;32,17;0,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00
2019-02-17;44,00;37,00;5,00;2,00;2,00;0,00;15,46;20,22;0,00;0,00;15,46;20,22;0,00;0,00;2,00;20,00;0,00;0,00;5,00;0,00;0,00
2019-02-24;30,00;37,00;3,00;0,00;0,00;2,40;7,20;18,00;0,00;2,40;7,20;18,00;0,00;0,00;2,00;18,00;2,00;2,00;5,00;0,00;2,00
2019-03-03;60,00;57,00;5,00;0,00;0,00;0,00;8,40;15,60;0,00;0,00;8,40;15,60;0,00;0,00;3,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;63,00;60,00;0,00;0,00;0,00;0,00;20,21;22,58;0,00;0,00;20,21;22,58;0,00;0,00;5,00;13,00;0,00;0,00;3,00;0,00;0,00
2019-03-17;36,00;33,00;5,00;0,00;0,00;0,00;21,60;26,40;0,00;0,00;21,60;26,40;0,00;0,00;0,00;8,00;5,00;0,00;0,00;0,00;3,00
2019-03-24;36,00;51,00;5,00;0,00;0,00;0,00;15,60;36,00;0,00;0,00;15,60;36,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;58,00;56,00;3,00;3,00;0,00;2,37;13,02;73,39;0,00;2,37;13,02;73,39;0,00;0,00;0,00;42,00;0,00;0,00;0,00;5,00;3,00
2019-04-07;57,00;50,00;3,00;0,00;5,00;5,94;17,81;60,56;0,00;5,94;17,81;60,56;0,00;0,00;0,00;54,00;0,00;3,00;2,00;3,00;0,00
