Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;31,00;41,00;35,00;27,00;7,00;5,17;5,17;12,92;18,08
2019-01-13;38,00;35,00;15,00;23,00;14,00;2,53;5,07;15,20;15,20
2019-01-20;32,00;31,00;26,00;20,00;13,00;4,92;4,92;22,15;19,69
2019-01-27;36,00;46,00;26,00;16,00;16,00;7,71;5,14;15,43;12,86
2019-02-03;25,00;12,00;30,00;27,00;7,00;10,00;0,00;12,50;250,00
2019-02-10;46,00;9,00;28,00;18,00;4,00;5,11;2,56;7,67;15,33
2019-02-17;42,00;13,00;19,00;16,00;10,00;7,41;2,47;12,35;12,35
2019-02-24;30,00;16,00;24,00;16,00;7,00;2,50;7,50;17,50;2,50
2019-03-03;34,00;14,00;28,00;20,00;10,00;2,43;4,86;7,29;14,57
2019-03-10;26,00;11,00;17,00;32,00;7,00;2,60;5,20;10,40;18,20
2019-03-17;27,00;7,00;21,00;32,00;10,00;2,45;4,91;17,18;24,55
2019-03-24;42,00;24,00;20,00;10,00;30,00;4,94;9,88;9,88;12,35
2019-03-31;22,00;18,00;17,00;20,00;18,00;2,44;2,44;9,78;12,22
2019-04-07;23,00;5,00;15,00;15,00;11,00;2,56;5,11;5,11;10,22
2019-04-14;23,00;14,00;10,00;17,00;16,00;7,67;2,56;7,67;10,22
2019-04-21;62,00;12,00;21,00;23,00;2,00;4,96;9,92;12,40;17,36
2019-04-28;26,00;12,00;25,00;24,00;10,00;2,36;4,73;2,36;16,55
2019-05-05;26,00;25,00;7,00;22,00;8,00;7,80;2,60;7,80;15,60
2019-05-12;28,00;57,00;7,00;21,00;11,00;0,00;5,09;2,55;10,18
2019-05-19;53,00;100,00;22,00;17,00;9,00;2,52;5,05;10,10;20,19
2019-05-26;25,00;22,00;16,00;18,00;9,00;5,00;2,50;5,00;10,00
2019-06-02;37,00;29,00;12,00;26,00;3,00;7,40;2,47;14,80;17,27
2019-06-09;43,00;15,00;11,00;22,00;4,00;5,06;2,53;7,59;17,71
2019-06-16;40,00;15,00;17,00;25,00;4,00;2,50;5,00;10,00;15,00
2019-06-23;45,00;14,00;17,00;28,00;4,00;2,50;5,00;10,00;75,00
2019-06-30;59,00;17,00;13,00;27,00;16,00;2,46;9,83;7,38;12,29
2019-07-07;46,00;13,00;19,00;26,00;11,00;5,11;2,56;7,67;12,78
2019-07-14;21,00;19,00;17,00;35,00;3,00;2,63;2,63;10,50;13,13
2019-07-21;58,00;17,00;21,00;24,00;7,00;5,04;2,52;7,57;15,13
2019-07-28;67,00;19,00;16,00;17,00;7,00;2,48;2,48;7,44;24,81
2019-08-04;79,00;6,00;16,00;27,00;6,00;2,55;5,10;12,74;86,65
2019-08-11;78,00;40,00;35,00;37,00;5,00;0,00;5,03;17,61;22,65
2019-08-18;71,00;20,00;25,00;34,00;4,00;5,07;5,07;7,61;68,46
2019-08-25;35,00;24,00;8,00;23,00;8,00;5,00;2,50;10,00;22,50
2019-09-01;45,00;35,00;20,00;29,00;4,00;2,50;10,00;17,50;12,50
2019-09-08;45,00;15,00;21,00;18,00;5,00;5,00;5,00;10,00;20,00
2019-09-15;30,00;14,00;21,00;26,00;12,00;2,50;5,00;10,00;10,00
2019-09-22;24,00;16,00;10,00;29,00;8,00;0,00;4,80;9,60;16,80
2019-09-29;29,00;12,00;13,00;27,00;8,00;0,00;5,27;15,82;15,82
2019-10-06;37,00;20,00;14,00;20,00;12,00;2,47;2,47;7,40;29,60
2019-10-13;33,00;17,00;10,00;29,00;23,00;2,54;2,54;7,62;15,23
2019-10-20;19,00;13,00;13,00;19,00;4,00;7,13;4,75;16,63;19,00
2019-10-27;22,00;18,00;20,00;17,00;9,00;4,89;4,89;7,33;12,22
2019-11-03;17,00;23,00;20,00;49,00;6,00;2,43;7,29;4,86;24,29
2019-11-10;28,00;31,00;18,00;25,00;8,00;2,55;5,09;10,18;15,27
2019-11-17;30,00;22,00;17,00;20,00;1,00;2,50;1,25;5,00;15,00
2019-11-24;20,00;11,00;18,00;19,00;6,00;2,50;0,00;7,50;10,00
2019-12-01;17,00;23,00;14,00;21,00;9,00;2,43;4,86;12,14;12,14
2019-12-08;18,00;13,00;10,00;25,00;8,00;2,57;5,14;15,43;25,71
2019-12-15;27,00;27,00;16,00;29,00;4,00;0,00;4,91;19,64;9,82
2019-12-22;26,00;35,00;17,00;31,00;16,00;2,60;2,60;18,20;18,20
2019-12-29;27,00;36,00;21,00;26,00;14,00;4,91;9,82;9,82;12,27
2020-01-05;26,00;17,00;19,00;18,00;12,00;7,09;4,73;14,18;11,82
2020-01-12;37,00;34,00;19,00;20,00;6,00;2,47;4,93;14,80;12,33
2020-01-19;28,00;24,00;17,00;30,00;2,00;7,64;2,55;20,36;10,18
2020-01-26;25,00;31,00;16,00;12,00;11,00;2,50;7,50;12,50;12,50
2020-02-02;13,00;19,00;20,00;27,00;7,00;1,30;5,20;13,00;205,40
2020-02-09;21,00;14,00;11,00;23,00;7,00;2,63;2,63;5,25;18,38
2020-02-16;29,00;21,00;11,00;50,00;9,00;1,21;2,42;9,67;9,67
2020-02-23;21,00;15,00;11,00;18,00;8,00;2,63;5,25;10,50;10,50
2020-03-01;17,00;22,00;7,00;32,00;8,00;2,43;2,43;12,14;9,71
2020-03-08;15,00;17,00;10,00;17,00;7,00;2,50;2,50;7,50;10,00
2020-03-15;25,00;12,00;8,00;13,00;12,00;2,50;10,00;7,50;7,50
2020-03-22;21,00;6,00;2,00;8,00;8,00;2,63;5,25;2,63;13,13
2020-03-29;29,00;1,00;5,00;18,00;6,00;2,64;7,91;7,91;13,18
2020-04-05;31,00;4,00;7,00;15,00;12,00;0,00;2,58;2,58;10,33
2020-04-12;24,00;8,00;4,00;13,00;10,00;0,00;2,40;4,80;4,80
2020-04-19;34,00;6,00;5,00;17,00;5,00;2,43;2,43;4,86;7,29
2020-04-26;32,00;5,00;4,00;10,00;11,00;4,92;4,92;4,92;7,38
2020-05-03;26,00;11,00;5,00;14,00;10,00;0,00;4,73;4,73;9,45
2020-05-10;32,00;8,00;4,00;11,00;13,00;7,38;7,38;2,46;7,38
2020-05-17;14,00;4,00;8,00;18,00;17,00;2,80;2,80;8,40;8,40
2020-05-24;17,00;4,00;6,00;17,00;15,00;0,00;2,43;9,71;19,43
2020-05-31;36,00;11,00;5,00;20,00;10,00;0,00;2,57;2,57;25,71
2020-06-07;28,00;3,00;3,00;8,00;7,00;2,55;5,09;2,55;40,73
2020-06-14;43,00;6,00;7,00;22,00;13,00;2,53;0,00;2,53;22,76
2020-06-21;43,00;6,00;5,00;15,00;6,00;2,53;2,53;1,26;12,65
2020-06-28;28,00;4,00;5,00;30,00;11,00;2,55;2,55;2,55;15,27
2020-07-05;31,00;7,00;2,00;15,00;5,00;2,58;1,29;2,58;10,33
2020-07-12;25,00;2,00;4,00;14,00;6,00;2,50;2,50;2,50;27,50
2020-07-19;42,00;5,00;8,00;18,00;5,00;2,47;2,47;7,41;7,41
2020-07-26;39,00;8,00;5,00;21,00;5,00;4,88;2,44;7,31;9,75
2020-08-02;35,00;1,00;10,00;12,00;3,00;2,50;5,00;5,00;12,50
2020-08-09;52,00;5,00;10,00;18,00;10,00;4,95;4,95;4,95;12,38
2020-08-16;42,00;9,00;16,00;29,00;5,00;2,47;2,47;2,47;7,41
2020-08-23;31,00;6,00;10,00;15,00;9,00;2,58;0,00;10,33;82,67
2020-08-30;27,00;6,00;5,00;45,00;16,00;2,45;0,00;2,45;9,82
2020-09-06;28,00;12,00;0,00;22,00;9,00;1,27;2,55;5,09;5,09
2020-09-13;13,00;6,00;4,00;15,00;39,00;1,30;2,60;2,60;7,80
2020-09-20;15,00;4,00;5,00;11,00;7,00;5,00;7,50;2,50;5,00
2020-09-27;10,00;4,00;3,00;18,00;4,00;2,50;2,50;2,50;7,50
2020-10-04;16,00;4,00;8,00;15,00;6,00;0,00;2,67;5,33;37,33
2020-10-11;20,00;17,00;8,00;10,00;19,00;2,50;2,50;5,00;7,50
2020-10-18;14,00;6,00;6,00;11,00;11,00;1,40;1,40;2,80;5,60
2020-10-25;16,00;9,00;5,00;10,00;6,00;1,33;1,33;5,33;5,33
2020-11-01;17,00;7,00;5,00;3,00;13,00;2,43;1,21;2,43;7,29
2020-11-08;21,00;5,00;2,00;12,00;10,00;2,33;1,17;2,33;2,33
2020-11-15;72,00;5,00;7,00;13,00;7,00;1,24;2,48;4,97;2,48
2020-11-22;19,00;5,00;6,00;10,00;9,00;1,19;4,75;0,00;11,88
2020-11-29;19,00;8,00;2,00;6,00;8,00;0,00;8,14;0,00;10,86
2020-12-06;19,00;4,00;5,00;14,00;12,00;2,38;0,00;4,75;111,63
2020-12-13;16,00;7,00;8,00;55,00;6,00;2,67;2,67;5,33;5,33
2020-12-20;23,00;6,00;6,00;67,00;10,00;0,00;2,56;5,11;15,33
2020-12-27;21,00;15,00;14,00;33,00;12,00;2,63;5,25;5,25;26,25
2021-01-03;26,00;8,00;10,00;26,00;11,00;2,60;2,60;7,80;2,60
2021-01-10;15,00;10,00;10,00;16,00;11,00;2,50;5,00;2,50;7,50
2021-01-17;13,00;5,00;10,00;17,00;16,00;1,30;5,20;5,20;5,20
2021-01-24;28,00;6,00;6,00;23,00;8,00;0,00;2,55;2,55;10,18
2021-01-31;20,00;6,00;8,00;17,00;9,00;1,25;2,50;2,50;2,50
2021-02-07;24,00;7,00;5,00;19,00;6,00;2,40;2,40;2,40;117,60
2021-02-14;15,00;8,00;7,00;13,00;9,00;5,00;7,50;5,00;15,00
2021-02-21;19,00;4,00;5,00;18,00;8,00;2,38;7,13;7,13;4,75
2021-02-28;15,00;9,00;1,00;12,00;16,00;0,00;5,00;7,50;10,00
2021-03-07;20,00;4,00;8,00;22,00;6,00;2,50;2,50;5,00;5,00
2021-03-14;25,00;0,00;4,00;18,00;9,00;0,00;5,00;10,00;7,50
2021-03-21;17,00;14,00;9,00;12,00;9,00;2,43;2,43;4,86;2,43
2021-03-28;20,00;7,00;11,00;14,00;13,00;2,50;5,00;5,00;12,50
2021-04-04;21,00;11,00;5,00;12,00;14,00;2,63;5,25;10,50;5,25
2021-04-11;12,00;9,00;10,00;22,00;6,00;2,40;4,80;7,20;12,00
