Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;15,00;135,00;3,00;15,00;27,00;8,00;12,00;5,00;5,00;6,00;8,00;1,00;1,00
2019-01-13;26,00;130,00;3,25;22,75;22,75;8,00;8,00;7,00;6,00;5,00;4,00;2,00;3,00
2019-01-20;27,00;151,88;3,38;20,25;27,00;9,00;12,00;10,00;3,00;5,00;5,00;2,00;4,00
2019-01-27;16,00;147,20;1,60;22,40;16,00;9,00;9,00;3,00;4,00;3,00;4,00;1,00;2,00
2019-02-03;14,00;164,50;1,75;24,50;21,00;9,00;14,00;0,00;2,00;5,00;2,00;6,00;2,00
2019-02-10;20,00;150,00;3,33;30,00;20,00;15,00;13,00;3,00;2,00;1,00;3,00;5,00;0,00
2019-02-17;25,00;153,13;0,00;18,75;21,88;11,00;9,00;4,00;4,00;4,00;2,00;2,00;3,00
2019-02-24;20,00;170,00;3,33;36,67;30,00;13,00;11,00;7,00;3,00;7,00;8,00;5,00;4,00
2019-03-03;21,00;144,00;1,50;24,00;21,00;9,00;18,00;0,00;2,00;8,00;6,00;4,00;5,00
2019-03-10;25,00;150,00;1,56;25,00;31,25;14,00;13,00;3,00;5,00;4,00;5,00;2,00;3,00
2019-03-17;24,00;161,14;3,43;20,57;24,00;12,00;8,00;1,00;3,00;6,00;7,00;5,00;4,00
2019-03-24;25,00;168,75;3,13;25,00;21,88;17,00;8,00;1,00;0,00;6,00;2,00;4,00;2,00
2019-03-31;36,00;163,64;3,27;32,73;36,00;21,00;14,00;5,00;3,00;6,00;3,00;6,00;6,00
2019-04-07;47,00;188,00;3,13;37,60;53,27;17,00;18,00;8,00;5,00;10,00;4,00;4,00;4,00
2019-04-14;49,00;294,00;6,53;68,60;58,80;20,00;10,00;4,00;3,00;8,00;6,00;8,00;14,00
2019-04-21;39,00;175,50;3,25;55,25;45,50;13,00;18,00;7,00;3,00;7,00;3,00;5,00;5,00
2019-04-28;38,00;148,83;3,17;50,67;22,17;14,00;14,00;5,00;4,00;6,00;3,00;2,00;4,00
2019-05-05;29,00;128,89;3,22;29,00;19,33;12,00;14,00;3,00;5,00;4,00;7,00;5,00;4,00
2019-05-12;34,00;145,27;3,09;30,91;21,64;18,00;10,00;7,00;8,00;5,00;8,00;5,00;1,00
2019-05-19;35,00;159,09;3,18;31,82;38,18;14,00;19,00;9,00;3,00;4,00;5,00;8,00;3,00
2019-05-26;61,00;157,32;1,61;54,58;41,74;12,00;16,00;7,00;3,00;4,00;5,00;3,00;9,00
2019-06-02;35,00;168,64;0,00;22,27;31,82;17,00;20,00;4,00;6,00;5,00;8,00;3,00;6,00
2019-06-09;46,00;144,57;3,29;29,57;32,86;12,00;14,00;11,00;6,00;8,00;5,00;4,00;7,00
2019-06-16;49,00;143,73;6,53;29,40;32,67;21,00;8,00;10,00;4,00;9,00;9,00;6,00;5,00
