Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;75,00;15,00;12,00;6,00;25,00;4,00;6,00;10,00;8,00;2,00;0,00;2,00;0,00;0,00;13,00;2,00;0,00;0,00;9,00;6,00;0,00;0,00;2,68;50,89;20,09;0,00;17,00;8,00
2019-01-13;38,00;20,00;10,00;14,00;12,00;4,00;2,00;16,00;0,00;2,00;4,00;0,00;0,00;0,00;2,00;8,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;63,79;16,29;2,00;4,00;12,00
2019-01-20;47,00;9,00;15,00;7,00;24,00;11,00;4,00;9,00;0,00;4,00;2,00;2,00;0,00;2,00;9,00;2,00;0,00;0,00;8,00;4,00;2,00;0,00;0,00;60,43;21,49;4,00;24,00;15,00
2019-01-27;34,00;15,00;2,00;4,00;9,00;0,00;6,00;25,00;4,00;2,00;8,00;4,00;2,00;0,00;4,00;0,00;0,00;2,00;2,00;0,00;9,00;0,00;0,00;70,72;27,20;0,00;11,00;4,00
2019-02-03;51,00;8,00;2,00;4,00;14,00;2,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;73,82;8,05;0,00;22,00;4,00
2019-02-10;26,00;6,00;6,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;4,00;4,00;0,00;0,00;2,00;4,00;6,00;0,00;0,00;60,21;15,05;2,00;6,00;2,00
2019-02-17;48,00;0,00;4,00;10,00;14,00;4,00;4,00;4,00;6,00;0,00;10,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;2,00;0,00;4,00;0,00;0,00;56,00;6,67;6,00;10,00;10,00
2019-02-24;24,00;8,00;10,00;0,00;6,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;36,00;8,00;4,00;14,00;6,00
2019-03-03;37,00;2,00;8,00;8,00;12,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;25,11;14,54;4,00;10,00;6,00
2019-03-10;60,00;10,00;12,00;6,00;16,00;4,00;2,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;2,67;26,67;6,67;2,00;4,00;2,00
