Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;8,00;0,00;15,00;32,00;8,00;70,67;0,00;0,00;42,67;8,00;34,00;100,00;0,00;0,00;0,00;264,00;8,00;14,00;46,00;0,00;14,00
2019-01-13;25,00;8,00;23,00;8,00;0,00;40,22;0,00;5,43;11,96;0,00;44,64;58,93;0,00;0,00;6,25;168,75;31,25;0,00;95,45;15,91;6,82
2019-01-20;24,00;0,00;36,00;23,00;7,00;10,91;0,00;5,45;10,91;14,77;29,54;29,54;0,00;0,00;0,00;168,00;6,00;31,20;52,80;0,00;14,40
2019-01-27;8,00;0,00;7,00;0,00;7,00;49,60;0,00;8,00;16,00;0,00;40,00;56,00;0,00;0,00;0,00;192,00;0,00;16,00;98,67;0,00;16,00
2019-02-03;16,00;0,00;0,00;16,00;0,00;46,55;0,00;0,00;0,00;7,11;21,33;44,44;0,00;0,00;0,00;112,00;21,33;13,71;50,29;0,00;6,86
2019-02-10;0,00;0,00;8,00;16,00;0,00;27,00;0,00;0,00;5,00;0,00;21,00;25,00;0,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00
2019-02-17;25,00;0,00;46,00;24,00;0,00;16,18;0,00;0,00;23,53;7,14;51,79;53,57;7,14;0,00;0,00;218,75;18,75;6,82;0,00;9,09;15,91
2019-02-24;25,00;8,00;0,00;8,00;0,00;30,88;0,00;16,18;16,18;0,00;55,77;63,46;0,00;0,00;0,00;181,25;6,25;0,00;65,91;9,09;0,00
2019-03-03;34,00;32,58;21,25;11,33;0,00;26,00;0,00;0,00;11,00;0,00;41,85;96,77;0,00;0,00;0,00;314,50;8,50;20,40;20,40;13,60;34,00
2019-03-10;16,00;0,00;15,00;16,00;0,00;37,82;0,00;0,00;0,00;0,00;21,33;42,67;0,00;5,33;0,00;181,33;0,00;0,00;73,14;0,00;22,86
2019-03-17;8,00;0,00;0,00;0,00;0,00;65,60;0,00;0,00;8,00;0,00;40,00;40,00;8,00;0,00;0,00;160,00;0,00;0,00;34,67;0,00;0,00
2019-03-24;0,00;0,00;15,00;16,00;0,00;27,00;0,00;0,00;5,00;0,00;8,00;50,00;0,00;1,00;0,00;31,00;3,00;0,00;16,00;0,00;7,00
2019-03-31;17,00;8,00;0,00;33,00;0,00;5,00;0,00;5,00;5,00;0,00;24,56;128,44;0,00;0,00;0,00;130,33;5,67;24,29;24,29;9,71;17,00
2019-04-07;17,00;0,00;31,88;25,50;0,00;42,00;0,00;0,00;5,00;0,00;15,11;77,44;0,00;0,00;0,00;158,67;5,67;77,71;38,86;0,00;24,29
2019-04-14;34,00;24,00;32,00;17,00;0,00;24,08;0,00;0,00;8,50;0,00;39,37;46,53;16,11;0,00;0,00;136,00;0,00;15,87;38,53;34,00;15,87
2019-04-21;0,00;0,00;24,00;8,00;8,00;77,00;0,00;5,00;6,00;13,00;34,00;52,00;4,00;0,00;0,00;32,00;3,00;3,00;24,00;0,00;10,00
2019-04-28;16,00;14,00;14,00;16,00;0,00;41,00;0,00;0,00;15,00;32,00;128,00;192,00;16,00;16,00;0,00;672,00;128,00;69,33;85,33;37,33;0,00
2019-05-05;47,00;7,00;0,00;15,00;0,00;32,16;0,00;0,00;6,18;0,00;50,62;50,62;0,00;0,00;0,00;240,88;23,50;30,55;51,70;0,00;30,55
2019-05-12;17,00;0,00;31,88;68,00;0,00;42,00;0,00;0,00;16,00;34,00;17,00;157,25;0,00;0,00;0,00;357,00;17,00;56,67;56,67;39,67;73,67
2019-05-19;47,00;7,00;44,00;47,00;7,00;16,02;0,00;5,34;10,68;14,46;21,69;21,69;7,23;5,88;0,00;223,25;5,88;58,75;30,55;0,00;7,05
2019-05-26;40,00;7,00;15,00;24,00;0,00;81,43;0,00;0,00;37,14;14,55;36,36;60,00;0,00;0,00;0,00;182,86;17,14;44,71;96,47;0,00;7,06
2019-06-02;16,00;0,00;44,80;23,47;0,00;39,00;0,00;5,00;24,00;0,00;62,00;84,00;8,00;0,00;0,00;245,33;10,67;32,00;48,00;0,00;16,00
2019-06-09;8,00;7,00;14,00;23,00;7,00;56,00;0,00;0,00;8,00;0,00;86,00;110,00;0,00;8,00;0,00;312,00;40,00;32,00;122,67;0,00;8,00
2019-06-16;48,00;7,15;59,23;38,81;7,15;25,00;0,00;0,00;10,00;0,00;59,08;81,23;0,00;0,00;0,00;306,00;48,00;21,60;96,00;0,00;14,40
2019-06-23;17,00;14,88;63,75;34,00;14,88;26,00;0,00;0,00;10,00;0,00;85,00;85,00;0,00;0,00;0,00;782,00;136,00;56,67;249,33;39,67;0,00
2019-06-30;40,00;22,00;59,00;8,00;0,00;27,37;0,00;0,00;16,84;14,55;72,73;58,18;0,00;0,00;0,00;291,43;45,71;51,76;223,53;0,00;7,06
