Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;78,00;6,00;6,00;1,00;8,00;3,00;0,00;8,00;0,00;1,00;5,00;0,00;3,00;0,00;3,00;0,00;4,00;0,00;6,00;4,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-13;87,00;7,00;1,00;1,00;12,00;4,00;3,00;0,00;3,00;0,00;3,00;0,00;1,00;0,00;6,00;1,00;4,00;0,00;6,00;3,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;73,00;3,00;7,00;1,00;7,00;4,00;0,00;6,00;1,00;1,00;3,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;4,06;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-01-27;71,00;1,00;3,00;3,00;4,00;6,00;2,00;0,00;1,00;1,00;3,00;1,00;1,00;0,00;3,00;1,00;1,00;0,00;6,17;7,20;7,20;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-02-03;52,00;3,00;4,00;0,00;3,00;4,00;0,00;0,00;0,00;1,00;4,00;0,00;1,00;0,00;11,00;3,00;1,00;0,00;11,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;67,00;4,00;10,00;3,00;4,00;1,00;0,00;1,00;0,00;1,00;3,00;1,00;0,00;1,00;20,00;3,00;0,00;0,00;6,09;7,11;3,05;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-02-17;71,00;0,00;14,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;6,00;0,00;1,00;0,00;6,00;0,00;0,00;0,00;9,40;4,18;6,26;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;65,00;3,05;8,13;1,02;3,05;1,02;2,03;3,05;3,05;1,02;6,09;0,00;1,02;0,00;6,09;3,05;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;67,00;6,00;10,00;1,00;6,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;1,02;6,09;6,09;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;1,00;7,00;0,00;7,00;0,00;2,00;0,00;0,00;1,00;1,00;0,00;3,00;0,00;7,00;0,00;1,00;0,00;1,02;7,15;1,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;74,00;0,00;4,05;0,00;3,04;0,00;0,00;0,00;1,01;0,00;2,03;0,00;0,00;0,00;1,01;2,03;3,04;1,00;5,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;56,00;3,00;7,00;1,00;2,00;0,00;0,00;2,00;0,00;1,00;6,00;1,00;1,00;0,00;9,00;0,00;3,00;1,04;6,22;3,11;1,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;49,00;3,00;6,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;1,00;0,00;7,00;0,00;3,00;0,00;3,13;1,04;6,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00
