Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;36,00;0,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;21,38;45,00;6,75;0,00;0,00;7,00;0,00
2019-01-13;35,00;14,00;14,00;0,00;0,00;0,00;0,00;51,00;0,00;0,00;0,00;7,00;0,00;0,00;20,78;28,44;6,56;7,00;0,00;14,00;0,00
2019-01-20;41,00;7,00;7,00;0,00;0,00;7,00;0,00;35,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;85,32;0,00;0,00;0,00;0,00;0,00
2019-01-27;28,00;21,00;7,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;21,28;51,52;0,00;7,00;14,00;7,00;0,00
2019-02-03;34,00;14,00;13,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;6,80;20,40;63,47;0,00;0,00;13,00;0,00;20,00
2019-02-10;48,00;21,00;41,00;0,00;0,00;0,00;0,00;43,00;0,00;7,00;7,00;7,00;7,00;0,00;20,73;91,64;0,00;0,00;14,00;0,00;14,00
2019-02-17;43,00;22,00;21,00;0,00;0,00;0,00;7,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;22,05;44,10;0,00;0,00;14,00;0,00;7,00
2019-02-24;41,00;7,00;14,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;7,00;14,00;0,00;6,65;35,46;6,65;0,00;0,00;0,00;0,00
2019-03-03;63,00;7,00;21,00;0,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00;0,00;14,37;65,21;0,00;0,00;7,00;7,00;0,00
2019-03-10;50,00;14,00;7,00;7,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00;7,61;7,61;65,22;0,00;0,00;0,00;7,00;0,00
