Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;46,00;11,50;0,00;9,20;0,00;0,00;0,00;2,00;0,00;0,00;2,00;4,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-01-13;45,00;15,75;2,25;20,25;2,25;0,00;0,00;0,00;0,00;6,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;69,00;4,60;2,30;16,10;2,30;0,00;0,00;0,00;0,00;4,00;15,00;6,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-01-27;43,00;11,32;2,26;13,58;4,53;0,00;0,00;0,00;0,00;2,00;8,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;32,00;20,57;0,00;4,57;2,29;2,00;0,00;0,00;0,00;0,00;5,00;4,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;26,00;9,45;0,00;14,18;2,36;0,00;0,00;2,00;0,00;0,00;6,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;54,00;15,75;2,25;9,00;0,00;0,00;0,00;2,00;0,00;0,00;6,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;48,00;13,71;0,00;16,00;2,29;2,00;0,00;2,00;2,00;0,00;7,00;7,00;2,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;16,06;0,00;18,35;4,59;0,00;0,00;0,00;0,00;2,00;13,00;8,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-10;50,00;9,09;0,00;25,00;4,55;4,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;44,00;18,53;2,32;18,53;2,32;2,00;0,00;0,00;2,00;2,00;6,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;69,00;4,60;4,60;23,00;2,30;0,00;0,00;0,00;0,00;0,00;10,00;8,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;61,00;15,81;9,04;18,07;6,78;2,00;0,00;0,00;0,00;2,00;4,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00
2019-04-07;60,00;6,92;4,62;16,15;4,62;0,00;0,00;2,00;0,00;4,00;7,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-04-14;66,00;13,66;9,10;15,93;2,28;0,00;0,00;0,00;0,00;0,00;19,00;8,00;2,00;0,00;2,00;6,00;0,00;2,00;0,00;0,00;0,00
2019-04-21;77,00;6,79;4,53;11,32;0,00;0,00;0,00;2,00;0,00;0,00;11,00;13,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;74,00;18,50;4,63;27,75;0,00;0,00;0,00;0,00;2,00;2,00;10,00;15,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;78,00;20,65;4,59;13,76;2,29;4,00;0,00;0,00;0,00;0,00;15,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-05-12;56,00;15,68;6,72;17,92;4,48;2,00;0,00;4,00;2,00;2,00;27,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;77,00;9,06;6,79;29,44;0,00;2,00;0,00;2,00;2,00;2,00;23,00;12,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;73,00;6,84;4,56;29,66;4,56;4,00;2,00;4,00;2,00;4,00;15,00;4,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;100,00;20,45;4,55;27,27;11,36;0,00;0,00;2,00;2,00;2,00;20,00;13,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;78,00;27,53;9,18;22,94;0,00;2,00;0,00;2,00;2,00;5,00;20,00;16,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;87,00;18,32;9,16;27,47;9,16;0,00;2,00;0,00;0,00;2,00;11,00;9,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-06-23;73,00;18,25;4,56;34,22;6,84;0,00;0,00;0,00;2,00;2,00;12,00;2,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;89,00;18,26;11,41;34,23;6,85;2,00;2,00;0,00;0,00;0,00;8,00;4,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-07-07;79,00;29,34;4,51;42,89;4,51;0,00;0,00;0,00;0,00;0,00;19,00;8,00;0,00;2,00;2,00;4,00;0,00;0,00;0,00;0,00;2,00
2019-07-14;99,00;27,63;6,91;23,02;4,60;4,00;0,00;0,00;0,00;6,00;15,00;12,00;0,00;0,00;6,00;0,00;2,00;0,00;0,00;0,00;0,00
