Semaine;Chamonix (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;32,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;18,00;4,00;9,00;4,00;18,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;0,00;13,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;13,00;4,00;4,00;4,00;18,00;9,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;80,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;4,00;9,00;0,00;4,00;18,00;13,00;0,00;17,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;49,00;0,00;22,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;4,00;4,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-02-03;39,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;9,00;4,00;4,00;8,00;0,00;0,00;9,00;8,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;58,00;0,00;13,00;4,00;22,00;4,00;4,00;0,00;4,00;9,00;4,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-02-17;46,00;0,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;5,00;5,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;13,00;0,00;9,00;0,00;0,00;0,00;17,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;40,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;9,00;22,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;70,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;5,00;0,00;0,00;18,00;0,00;5,00;5,00;9,00;5,00;14,00;23,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
