Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;85,00;83,00;79,00;24,00;0,00;13,08;6,54;49,04;9,81
2019-01-13;66,00;100,00;80,00;16,00;1,00;13,20;3,30;46,20;6,60
2019-01-20;68,00;89,00;77,00;24,00;2,00;9,71;0,00;19,43;6,48
2019-01-27;47,00;68,00;55,00;16,00;0,00;6,71;1,68;30,21;3,36
2019-02-03;40,00;73,00;73,00;18,00;3,00;10,00;3,33;30,00;6,67
2019-02-10;49,00;71,00;72,00;13,00;1,00;9,80;3,27;39,20;6,53
2019-02-17;56,00;67,00;71,00;14,00;2,00;13,18;3,29;36,24;1,65
2019-02-24;30,00;58,00;69,00;17,00;2,00;10,00;3,33;36,67;3,33
2019-03-03;36,00;61,00;62,00;23,00;2,00;3,27;3,27;32,73;3,27
2019-03-10;40,00;60,00;40,00;19,00;0,00;3,33;1,67;43,33;6,67
2019-03-17;36,00;46,00;37,00;26,00;2,00;6,55;3,27;39,27;9,82
2019-03-24;24,00;36,00;38,00;23,00;1,00;6,86;3,43;20,57;3,43
2019-03-31;37,00;45,00;44,00;31,00;0,00;10,09;1,68;23,55;3,36
2019-04-07;34,00;50,00;22,00;14,00;2,00;13,60;3,40;20,40;6,80
2019-04-14;26,00;38,00;33,00;22,00;0,00;3,25;3,25;35,75;3,25
2019-04-21;32,00;48,00;18,00;29,00;0,00;6,40;3,20;22,40;12,80
2019-04-28;31,00;19,00;23,00;10,00;2,00;3,10;0,00;24,80;3,10
2019-05-05;36,00;23,00;27,00;22,00;1,00;3,27;1,64;19,64;6,55
2019-05-12;26,00;46,00;28,00;18,00;1,00;6,50;3,25;19,50;6,50
2019-05-19;34,00;22,00;17,00;16,00;0,00;6,80;3,40;20,40;6,80
2019-05-26;38,00;23,00;23,00;22,00;1,00;6,91;3,45;24,18;6,91
2019-06-02;37,00;25,00;25,00;23,00;0,00;10,09;1,68;20,18;3,36
2019-06-09;25,00;27,00;25,00;20,00;2,00;6,25;1,56;25,00;6,25
2019-06-16;27,00;26,00;39,00;21,00;3,00;3,38;0,00;23,63;6,75
2019-06-23;28,00;40,00;29,00;11,00;1,00;7,00;3,50;14,00;3,50
2019-06-30;33,00;28,00;24,00;17,00;3,00;6,60;3,30;16,50;3,30
2019-07-07;41,00;33,00;20,00;19,00;0,00;3,42;3,42;13,67;3,42
2019-07-14;38,00;28,00;24,00;31,00;2,00;9,50;1,58;15,83;6,33
2019-07-21;41,00;35,00;27,00;25,00;1,00;3,15;3,15;22,08;9,46
2019-07-28;27,00;32,00;27,00;28,00;1,00;6,75;1,69;6,75;6,75
2019-08-04;23,00;35,00;35,00;20,00;0,00;6,57;0,00;23,00;9,86
2019-08-11;35,00;39,00;28,00;22,00;0,00;6,36;1,59;15,91;6,36
2019-08-18;38,00;37,00;36,00;17,00;0,00;10,36;3,45;20,73;10,36
2019-08-25;39,00;31,00;32,00;22,00;3,00;6,50;1,63;19,50;3,25
2019-09-01;44,00;45,00;29,00;27,00;1,00;3,38;1,69;23,69;6,77
2019-09-08;44,00;31,00;31,00;23,00;2,00;3,38;0,00;27,08;6,77
2019-09-15;35,00;39,00;40,00;17,00;2,00;6,36;3,18;19,09;3,18
2019-09-22;39,00;33,00;35,00;35,00;2,00;6,50;3,25;19,50;6,50
2019-09-29;34,00;32,00;34,00;18,00;2,00;3,40;3,40;17,00;6,80
