Semaine;Nice (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;46,00;23,00;23,00;40,00;10,00;8,00;2,00;2,00;4,00
2019-01-13;45,00;38,00;29,00;59,00;17,00;7,00;9,00;4,00;0,00
2019-01-20;69,00;26,00;34,00;33,00;20,00;11,00;11,00;9,00;2,00
2019-01-27;43,00;30,00;25,00;43,00;24,00;11,00;11,00;11,00;0,00
2019-02-03;32,00;31,00;33,00;32,00;14,00;18,00;11,00;11,00;0,00
2019-02-10;26,00;37,00;25,00;15,00;9,00;24,00;4,00;6,00;0,00
2019-02-17;54,00;25,00;22,00;29,00;14,00;8,00;8,00;4,00;2,00
2019-02-24;48,00;22,00;19,00;18,00;22,00;14,00;13,00;5,00;0,00
2019-03-03;39,00;41,00;29,00;30,00;11,00;13,00;7,00;6,00;5,00
2019-03-10;50,00;46,00;45,00;29,00;14,00;11,00;8,00;6,00;2,00
2019-03-17;44,00;37,00;27,00;33,00;14,00;6,00;6,00;6,00;4,00
2019-03-24;69,00;63,00;23,00;29,00;8,00;8,00;15,00;6,00;6,00
2019-03-31;61,00;54,00;31,00;36,00;29,00;19,00;9,00;4,00;6,00
2019-04-07;60,00;45,00;25,00;50,00;15,00;9,00;9,00;9,00;4,00
2019-04-14;66,00;38,00;27,00;53,00;17,00;9,00;20,00;8,00;4,00
2019-04-21;77,00;40,00;19,00;60,00;11,00;6,00;4,00;7,00;4,00
2019-04-28;74,00;57,00;29,00;42,00;21,00;7,00;19,00;8,00;2,00
2019-05-05;78,00;44,00;23,00;59,00;19,00;13,00;7,00;6,00;4,00
2019-05-12;56,00;27,00;26,00;45,00;20,00;10,00;11,00;12,00;4,00
2019-05-19;77,00;50,00;18,00;31,00;10,00;8,00;4,00;11,00;2,00
2019-05-26;73,00;41,00;25,00;45,00;15,00;9,00;11,00;6,00;2,00
2019-06-02;100,00;53,00;35,00;56,00;11,00;20,00;20,00;7,00;5,00
2019-06-09;78,00;44,00;26,00;42,00;15,00;14,00;4,00;4,00;2,00
2019-06-16;87,00;49,00;42,00;36,00;13,00;13,00;13,00;7,00;2,00
2019-06-23;73,00;59,00;52,00;37,00;28,00;23,00;15,00;4,00;2,00
2019-06-30;89,00;39,00;40,00;67,00;14,00;8,00;8,00;4,00;2,00
2019-07-07;79,00;42,00;41,00;50,00;19,00;21,00;13,00;6,00;4,00
2019-07-14;99,00;44,00;43,00;73,00;12,00;10,00;11,00;4,00;2,00
2019-07-21;86,00;37,00;29,00;51,00;18,00;6,00;8,00;10,00;0,00
2019-07-28;71,00;45,00;46,00;59,00;23,00;0,00;22,00;6,00;0,00
2019-08-04;77,00;48,00;41,00;56,00;14,00;14,00;12,00;4,00;4,00
2019-08-11;73,00;40,00;33,00;63,00;21,00;17,00;15,00;6,00;4,00
2019-08-18;69,00;27,00;33,00;52,00;13,00;17,00;13,00;6,00;7,00
2019-08-25;73,00;50,00;35,00;36,00;21,00;15,00;13,00;6,00;4,00
2019-09-01;71,00;57,00;43,00;58,00;31,00;13,00;5,00;11,00;4,00
2019-09-08;67,00;42,00;32,00;37,00;12,00;9,00;14,00;4,00;5,00
