Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;22,00;33,00;33,00;11,00;0,00;22,00;0,00;0,00;0,00;11,00;88,00;55,00;0,00;0,00;0,00;0,00;0,00;10,27;0,00;10,27;22,00
2019-01-13;78,00;56,00;33,00;0,00;0,00;0,00;21,89;0,00;21,89;0,00;78,00;92,86;0,00;0,00;0,00;56,59;0,00;0,00;56,59;10,71;0,00
2019-01-20;66,00;45,00;22,00;11,00;0,00;11,00;22,00;0,00;0,00;0,00;99,00;33,00;11,00;0,00;10,50;22,50;10,50;10,50;0,00;0,00;22,50
2019-01-27;33,00;33,00;0,00;0,00;0,00;78,38;0,00;0,00;11,00;11,00;154,00;55,00;0,00;0,00;0,00;22,50;0,00;0,00;64,50;0,00;10,50
2019-02-03;57,00;35,00;23,00;0,00;0,00;58,36;0,00;10,86;0,00;11,40;144,40;60,80;0,00;0,00;0,00;46,50;12,00;0,00;22,50;0,00;12,00
2019-02-10;35,00;35,00;23,00;12,00;0,00;72,80;0,00;11,20;11,20;0,00;112,78;85,56;0,00;0,00;0,00;35,00;0,00;0,00;35,00;0,00;12,17
2019-02-17;23,00;23,00;12,00;12,00;0,00;47,35;0,00;0,00;33,82;11,50;172,50;61,33;0,00;0,00;0,00;47,53;12,27;0,00;12,27;0,00;12,27
2019-02-24;34,00;46,00;0,00;11,00;0,00;80,24;10,88;0,00;10,88;0,00;105,78;60,44;0,00;0,00;0,00;23,18;0,00;0,00;0,00;0,00;0,00
2019-03-03;54,00;55,00;22,00;11,00;0,00;11,08;11,08;0,00;22,15;0,00;69,43;138,86;11,57;0,00;0,00;76,50;0,00;10,50;10,50;0,00;10,50
2019-03-10;33,00;56,00;33,00;33,00;0,00;56,38;0,00;11,00;11,00;11,00;143,00;88,00;0,00;0,00;0,00;45,00;22,50;0,00;10,50;0,00;0,00
2019-03-17;68,00;35,00;34,00;0,00;0,00;69,36;0,00;10,88;10,88;0,00;143,56;49,11;0,00;0,00;0,00;46,84;12,09;10,58;45,33;0,00;12,09
2019-03-24;0,00;0,00;23,00;34,00;0,00;42,00;0,00;16,00;17,00;0,00;22,00;25,00;0,00;0,00;7,00;31,00;7,00;0,00;15,00;0,00;8,00
2019-03-31;68,00;69,00;57,00;23,00;0,00;58,29;0,00;11,10;11,10;11,33;151,11;60,44;0,00;0,00;0,00;45,33;0,00;10,58;55,91;0,00;0,00
2019-04-07;32,00;87,00;54,00;21,00;11,00;55,65;0,00;11,13;43,13;0,00;177,78;117,33;10,67;10,67;0,00;54,86;10,67;10,67;64,00;0,00;32,00
2019-04-14;75,00;51,00;38,00;38,00;12,00;76,36;0,00;12,27;36,82;0,00;375,00;105,00;26,25;0,00;0,00;88,50;0,00;0,00;75,00;12,00;12,00
2019-04-21;62,00;76,00;25,00;37,00;0,00;50,98;12,40;12,40;24,80;25,53;160,47;113,06;0,00;0,00;0,00;49,90;12,10;12,10;49,90;0,00;12,10
2019-04-28;65,00;55,00;43,00;54,00;0,00;66,35;0,00;0,00;10,83;11,47;149,12;91,76;11,47;0,00;21,16;89,19;10,58;10,58;0,00;0,00;21,16
2019-05-05;66,00;33,00;44,00;22,00;11,00;45,38;11,00;0,00;11,00;11,00;154,00;99,00;0,00;0,00;0,00;23,02;10,74;0,00;0,00;10,74;23,02
2019-05-12;56,00;56,00;33,00;11,00;0,00;79,22;0,00;10,93;0,00;22,40;138,13;93,33;0,00;0,00;0,00;45,41;10,59;0,00;22,70;0,00;10,59
2019-05-19;45,00;56,00;11,00;11,00;0,00;59,06;0,00;0,00;0,00;0,00;116,25;116,25;11,25;0,00;0,00;34,14;23,28;0,00;10,86;0,00;0,00
2019-05-26;48,00;86,00;12,00;48,00;0,00;12,34;12,34;0,00;24,69;0,00;158,77;173,54;0,00;0,00;0,00;61,50;12,00;36,00;12,00;0,00;36,00
2019-06-02;45,00;34,00;45,00;11,00;0,00;57,27;0,00;21,82;0,00;11,25;161,25;150,00;11,25;0,00;0,00;79,50;22,50;10,50;10,50;0,00;22,50
2019-06-09;67,00;45,00;22,00;22,00;0,00;34,18;0,00;45,12;10,94;0,00;182,39;115,39;0,00;0,00;0,00;35,02;0,00;10,42;10,42;10,42;10,42
2019-06-16;12,00;47,00;23,00;23,00;23,00;78,00;0,00;12,00;37,50;0,00;152,00;88,00;0,00;0,00;0,00;81,00;22,50;0,00;12,00;0,00;0,00
2019-06-23;49,00;25,00;0,00;12,00;0,00;36,75;0,00;0,00;12,25;0,00;113,08;139,46;0,00;0,00;12,25;88,81;12,25;0,00;0,00;0,00;12,25
2019-06-30;47,00;35,00;23,00;12,00;23,00;59,44;0,00;0,00;23,50;0,00;188,00;164,50;0,00;0,00;0,00;71,26;0,00;0,00;0,00;12,13;12,13
