Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;35,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;0,00;35,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;35,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;0,00;23,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;44,00
2019-02-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;0,00;0,00;36,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;0,00;23,00;0,00;0,00
2019-03-03;35,00;0,00;0,00;0,00;0,00;0,00;0,00;291,67;0,00;0,00;0,00;0,00;0,00;0,00;115,00;35,00;0,00;0,00;35,00;0,00;0,00
2019-03-10;36,00;0,00;0,00;0,00;0,00;0,00;0,00;225,00;0,00;0,00;0,00;0,00;0,00;0,00;139,50;103,50;0,00;0,00;36,00;0,00;36,00
2019-03-17;36,00;0,00;0,00;0,00;0,00;0,00;0,00;297,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;36,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;34,00;34,00;0,00;0,00;0,00;34,00;0,00;351,33;0,00;0,00;0,00;0,00;0,00;0,00;218,57;34,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;0,00;0,00;0,00;0,00;37,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;37,00;0,00;16,00;0,00;0,00;0,00;24,00;0,00;0,00
