Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;46,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;2,04;2,00;6,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;37,00;6,53;2,18;2,18;8,71;0,00;0,00;0,00;0,00;0,00;4,35;8,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;22,00;6,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;2,50;2,50;0,00;0,00;0,00;2,50;0,00;0,00;2,50;0,00;0,00
2019-02-10;11,00;2,44;2,44;0,00;2,44;0,00;0,00;0,00;0,00;0,00;7,33;2,44;0,00;0,00;0,00;4,89;0,00;2,44;0,00;0,00;2,44
2019-02-17;20,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;16,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;22,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;10,00;0,00;0,00;5,00;2,50;0,00;0,00;0,00;0,00;0,00;5,00;7,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;21,00;6,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;8,00;13,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;39,00;0,00;0,00;6,00;2,00;0,00;0,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;39,00;8,67;2,17;4,33;2,17;0,00;0,00;0,00;0,00;0,00;4,33;0,00;0,00;2,17;0,00;2,17;0,00;0,00;0,00;0,00;0,00
2019-04-14;60,00;5,56;2,22;5,56;5,56;0,00;0,00;0,00;2,00;2,22;5,56;12,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;52,00;4,24;0,00;0,00;2,12;0,00;0,00;0,00;0,00;4,24;8,49;6,37;0,00;0,00;2,12;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;47,00;0,00;0,00;0,00;6,41;0,00;0,00;0,00;0,00;2,14;4,27;4,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;49,00;10,32;0,00;2,58;0,00;0,00;2,00;0,00;0,00;0,00;7,74;7,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;29,00;6,44;0,00;4,30;0,00;0,00;0,00;0,00;0,00;4,30;6,44;4,30;0,00;2,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;65,00;10,83;0,00;0,00;4,33;0,00;0,00;0,00;0,00;4,33;4,33;4,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;41,00;2,05;0,00;4,10;0,00;0,00;0,00;0,00;0,00;2,05;8,20;4,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;44,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;2,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;39,00;0,00;0,00;2,29;2,29;0,00;2,00;0,00;2,00;2,29;0,00;4,59;0,00;0,00;0,00;2,29;0,00;0,00;0,00;0,00;0,00
2019-06-16;63,00;8,84;2,21;6,63;4,42;0,00;0,00;0,00;0,00;0,00;11,05;8,84;2,21;0,00;4,42;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;62,00;4,28;0,00;4,28;4,28;0,00;0,00;0,00;0,00;6,41;4,28;11,76;2,14;2,14;2,14;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;74,00;4,05;2,03;6,08;2,03;0,00;0,00;0,00;2,00;6,08;17,23;9,12;0,00;0,00;4,05;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;90,00;17,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;9,00;22,00;7,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;2,00
2019-07-14;100,00;5,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;12,00;16,00;12,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;80,00;5,33;0,00;9,60;0,00;0,00;0,00;0,00;0,00;2,13;12,80;12,80;0,00;0,00;2,13;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;43,00;4,30;0,00;0,00;2,15;0,00;0,00;0,00;0,00;0,00;9,68;9,68;0,00;4,30;0,00;2,15;0,00;0,00;0,00;0,00;0,00
2019-08-04;36,00;6,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-08-11;34,00;6,18;0,00;2,06;4,12;0,00;0,00;0,00;0,00;0,00;9,27;4,12;0,00;0,00;0,00;2,06;0,00;0,00;0,00;0,00;0,00
2019-08-18;40,00;33,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;23,00;23,00;0,00;2,56;0,00;0,00;0,00;0,00;0,00;2,56;2,56;5,11;0,00;0,00;0,00;0,00;0,00;2,56;0,00;0,00;0,00
2019-09-01;31,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;44,00;2,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,29;2,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;22,00;2,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;2,00;2,00;8,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;28,00;4,48;0,00;2,24;0,00;0,00;0,00;0,00;0,00;4,48;2,24;0,00;0,00;0,00;2,24;2,24;0,00;0,00;0,00;0,00;2,24
2019-09-29;35,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;40,00;4,10;0,00;0,00;4,10;0,00;0,00;0,00;0,00;4,10;4,10;2,05;0,00;0,00;2,05;2,05;0,00;0,00;0,00;0,00;0,00
2019-10-13;32,00;2,06;0,00;2,06;2,06;0,00;0,00;2,00;0,00;0,00;2,06;2,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;22,00;7,33;2,10;2,10;0,00;0,00;0,00;0,00;0,00;2,10;2,10;4,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,10
2019-10-27;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-11-03;23,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-11-10;21,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;16,00;4,27;4,27;2,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,13;0,00;0,00;0,00;2,13;0,00;0,00;0,00;0,00;0,00
2019-11-24;20,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;10,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;27,00;7,88;0,00;7,88;0,00;0,00;0,00;0,00;0,00;2,25;2,25;2,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;24,00;2,09;0,00;2,09;2,09;0,00;0,00;0,00;0,00;0,00;0,00;2,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;28,00;4,87;0,00;2,43;0,00;0,00;0,00;0,00;0,00;0,00;10,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;31,00;4,43;0,00;2,21;2,21;0,00;0,00;0,00;0,00;0,00;2,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;26,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;2,26;4,00;0,00;11,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;28,00;3,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;22,00;4,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;41,00;5,39;0,00;4,32;0,00;0,00;0,00;0,00;0,00;0,00;5,39;2,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;30,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;39,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;44,00;2,15;2,15;4,29;2,15;0,00;0,00;0,00;2,00;2,15;4,29;4,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;27,00;3,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;28,00;2,07;0,00;4,15;2,07;0,00;0,00;0,00;0,00;2,07;4,15;2,07;0,00;0,00;0,00;0,00;0,00;2,07;0,00;0,00;0,00
2020-03-08;23,00;0,00;0,00;0,00;0,00;0,00;2,19;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;16,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;2,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;7,00;2,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;2,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;9,00;2,57;0,00;0,00;2,57;0,00;0,00;0,00;0,00;2,57;2,57;2,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;11,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;10,00;0,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;9,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;10,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;9,00;2,25;0,00;2,25;0,00;0,00;0,00;0,00;0,00;0,00;5,63;3,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;11,00;3,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;25,00;0,00;0,00;4,00;2,00;0,00;2,27;0,00;0,00;4,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;31,00;3,21;0,00;0,00;2,14;0,00;0,00;0,00;0,00;0,00;4,28;4,28;0,00;2,14;0,00;2,14;0,00;0,00;0,00;0,00;0,00
2020-07-05;67,00;4,62;0,00;4,62;2,31;0,00;0,00;0,00;0,00;0,00;8,09;8,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;23,00;11,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,60;11,50;16,10;0,00;0,00;0,00;2,30;0,00;0,00;0,00;0,00;0,00
2020-07-19;26,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-07-26;27,00;4,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;16,00;7,38;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,46;4,92;7,38;0,00;0,00;0,00;0,00;2,46;0,00;0,00;0,00;0,00
2020-08-09;25,00;2,00;2,00;4,00;5,00;0,00;0,00;0,00;0,00;2,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;14,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-08-23;20,00;2,35;2,35;2,35;20,00;0,00;0,00;0,00;0,00;3,53;0,00;5,88;0,00;0,00;2,35;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;21,00;3,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;12,00;5,00;7,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;7,00;7,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;5,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
